relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-131.70999999999913,,,83.8767633343875,,,,,,87.825,,,,0.061
-122.76000000000204,,39.568031960023305,,,,,,45.483,,,,,0.061
-111.69999999999709,,,,219.8443461545903,,,,,,139.799,,,0.061
-97.80999999999767,66.69968037730641,,,,,,56.046,,,,,,0.061
-80.97000000000116,180.51812472462623,,82.34954708048384,,,,78.403,,73.37,,,,0.061
-74.84999999999854,116.23740045974793,,,,,,47.835,,,,,,0.061
-70.83000000000175,205.44452955066555,,,,,,108.225,,,,,,0.061
-57.830000000001746,,,125.99812174868045,,,,,,105.742,,,,0.061
-53.830000000001746,,,200.09869888091256,,,,,,108.299,,,,0.061
-48.95999999999913,113.53523154348258,,,,,,54.195,,,,,,0.061
-42.94999999999709,,,115.06178510747075,,,,,,105.963,,,,0.061
-38.94000000000233,76.5949640992563,122.86428885476282,,,,,64.088,127.244,,,,,0.061
-26.900000000001455,,138.70351330088675,,,,,,83.475,,,,,0.061
-16.0199999999968,85.3181636633343,,,,,,54.64,,,,,,0.061
-14.019999999996799,,61.21558801906522,,,,,,58.334,,,,,0.061
-0.1639999999970314,,,,,,779.280009954975,,,,,,146.278,0.061
-0.08600000000296859,,,,,997.201495757443,,,,,,237.561,,0.061
0.0,,682.3917644707811,403.433138535755,,,,,76.745,86.56,,,,0.061
1.8559999999997672,,,,,,1629.0765824957864,,,,,,127.263,0.061
1.8770000000004075,,,,,1858.8296357937509,,,,,,157.536,,0.061
1.9599999999991269,,1545.0404633539151,,931.588948532789,,,,80.122,,169.222,,,0.061
4.904999999998836,,,,,2689.1370728713046,,,,,,149.193,,0.061
9.959999999999127,,,,1946.238930803333,,,,,,215.29,,,0.061
10.0,2901.565442520209,,,,,,109.88,,,,,,0.061
10.855999999999767,,,,,,2882.85640941256,,,,,,142.926,0.061
13.858000000000175,,,,,,2803.7696167438903,,,,,,127.032,0.061
13.913999999997031,,,,,2782.077515678549,,,,,,186.572,,0.061
13.959999999999127,3207.2918252183367,,2510.885898460969,,,,113.41,,91.555,,,,0.061
15.857000000003609,,,,,2966.30641920856,,,,,,128.558,,0.061
15.87999999999738,,,,,,2868.775513996213,,,,,,186.233,0.061
17.836999999999534,,,,,,3523.4041263020317,,,,,,104.01,0.061
17.902000000001863,,,,,3139.698735857371,,,,,,120.354,,0.061
19.83400000000256,,,,,,3578.3075476791896,,,,,,111.55,0.061
23.8179999999993,,,,,,3200.8479113836697,,,,,,224.864,0.061
23.860999999997148,,,,,2875.565155905809,,,,,,232.265,,0.061
25.872000000003027,,,,,,3237.2054928129673,,,,,,153.863,0.061
25.91599999999744,,,,,2487.1785111628064,,,,,,265.587,,0.061
27.830999999998312,,,,,,3839.1342108497324,,,,,,266.155,0.061
27.877000000000407,,,,,2508.8020446529254,,,,,,290.157,,0.061
27.989999999997963,,2961.538817568895,,3032.574449530495,,,,153.581,,189.102,,,0.061
30.841999999996915,,,,,,3448.2009115941514,,,,,,173.084,0.061
30.879000000000815,,,,,1711.4395864201215,,,,,,322.424,,0.061
32.84399999999732,,,,,,3175.993258776386,,,,,,189.61,0.061
34.84399999999732,,,,,,3101.602971900451,,,,,,159.427,0.061
36.86499999999796,,,,,,3340.923998789554,,,,,,149.37,0.061
166.37000000000262,210.0053591189537,182.67081651038401,,,,,79.441,64.744,,,,,0.061
170.36000000000058,,,,202.05619642392753,,,,,,193.793,,,0.061
174.3199999999997,,442.5292667497245,456.4452284445642,,,,,81.899,98.039,,,,0.061
175.3399999999965,,171.72865431098356,,,,,,91.161,,,,,0.061
175.34999999999854,,,,332.6965880410818,,,,,,158.265,,,0.061
176.36000000000058,,274.0737903649707,210.96718396240763,,,,,112.908,125.461,,,,0.061
179.36000000000058,,,459.3228019688532,,,,,,128.3,,,,0.061
179.37000000000262,,306.86216303530847,,,,,,108.061,,,,,0.061
181.34999999999854,,300.1541117313061,,281.37687877533295,,,,133.561,,210.097,,,0.061
186.22699999999895,,,,,,462.3231434063396,,,,,,101.83,0.061
189.19600000000355,,,,,,414.7828774524605,,,,,,87.826,0.061
189.34999999999854,,236.538501224342,,,,,,42.63,,,,,0.061
195.36000000000058,,202.71181276159757,,,,,,82.823,,,,,0.061
198.3399999999965,,,347.1385903856714,,,,,,62.033,,,,0.061
199.17599999999948,,,,,,396.8270260371782,,,,,,92.528,0.061
