relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-111.68600000000151,62.382015971884634,,,,,,62.269,,,,,,0.029
-106.68600000000151,52.8575815104219,,,,,,60.545,,,,,,0.029
-98.70600000000559,,150.94993525686576,,,,,,147.532,,,,,0.029
-88.68600000000151,100.59323175290395,,,,,,88.758,,,,,,0.029
-49.675999999999476,84.50800987466728,,,,,,54.979,,,,,,0.029
-43.7760000000053,,,,251.17786525238756,,,,,,172.388,,,0.029
-35.83600000000297,,90.11890081138947,,,,,,60.74,,,,,0.029
-33.796000000002095,183.3946656899419,,,,,,111.607,,,,,,0.029
-31.815999999998894,,,125.38966411536451,,,,,,71.756,,,,0.029
-22.916000000004715,,,56.885138303306,,,,,,59.042,,,,0.029
-4.916000000004715,,,,487.903987825645,,,,,,363.134,,,0.029
-0.8260000000009313,311.84287448034286,,380.84998767598205,,,,124.505,,167.837,,,,0.029
0.0,,,,,438.71344864381035,,,,,,77.055,,0.029
0.01999999999679858,,,,,,753.7673647260154,,,,,,93.661,0.029
1.9399999999950523,,,,,,1454.2241169517906,,,,,,126.374,0.029
2.0279999999984284,,,,,1530.241228278257,,,,,,109.8,,0.029
3.9989999999961583,,,,,,3883.015961363339,,,,,,122.608,0.029
4.026999999994587,,,,,3424.340038928243,,,,,,129.321,,0.029
5.966999999996915,,,,,5955.911775056355,,,,,,107.941,,0.029
6.07499999999709,,,,,,6728.5353245029455,,,,,,125.587,0.029
8.958999999995285,,,,,9306.951608415264,,,,,,185.89,,0.029
10.961999999999534,,,,,11227.064106673419,,,,,,187.365,,0.029
10.985000000000582,,,,,,11860.731273056837,,,,,,178.341,0.029
12.877999999996973,,,,,14202.003425701947,,,,,,204.645,,0.029
12.95799999999872,,,,,,14451.603632569982,,,,,,171.207,0.029
17.072999999996682,,,,,,14074.519546823336,,,,,,355.259,0.029
18.994999999995343,,,,,,15044.51277721196,,,,,,248.573,0.029
19.013999999995576,,14254.186847641131,,7977.923959531315,,,,143.867,,172.002,,,0.029
22.8949999999968,,,,,10846.929366928063,,,,,,155.517,,0.029
22.939999999995052,,,,,,13018.676377676611,,,,,,185.217,0.029
23.03399999999965,,,7434.2210866598425,,,,,,116.481,,,,0.029
23.043999999994412,,12898.649853748379,,,,,,119.839,,,,,0.029
24.888999999995576,,,,,,12326.279926831305,,,,,,129.647,0.029
25.943999999995867,9435.272754518632,,,5936.599174604005,,,135.515,,,115.963,,,0.029
27.911000000000058,,,,,8284.314009274707,,,,,,153.295,,0.029
27.938999999998487,,,,,,9845.744260009773,,,,,,133.783,0.029
27.963999999999942,8066.051293959515,9982.773909208232,,,,,119.262,90.64,,,,,0.029
29.888999999995576,,,,,6805.952405918928,,,,,,125.896,,0.029
29.927999999999884,,,,,,8325.657543421694,,,,,,133.197,0.029
31.91599999999744,,,,,,7973.143022924112,,,,,,256.305,0.029
33.917999999997846,,,,,,7293.629804477066,,,,,,161.361,0.029
33.979999999995925,,,,,4550.592349582806,,,,,,139.726,,0.029
34.05399999999645,5066.608020226475,,4380.150389809248,,,,123.124,,141.078,,,,0.029
36.91700000000128,,,,,3542.533850090783,,,,,,144.756,,0.029
36.9629999999961,,,,,,6914.51628942394,,,,,,167.35,0.029
38.90199999999459,,,,,,6962.032318137237,,,,,,166.199,0.029
38.937999999994645,,,,,2917.705351935062,,,,,,141.46,,0.029
44.8949999999968,,,,,1175.671571987973,,,,,,233.955,,0.029
44.98500000000058,,,,,,6166.181346998186,,,,,,247.282,0.029
50.91700000000128,,,,,,4833.827882768196,,,,,,198.807,0.029
52.854999999995925,,,,,,3860.6800933324503,,,,,,146.299,0.029
52.900000000001455,,,,,1328.8929093384731,,,,,,122.162,,0.029
54.85599999999977,,,,,1297.9991794156958,,,,,,115.345,,0.029
54.932999999997264,,,,,,3430.849616182197,,,,,,143.595,0.029
56.867999999994936,,,,,1259.4588364584883,,,,,,206.932,,0.029
56.911999999996624,,,,,,3584.379586915253,,,,,,115.338,0.029
58.86899999999878,,,,,1005.3315429814239,,,,,,132.215,,0.029
58.919999999998254,,,,,,2930.3203585673746,,,,,,172.772,0.029
60.81199999999808,,,,,,2820.3789518886656,,,,,,155.927,0.029
60.875999999996566,,,,,899.4234899496711,,,,,,159.576,,0.029
62.83199999999488,,,,,,2776.4856421930845,,,,,,323.414,0.029
62.875,,,,,1026.7810312944694,,,,,,142.296,,0.029
64.87599999999657,,,,,812.5634476285798,,,,,,134.835,,0.029
64.97299999999814,,,,,,2586.265842066663,,,,,,169.015,0.029
66.89899999999761,,,,,931.2315586474981,,,,,,96.22,,0.029
82.83199999999488,,,,,812.7572360574836,,,,,,141.308,,0.029
82.86999999999534,,,,,,1649.1155794262613,,,,,,115.841,0.029
84.83399999999529,,,,,675.1877939674611,,,,,,130.51,,0.029
84.87099999999919,,,,,,1210.4320205679824,,,,,,190.236,0.029
86.83299999999872,,,,,658.2489722343727,,,,,,107.887,,0.029
86.85299999999552,,,,,,1214.4301508828692,,,,,,113.999,0.029
88.83399999999529,,,,,719.5257299772362,,,,,,101.04,,0.029
88.85399999999936,,,,,,1726.019687802918,,,,,,125.381,0.029
90.8489999999947,,,,,807.9178786064022,,,,,,122.901,,0.029
90.85299999999552,,,,,,1323.8658564612692,,,,,,114.159,0.029
94.86999999999534,,,,,,1178.2405018354423,,,,,,247.016,0.029
98.85699999999633,,,,,,921.8632937893635,,,,,,202.401,0.029
