relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-288.1779999999999,,,,,648.9047928789366,,,,,,163.612,,0.042
-75.8579999999929,,,,,,243.55982478428973,,,,,,67.279,0.042
-61.729999999995925,110.14159201028727,,,,,,88.681,,,,,,0.042
-43.7699999999968,,245.44149956887665,,,,,,124.21,,,,,0.042
-28.81999999999971,130.9587590720187,,,,,,89.598,,,,,,0.042
-24.799999999995634,,238.0991145086846,,,,,,97.297,,,,,0.042
-8.849999999998545,,135.95945986025606,,245.82397563020135,,,,79.137,,150.468,,,0.042
-1.9859999999971478,,,,,,379.8879011914903,,,,,,81.723,0.042
-1.9769999999989523,,,,,347.5448913738236,,,,,,79.8,,0.042
0.0,,,,,,763.568817573481,,,,,,108.813,0.042
0.017000000007101335,,,,,573.0650145970232,,,,,,86.329,,0.042
0.12000000000261934,431.8307980470818,511.1267354775698,,,,,111.717,106.396,,,,,0.042
0.978000000002794,,,,,,853.5992536046061,,,,,,111.337,0.042
1.0240000000048894,,,,,956.6972764517164,,,,,,88.043,,0.042
2.8910000000032596,,,,,1180.497481559003,,,,,,114.12,,0.042
2.944000000003143,,,,,,1273.9117393933325,,,,,,114.066,0.042
4.977000000006228,,,,,1514.3547832542613,,,,,,84.283,,0.042
5.110000000000582,1768.0531324741535,,,,,,93.493,,,,,,0.042
5.120000000002619,,,1279.7351097233136,,,,,,101.669,,,,0.042
6.981000000007043,,,,,1746.0160518425596,,,,,,170.901,,0.042
8.978000000002794,,,,,,2438.7240802031756,,,,,,143.867,0.042
8.998000000006869,,,,,2179.495029105426,,,,,,102.882,,0.042
10.976000000002387,,,,,,2113.9260886227103,,,,,,148.627,0.042
14.885000000002037,,,,,1671.1433135282584,,,,,,297.255,,0.042
15.031000000002678,,,,,,2462.5025686159306,,,,,,278.247,0.042
16.888000000006286,,,,,1480.24785763857,,,,,,303.181,,0.042
16.957000000002154,,,,,,1942.4162380246196,,,,,,238.221,0.042
18.060000000004948,,2086.155017191546,,,,,,120.125,,,,,0.042
18.070000000006985,,,,755.361207544629,,,,,,155.221,,,0.042
20.968000000000757,,,,,,2099.4177478042684,,,,,,133.173,0.042
23.070000000006985,1204.1002901516808,,,,,,87.441,,,,,,0.042
23.080000000001746,,,936.5089900907201,,,,,,86.425,,,,0.042
25.931000000004133,,,,,,1446.3877353701355,,,,,,92.109,0.042
25.99000000000524,,,,,1079.2375784663527,,,,,,89.631,,0.042
27.922000000005937,,,,,,1431.8840117339093,,,,,,112.643,0.042
30.913000000000466,,,,,,858.8709213998027,,,,,,163.662,0.042
31.030000000006112,547.4505313563357,,,,,,100.392,,,,,,0.042
31.040000000000873,,1146.9370857485253,,,,,,111.639,,,,,0.042
34.89800000000105,,,,,406.01548375344254,,,,,,100.225,,0.042
34.95100000000093,,,,,,1223.1527467009805,,,,,,162.003,0.042
36.93800000000192,,,,,,1164.8654384053284,,,,,,110.207,0.042
38.070000000006985,185.52960708421946,,,,,,89.316,,,,,,0.042
38.080000000001746,,,,692.4255654237793,,,,,,130.196,,,0.042
45.94000000000233,,495.639150807816,,,,,,212.877,,,,,0.042
48.9690000000046,,,,,,631.5174061939142,,,,,,180.042,0.042
51.020000000004075,,398.3981004798885,,358.37789618199076,,,,99.205,,145.579,,,0.042
52.9800000000032,114.48176192830911,,,,,,71.159,,,,,,0.042
52.99000000000524,,,231.47883141161716,,,,,,80.988,,,,0.042
54.900000000001455,,,,,,503.28325021148225,,,,,,103.127,0.042
57.99000000000524,,,205.348151130845,,,,,,111.132,,,,0.042
60.887000000002445,,,,,,466.7578759957162,,,,,,117.749,0.042
61.950000000004366,129.4341765849087,142.78835280840278,,,,,94.438,103.53,,,,,0.042
77.0,,241.43515681081124,,,,,,124.317,,,,,0.042
77.92000000000553,,376.48468656284075,,,,,,88.268,,,,,0.042
86.90000000000146,,133.45273492618537,,,,,,101.594,,,,,0.042
89.78800000000047,,,,,,353.70616943527233,,,,,,96.746,0.042
90.90000000000146,,305.77627059214507,,,,,,99.097,,,,,0.042
101.93000000000029,,303.79739346357474,,,,,,204.475,,,,,0.042
