relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-296.2100000000064,,,,118.05254648822263,,,,,,122.427,,,0.016
-291.24000000000524,,,148.77549367440974,,,,,,79.652,,,,0.016
-53.900000000001455,162.91319914592447,,,,,,114.913,,,,,,0.016
-51.87000000000262,,,166.86251499912993,,,,,,66.455,,,,0.016
-47.890000000006694,93.9603885668149,,,,,,51.585,,,,,,0.016
-45.890000000006694,66.48960739842569,,,,,,73.464,,,,,,0.016
-43.86000000000058,95.8571077611916,,60.80319994936496,,,,54.621,,69.679,,,,0.016
-36.92000000000553,,63.06678914856534,,400.29913356141554,,,,77.108,,114.966,,,0.016
-34.92000000000553,,,180.19152576785032,,,,,,92.803,,,,0.016
-26.87000000000262,,,112.70633908996004,,,,,,85.072,,,,0.016
-23.960000000006403,,,,438.37486222872013,,,,,,314.538,,,0.016
-15.930000000000291,96.34869349232595,,224.84813359482308,,,,68.553,,73.342,,,,0.016
-13.910000000003492,93.60383067599214,,,,,,65.207,,,,,,0.016
-12.080000000001746,271.5536457266138,,,390.9964129773938,,,80.071,,,126.888,,,0.016
0.0,,502.538292098687,,916.7575566306571,,,,86.149,,136.808,,,0.016
0.7899999999935972,,,,,916.2840228466183,,,,,,286.836,,0.016
0.8559999999997672,,,,,,899.3971385938453,,,,,,214.955,0.016
1.9799999999959255,,,796.700948867219,,,,,,110.71,,,,0.016
1.9899999999979627,,650.7028752864393,,,,,,93.197,,,,,0.016
5.009999999994761,301.3884690054581,,874.3191452747012,,,,66.999,,82.009,,,,0.016
5.8069999999934225,,,,,773.4708426258069,,,,,,109.306,,0.016
5.834999999999127,,,,,,728.0512597216928,,,,,,113.718,0.016
7.813999999998487,,,,,,737.3784256537278,,,,,,151.433,0.016
14.875999999996566,,,,,440.0268738170288,,,,,,137.66,,0.016
14.944999999999709,,,,,,880.6234578734372,,,,,,242.199,0.016
17.969999999993888,193.9674926075827,,683.6408696365061,,,,114.509,,119.914,,,,0.016
19.855999999999767,,,,,,666.4535194519366,,,,,,208.157,0.016
20.815999999998894,,,,,,1030.1696872339598,,,,,,253.567,0.016
27.959999999999127,,728.7263219458339,,,,,,171.498,,,,,0.016
27.969999999993888,,,240.88161113732335,,,,,,150.644,,,,0.016
28.776999999994587,,,,,,693.3598213564313,,,,,,174.533,0.016
31.0199999999968,,293.3278651530147,564.1692503546457,,,,,114.725,121.568,,,,0.016
35.93999999999505,109.271279772145,,478.7245533330043,,,,61.035,,85.925,,,,0.016
38.77299999999377,,,,,,336.0969412932093,,,,,,87.282,0.016
39.771999999997206,,,,,274.58002563576383,,,,,,84.131,,0.016
39.8179999999993,,,,,,396.7969246790078,,,,,,108.471,0.016
41.89999999999418,,322.53291462666704,,,,,,86.304,,,,,0.016
