relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-274.1999999999971,,,,138.65860296600349,,,,,,134.491,,,0.056
-267.2299999999959,124.70166748936393,,,,,,81.49,,,,,,0.056
-238.3199999999997,128.50812786416617,,,,,,76.492,,,,,,0.056
-225.3199999999997,,120.09785983088663,,,,,,87.917,,,,,0.056
-223.29000000000087,,,,229.50802898854536,,,,,,172.317,,,0.056
-5.959999999999127,100.23759368361877,,,,,,103.853,,,,,,0.056
-5.180000000000291,,,,,,712.4455767532935,,,,,,169.706,0.056
-3.176999999996042,,,,,357.08966511264276,,,,,,92.493,,0.056
-3.120999999999185,,,,,,728.813810033064,,,,,,121.831,0.056
0.0,670.8376993576487,,,,,,74.611,,,,,,0.056
3.8179999999993015,,,,,820.9919073387115,,,,,,106.762,,0.056
3.8620000000009895,,,,,,1495.8068450657167,,,,,,111.725,0.056
5.821000000003551,,,,,,2290.2957997105186,,,,,,122.412,0.056
6.040000000000873,1255.4723944401987,,,,,,65.117,,,,,,0.056
9.0,1499.5018320826916,,,,,,74.579,,,,,,0.056
9.796000000002095,,,,,,2091.467414303063,,,,,,163.676,0.056
9.87800000000425,,,,,1403.112466193298,,,,,,148.042,,0.056
10.836999999999534,,,,,,2063.821349630499,,,,,,173.364,0.056
10.881000000001222,,,,,1396.5191113210647,,,,,,119.147,,0.056
12.029999999998836,,,2319.4489805629332,,,,,,102.1,,,,0.056
12.040000000000873,,2366.397756543493,,,,,,100.559,,,,,0.056
13.92000000000553,,2087.688631637289,,,,,,105.835,,,,,0.056
16.777000000001863,,,,,,2626.1981493461453,,,,,,219.906,0.056
16.834999999999127,,,,,1561.7169354031134,,,,,,235.422,,0.056
18.797000000005937,,,,,1561.5708981261373,,,,,,253.637,,0.056
20.92000000000553,,2258.9581168584405,,2754.8654252440706,,,,80.923,,121.136,,,0.056
23.970000000001164,,,,2894.875314452054,,,,,,213.468,,,0.056
25.760000000002037,,,,,,2585.8369775814917,,,,,,87.748,0.056
28.800999999999476,,,,,,2888.496726502307,,,,,,91.991,0.056
30.730999999999767,,,,,,2678.0865870394437,,,,,,100.287,0.056
30.775000000001455,,,,,1435.0706706103476,,,,,,81.882,,0.056
31.93000000000029,,2048.137686076125,,,,,,78.286,,,,,0.056
32.775000000001455,,,,,1418.9438197505071,,,,,,93.514,,0.056
32.7980000000025,,,,,,2626.359192031913,,,,,,96.795,0.056
34.75500000000466,,,,,1218.6719490371731,,,,,,266.215,,0.056
34.778000000005704,,,,,,2483.896957490458,,,,,,157.505,0.056
37.754000000000815,,,,,1383.211464456602,,,,,,129.156,,0.056
37.79700000000594,,,,,,2504.0551426984484,,,,,,113.013,0.056
39.73500000000058,,,,,1026.6135342375278,,,,,,176.874,,0.056
39.79899999999907,,,,,,2296.9663572736386,,,,,,158.229,0.056
44.809000000001106,,,,,,2310.91773941963,,,,,,110.422,0.056
44.84200000000419,,,,,1219.5470317828044,,,,,,108.796,,0.056
47.77400000000489,,,,,,2234.6985368555147,,,,,,236.63,0.056
47.81900000000314,,,,,1022.6066364504914,,,,,,298.697,,0.056
