relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-44.98999999999796,,61.894997259847955,,,,,,78.646,,,,,0.034
-26.959999999999127,56.00078743201843,,,,,,44.98,,,,,,0.034
-8.970000000001164,,83.74284009240901,,101.05735488152722,,,,76.143,,130.273,,,0.034
-6.040000000000873,42.09917562030528,,,,,,40.369,,,,,,0.034
0.0,2305.1121915331223,1863.0276061194356,,,,,83.189,66.178,,,,,0.034
0.7410000000018044,,,,,,3659.1779513290253,,,,,,133.435,0.034
0.8209999999962747,,,,,3820.0366954098818,,,,,,377.575,,0.034
4.817000000002736,,,,,,5427.1585765009495,,,,,,104.421,0.034
4.873999999996158,,,,,4872.888271396045,,,,,,110.823,,0.034
6.970000000001164,4968.440990758592,,,4949.054327149535,,,95.264,,,141.994,,,0.034
9.798000000002503,,,,,4612.018893393753,,,,,,228.4,,0.034
9.817999999999302,,,,,,5494.18399609632,,,,,,182.908,0.034
10.87999999999738,,5365.248081773529,5457.26589317938,,,,,104.047,123.115,,,,0.034
11.686000000001513,,,,,4538.8366278398,,,,,,342.925,,0.034
11.818999999995867,,,,,,5743.42645670778,,,,,,240.88,0.034
17.82800000000134,,,,,4048.218724241011,,,,,,213.661,,0.034
23.729999999995925,,,,,3215.259527536456,,,,,,91.358,,0.034
23.81300000000192,,,,,,5037.656369794296,,,,,,97.104,0.034
27.735000000000582,,,,,,4954.3988368517585,,,,,,93.425,0.034
27.762000000002445,,,,,3058.518851187393,,,,,,78.36,,0.034
29.733000000000175,,,,,,5214.709055899629,,,,,,103.466,0.034
29.777000000001863,,,,,2724.211541492403,,,,,,75.849,,0.034
30.889999999999418,2529.201603176701,4628.767074093944,,,,,193.678,76.261,,,,,0.034
31.73700000000099,,,,,,5119.660440344402,,,,,,96.391,0.034
31.781999999999243,,,,,2569.236694830445,,,,,,76.568,,0.034
33.73500000000058,,,,,,4796.542320772474,,,,,,109.911,0.034
33.75600000000122,,,,,2462.1840825480795,,,,,,123.939,,0.034
36.71600000000035,,,,,,4536.398331504244,,,,,,138.691,0.034
36.75699999999779,,,,,1919.5207864168633,,,,,,142.966,,0.034
38.71499999999651,,,,,1868.3973086474584,,,,,,183.962,,0.034
38.81300000000192,,,,,,4537.114916635403,,,,,,168.777,0.034
43.81199999999808,,,,,,4305.507413930382,,,,,,101.446,0.034
46.77599999999802,,,,,,3736.410777933741,,,,,,257.251,0.034
46.81899999999587,,,,,1909.421973936382,,,,,,264.98,,0.034
