relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-153.73999999999796,,,,127.9021000327247,,,,,,150.414,,,0.03
-133.7699999999968,82.63744848077928,,61.34700251916049,,,,64.008,,61.502,,,,0.03
-98.83000000000175,127.43214763653216,,81.52308306528653,,,,94.12,,68.487,,,,0.03
-88.87999999999738,,114.01284464421772,,,,,,96.832,,,,,0.03
-86.87000000000262,,81.39894950021349,,,,,,56.953,,,,,0.03
-84.91999999999825,,,,46.49147436125882,,,,,,59.618,,,0.03
-82.88999999999942,75.44451835698578,,,,,,68.913,,,,,,0.03
-60.95999999999913,,118.83252634768937,,,,,,122.332,,,,,0.03
-46.95999999999913,77.64539800605183,131.02342280789597,,,,,49.181,57.449,,,,,0.03
-33.9800000000032,,286.0980233993077,,,,,,207.827,,,,,0.03
-29.959999999999127,,,,169.94973564311135,,,,,,194.282,,,0.03
-4.989999999997963,,564.4920700534448,497.68859592925855,,,,,122.423,122.195,,,,0.03
0.0,,874.2344428697612,951.5613666541266,,,,,136.184,122.983,,,,0.03
1.0,,1113.3979979388698,,534.8614325439992,,,,76.934,,113.643,,,0.03
2.0,,1159.5488654575913,1386.914546027965,,,,,119.809,119.252,,,,0.03
3.0,,1128.9895072357351,,825.6692001811052,,,,94.556,,204.215,,,0.03
4.0,1797.029840311417,,,894.3360969018992,,,95.078,,,155.678,,,0.03
