relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-58.44499999999971,267.1455261825202,,,,,,86.766,,,,,,0.019
-49.93999999999505,177.40761926965598,,,,,,60.179,,,,,,0.019
-35.06999999999971,290.92709975129,,,131.09852354877893,,,70.931,,,122.808,,,0.019
-9.099999999998545,,,523.8882829203193,,,,,,239.624,,,,0.019
-6.970000000001164,,,287.0783290144285,,,,,,114.227,,,,0.019
-2.146999999997206,,,,,334.9748097984044,,,,,,65.445,,0.019
0.0,500.8930667053103,,337.15133257727297,,,,77.258,,126.374,,,,0.019
4.811000000001513,,,,,,765.4710957061561,,,,,,111.001,0.019
4.846000000005006,,,,,750.1550472199762,,,,,,109.001,,0.019
8.87000000000262,1408.8773601598616,,,304.9182920221394,,,88.94,,,126.048,,,0.019
9.863000000004831,,,,,,1263.0362179111696,,,,,,156.783,0.019
9.889000000002852,,,,,837.5154552960649,,,,,,130.889,,0.019
11.764999999999418,,,,,945.9852517706734,,,,,,219.778,,0.019
11.809000000001106,,,,,,1977.5698801289857,,,,,,426.933,0.019
18.840000000003783,,,,767.6315230083491,,,,,,183.11,,,0.019
18.849999999998545,,622.02845295501,,,,,,104.506,,,,,0.019
19.72899999999936,,,,,468.2078242100455,,,,,,108.01,,0.019
21.910000000003492,,,1229.5124180986925,,,,,,93.633,,,,0.019
21.92000000000553,,1246.9697292346095,,,,,,69.375,,,,,0.019
27.743000000002212,,,,,,440.77270091814563,,,,,,91.241,0.019
29.702000000004773,,,,,,402.0905134414863,,,,,,90.275,0.019
29.77100000000064,,,,,189.14685464210012,,,,,,56.249,,0.019
31.742000000005646,,,,,,297.80301161653375,,,,,,66.094,0.019
32.88999999999942,428.44232541723744,,,,,,55.418,,,,,,0.019
