relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-9.840000000003783,,211.95665702162427,,,,,,191.442,,,,,0.047
-7.0,,160.20082536248268,,,,,,96.083,,,,,0.047
-6.990000000005239,,,,230.22747185093743,,,,,,185.233,,,0.047
-2.960000000006403,,,104.56055292384934,,,,,,78.367,,,,0.047
0.0,289.87325207154066,,,,,,44.624,,,,,,0.047
1.9899999999979627,373.9606324589812,,709.9126078698562,,,,70.58,,136.355,,,,0.047
10.973999999994703,,,,,,1516.1118826244003,,,,,,181.222,0.047
11.008999999998196,,,,,1148.8644779613817,,,,,,194.408,,0.047
12.93399999999383,,,,,,1793.1779281535157,,,,,,144.912,0.047
12.981999999996333,,,,,1670.1058472550903,,,,,,191.804,,0.047
15.109999999993306,,1998.7072388961421,2092.947818520154,,,,,142.025,124.959,,,,0.047
17.06999999999971,,1690.6774645071587,1890.1561175547727,,,,,137.432,163.608,,,,0.047
18.01799999999639,,,,,,2062.765603399009,,,,,,142.863,0.047
18.099999999998545,,2247.5504574899396,,1261.2992612485984,,,,160.142,,274.109,,,0.047
20.049999999995634,,2488.371846223187,1885.2942749089316,,,,,89.646,111.478,,,,0.047
20.91399999999703,,,,,,2306.5975788217265,,,,,,78.83,0.047
21.05999999999767,,2310.561880761468,,1250.8973694393378,,,,110.516,,174.762,,,0.047
24.039999999993597,1938.4616333449524,,,,,,71.195,,,,,,0.047
24.049999999995634,,,,855.6585533690829,,,,,,160.462,,,0.047
26.029999999998836,1686.7447163997558,,1670.7479648763895,,,,76.899,,103.81,,,,0.047
28.049999999995634,1452.9055377328164,,1357.9813615525852,,,,64.203,,53.855,,,,0.047
29.898999999997613,,,,,,1517.807402594498,,,,,,82.536,0.047
29.964999999996508,,,,,841.2746005489008,,,,,,72.621,,0.047
31.89999999999418,,,,,,1436.956697205994,,,,,,85.784,0.047
31.97099999999773,,,,,780.2742417783178,,,,,,78.057,,0.047
33.89899999999761,,,,,,1132.8844471670168,,,,,,78.294,0.047
33.97299999999814,,,,,794.788509267742,,,,,,92.945,,0.047
34.029999999998836,828.0446546452763,,1251.0718406703525,,,,51.641,,87.933,,,,0.047
35.919999999998254,,,,,720.1484921692106,,,,,,80.776,,0.047
35.9739999999947,,,,,,1466.9817257069371,,,,,,109.832,0.047
37.92199999999866,,,,,,1278.660416562839,,,,,,132.302,0.047
37.99799999999959,,,,,617.0775338356231,,,,,,184.057,,0.047
39.89400000000023,,,,,,1326.2817485761643,,,,,,194.403,0.047
50.92099999999482,,,,,,597.7541564384866,,,,,,105.303,0.047
