relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-295.1200000000026,,,,227.9118158201033,,,,,,101.247,,,0.036
-293.15000000000146,82.74855124365452,,,,,,41.6,,,,,,0.036
-288.15000000000146,115.08580809653172,,,,,,67.485,,,,,,0.036
-288.1400000000067,,,82.50040391912158,,,,,,86.232,,,,0.036
-284.1900000000023,213.8659607130335,,,,,,73.577,,,,,,0.036
-284.1800000000003,,49.84277442329326,,,,,,54.909,,,,,0.036
-270.25,,116.59485705034726,,,,,,142.687,,,,,0.036
-269.1400000000067,,201.41685071067778,,230.7963232613575,,,,105.781,,119.299,,,0.036
-259.24000000000524,91.22392826208203,,,,,,64.779,,,,,,0.036
-255.24000000000524,131.09710916514322,,,,,,53.623,,,,,,0.036
-11.92000000000553,75.86110913433491,,119.76758174430087,,,,53.75,,54.478,,,,0.036
-8.890000000006694,,,249.58296879057306,,,,,,101.355,,,,0.036
-7.960000000006403,,,,553.0173463083032,,,,,,129.609,,,0.036
-7.480000000003201,,348.4769876630039,,,,,,109.545,,,,,0.036
-6.990000000005239,,,387.5550099925362,,,,,,103.734,,,,0.036
-4.143000000003667,,,,,,973.1077321306517,,,,,,172.864,0.036
-4.085000000006403,,,,,805.6279619039389,,,,,,227.471,,0.036
-2.1229999999995925,,,,,1060.7080180482767,,,,,,219.569,,0.036
0.0,,994.9599823437386,,744.1409213229899,,,,84.59,,104.101,,,0.036
3.0499999999956344,1265.5920171217624,,,455.5378079520386,,,147.11,,,168.639,,,0.036
4.8399999999965075,,,,,,1300.0380310185085,,,,,,78.422,0.036
5.07999999999447,1381.787575183182,,959.6016108084028,,,,57.685,,65.03,,,,0.036
7.880999999993946,,,,,,1443.1106776011102,,,,,,78.64,0.036
9.810999999994237,,,,,,1180.423123898128,,,,,,82.974,0.036
9.854999999995925,,,,,1061.8432648706282,,,,,,70.599,,0.036
11.009999999994761,,1219.6803442767005,,,,,,85.862,,,,,0.036
11.019999999996799,1167.355461540907,,,,,,69.424,,,,,,0.036
11.854999999995925,,,,,1040.2278606088078,,,,,,82.495,,0.036
11.877999999996973,,,,,,1304.1725099016921,,,,,,73.475,0.036
13.834999999999127,,,,,1196.8853914308681,,,,,,289.915,,0.036
13.858000000000175,,,,,,1175.484592912662,,,,,,141.565,0.036
16.833999999995285,,,,,783.597860576619,,,,,,120.125,,0.036
16.877000000000407,,,,,,1021.647147509211,,,,,,92.524,0.036
18.814999999995052,,,,,586.4045079347937,,,,,,176.526,,0.036
18.87899999999354,,,,,,773.0027991594499,,,,,,148.708,0.036
23.888999999995576,,,,,,784.6677744548657,,,,,,95.476,0.036
23.92199999999866,,,,,471.16334991934673,,,,,,97.215,,0.036
