relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-282.0570000000007,,56.69031602705984,,,,,,46.605,,,,,0.046
-268.1270000000004,,420.4864343898001,,,,,,154.816,,,,,0.046
-267.0170000000071,,126.48916680383843,,201.52646997631453,,,,97.17,,119.903,,,0.046
-257.1070000000036,,120.23198459870439,,,,,,65.466,,,,,0.046
-253.11700000000565,58.933879504098435,,,,,,43.154,,,,,,0.046
-244.11700000000565,,85.27068969091638,,,,,,82.305,,,,,0.046
-242.0870000000068,,305.08696090088654,,,,,,163.268,,,,,0.046
-24.757000000005064,,,,107.89657121005978,,,,,,103.359,,,0.046
-18.8070000000007,,80.28322609109993,,,,,,58.159,,,,,0.046
-9.797000000005937,76.03950245757238,,88.2144482642876,,,,44.222,,51.106,,,,0.046
-6.767000000007101,,,242.02572805510977,,,,,,87.348,,,,0.046
-6.757000000005064,,273.0775666663918,,,,,,88.655,,,,,0.046
-5.83700000000681,,,,307.19850141618053,,,,,,161.664,,,0.046
-5.357000000003609,,360.39050788052316,,,,,,128.955,,,,,0.046
-4.867000000005646,,,500.7191215469137,,,,,,95.532,,,,0.046
-2.0200000000040745,,,,,,1066.750766631631,,,,,,186.887,0.046
-1.9620000000068103,,,,,959.2429108851542,,,,,,235.958,,0.046
0.0,,,,,1481.3837558746707,,,,,,231.073,,0.046
2.1229999999995925,,1570.0221048177673,,1055.4716742594514,,,,70.883,,97.847,,,0.046
6.9629999999961,,,,,,2130.1232289993236,,,,,,87.697,0.046
10.003999999993539,,,,,,2009.3339317923735,,,,,,78.078,0.046
11.93399999999383,,,,,,2104.8356795903533,,,,,,89.338,0.046
11.977999999995518,,,,,1637.6921437660883,,,,,,78.749,,0.046
13.132999999994354,,1824.7874085082572,,,,,,82.962,,,,,0.046
13.142999999996391,1484.7410186801346,,,,,,70.823,,,,,,0.046
13.977999999995518,,,,,1714.1625228592743,,,,,,92.623,,0.046
14.000999999996566,,,,,,2024.4198682560686,,,,,,91.974,0.046
15.95799999999872,,,,,2131.2783416470415,,,,,,274.095,,0.046
15.980999999999767,,,,,,2293.9832726706886,,,,,,143.222,0.046
18.956999999994878,,,,,1240.6004607063012,,,,,,128.808,,0.046
19.0,,,,,,1577.8576601162242,,,,,,101.694,0.046
20.937999999994645,,,,,1019.024467191194,,,,,,159.096,,0.046
21.00199999999313,,,,,,1420.6594405441317,,,,,,150.094,0.046
26.01199999999517,,,,,,1549.689132148952,,,,,,97.238,0.046
26.044999999998254,,,,,745.2713863003013,,,,,,96.704,,0.046
28.976999999998952,,,,,,1243.1539496882226,,,,,,230.742,0.046
29.021999999997206,,,,,947.240018908635,,,,,,259.347,,0.046
