relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-81.66599999999744,70.62626938560268,,65.48402255896454,,,,49.612,,62.775,,,,0.012
-78.68600000000151,,49.48172759229566,,,,,,61.518,,,,,0.012
-73.6559999999954,,,65.86797927738534,,,,,,56.75,,,,0.012
-69.72599999999511,,,,98.92016112329847,,,,,,80.156,,,0.012
-69.71600000000035,48.92761775759023,,,,,,49.882,,,,,,0.012
-66.71600000000035,,91.13674395312736,,,,,,53.663,,,,,0.012
-59.836999999999534,,,,,,1377.9028721979907,,,,,,428.964,0.012
-45.72599999999511,68.25093008717016,,,,,,43.297,,,,,,0.012
-24.786000000000058,49.62710417676054,,,,,,55.323,,,,,,0.012
-1.8260000000009313,,,390.63817801821347,,,,,,116.591,,,,0.012
-0.05500000000029104,,,,,640.2620832656878,,,,,,156.306,,0.012
0.0,,,,,,673.8461854345144,,,,,,123.681,0.012
1.224000000001979,,994.5869424700285,754.5842159757851,,,,,111.2,96.527,,,,0.012
3.0940000000045984,1547.9988363058283,,,699.4001768038695,,,71.905,,,129.293,,,0.012
5.995999999999185,,,,,2614.9929245185003,,,,,,76.431,,0.012
6.019000000000233,,,,,,2455.619817337626,,,,,,87.92,0.012
8.934000000001106,,,,,3342.93117017577,,,,,,102.831,,0.012
8.976999999998952,,,,,,3272.8202856586404,,,,,,95.85,0.012
10.915000000000873,,,,,3896.980863477349,,,,,,101.494,,0.012
10.935000000004948,,,,,,3870.489582943701,,,,,,103.678,0.012
12.094000000004598,3797.8937808599167,,,,,,85.357,,,,,,0.012
12.10399999999936,,3503.427499993927,,,,,,94.445,,,,,0.012
12.934000000001106,,,,,3797.235521963111,,,,,,102.15,,0.012
12.978000000002794,,,,,,3892.3704998975536,,,,,,100.384,0.012
14.976000000002387,,,,,,4236.7985533460305,,,,,,156.549,0.012
17.853000000002794,,,,,3336.1677803580374,,,,,,287.125,,0.012
17.935000000004948,,,,,,4000.4581872746776,,,,,,157.235,0.012
19.868999999998778,,,,,,3580.91176446663,,,,,,228.39,0.012
19.913000000000466,,,,,3355.2585410618103,,,,,,210.759,,0.012
24.955000000001746,,,,,3006.6760014869624,,,,,,554.875,,0.012
25.927000000003318,,,,,2138.2423477558364,,,,,,229.984,,0.012
25.956000000005588,,,,,,3426.5357588653983,,,,,,235.624,0.012
29.914000000004307,,,,,,2389.7926591672017,,,,,,125.316,0.012
29.976000000002387,,,,,1981.8264858098808,,,,,,168.491,,0.012
