relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-62.87000000000262,72.61649565256357,,,,,,56.103,,,,,,0.016
-58.890000000006694,72.58379359748811,,,,,,50.044,,,,,,0.016
-54.86000000000058,79.49025664842486,,,,,,50.453,,,,,,0.016
-52.92000000000553,73.90664447054061,,,,,,70.175,,,,,,0.016
-9.010000000002037,,,158.25038221190314,,,,,,66.922,,,,0.016
-5.990000000005239,,,250.281432726343,,,,,,48.707,,,,0.016
-5.980000000003201,163.07881923130665,,,,,,72.369,,,,,,0.016
-5.102000000006228,,,,,429.69287081008133,,,,,,107.807,,0.016
0.0,310.600954391716,387.019350408846,,,,,81.524,66.047,,,,,0.016
4.836999999999534,,,,,,421.4503848970536,,,,,,94.853,0.016
6.969999999993888,420.54842827042137,,391.6314683880287,,,,90.354,,86.998,,,,0.016
7.917999999997846,,,,,463.1350835152411,,,,,,114.728,,0.016
9.815999999998894,,,,,,739.0239612127937,,,,,,225.369,0.016
16.969999999993888,,591.7672889970656,733.7156658403024,,,,,120.876,171.5,,,,0.016
21.889999999999418,268.2560126890045,,,763.1430605867903,,,59.034,,,96.513,,,0.016
23.729999999995925,,,,,489.6055823750788,,,,,,102.427,,0.016
24.939999999995052,515.4234194743467,,,,,,54.211,,,,,,0.016
24.94999999999709,,,1052.188737211679,,,,,,71.393,,,,0.016
26.812999999994645,,,,,480.9433784880254,,,,,,86.756,,0.016
30.830999999998312,,,,,649.7026733726829,,,,,,72.109,,0.016
30.89999999999418,492.9982489326003,945.9291413511188,,,,,56.633,65.388,,,,,0.016
32.83499999999913,,,,,432.3594423255396,,,,,,75.801,,0.016
35.8379999999961,,,,,455.6524844730322,,,,,,117.807,,0.016
38.66399999999703,,,,,,1454.9375478633792,,,,,,217.688,0.016
46.74799999999959,,,,,,2035.2137997473694,,,,,,199.766,0.016
56.66599999999744,,,,,,1862.701893110641,,,,,,104.552,0.016
56.7609999999986,,,,,697.1464633030918,,,,,,105.529,,0.016
