relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-51.82700000000477,185.41240688903798,,,,,,132.426,,,,,,0.017
-22.887000000002445,213.0957739152447,,,112.70676780976957,,,80.655,,,115.371,,,0.017
-12.91700000000128,,,,128.2565530306199,,,,,,149.537,,,0.017
-9.836999999999534,,128.9176697963027,,,,,,117.075,,,,,0.017
-1.9840000000040163,,,,,298.4835344990316,,,,,,75.75,,0.017
-1.937000000005355,,,,,,489.85399307176334,,,,,,94.999,0.017
0.0,,,,,,1381.7830568326667,,,,,,86.115,0.017
0.0629999999946449,,,,,571.2054380190151,,,,,,68.191,,0.017
1.1329999999943539,976.8127124685057,1605.603975494933,,,,,62.667,64.664,,,,,0.017
1.988999999994121,,,,,,2383.2137456550217,,,,,,88.584,0.017
2.0709999999962747,,,,,1111.5439644661888,,,,,,81.264,,0.017
4.944999999999709,,,,,,3456.0335633815357,,,,,,110.912,0.017
5.015999999995984,,,,,1522.9202928932016,,,,,,116.565,,0.017
6.993999999998778,,,,,,3718.208790687673,,,,,,156.651,0.017
7.062999999994645,,,,,1764.0623149726252,,,,,,197.267,,0.017
12.055999999996857,,,,,1599.0779648554233,,,,,,295.095,,0.017
13.950999999993655,,,,,2064.389162811073,,,,,,174.122,,0.017
14.01299999999901,,,,,,4190.577157985031,,,,,,170.848,0.017
17.932999999997264,,,,,,3961.16985984544,,,,,,114.2,0.017
18.016999999999825,,,,,1893.5251531487763,,,,,,161.293,,0.017
21.072999999996682,1717.800818159187,,,,,,72.087,,,,,,0.017
