relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-292.23999999999796,135.59956704120322,101.16781713235176,,,,,133.97,100.276,,,,,0.018
-279.2299999999959,,,,404.67418310913496,,,,,,194.369,,,0.018
-269.18999999999505,,,131.5983953351575,,,,,,155.333,,,,0.018
-265.29999999999563,62.056613098168235,,,,,,36.054,,,,,,0.018
-240.29999999999563,42.96545653676205,,,,,,46.179,,,,,,0.018
-209.29000000000087,,64.33474737181857,,,,,,82.639,,,,,0.018
-206.29000000000087,,,771.2275412431267,,,,,,540.801,,,,0.018
-47.919999999998254,,,54.428070179746435,,,,,,50.751,,,,0.018
-44.919999999998254,,,,172.17004568288323,,,,,,140.584,,,0.018
-42.90999999999622,,,207.2342709625132,,,,,,67.869,,,,0.018
-32.919999999998254,121.32766110424276,,,,,,56.749,,,,,,0.018
-20.979999999995925,61.86227134755705,,,,,,42.252,,,,,,0.018
-18.970000000001164,,,66.32392368305702,,,,,,48.504,,,,0.018
-5.009999999994761,117.00222968216971,,,,,,89.412,,,,,,0.018
-4.049999999995634,,,231.76172949132905,,,,,,48.446,,,,0.018
-4.040000000000873,150.5044111386241,,,,,,36.493,,,,,,0.018
-0.13999999999941792,,,,,,409.04257719320873,,,,,,115.492,0.018
-0.11499999999796273,,,,,558.0333625990796,,,,,,108.061,,0.018
-0.00999999999476131,,446.5795805368307,,,,,,89.076,,,,,0.018
0.0,373.5184728140281,,,,,,53.712,,,,,,0.018
1.8620000000009895,,,,,686.8634197156109,,,,,,82.923,,0.018
1.9020000000018626,,,,,,602.2011584243148,,,,,,97.619,0.018
3.8400000000037835,,,,,664.4985176270408,,,,,,89.167,,0.018
3.8620000000009895,,,,,,894.8358028365909,,,,,,88.624,0.018
4.040000000000873,830.7196538598105,,822.6919671427283,,,,65.639,,56.768,,,,0.018
5.8400000000037835,,,,,,872.3943228614753,,,,,,77.305,0.018
5.8620000000009895,,,,,875.3151321270811,,,,,,77.296,,0.018
14.840000000003783,,1886.391581484241,623.5231013660128,,,,,492.767,282.353,,,,0.018
21.827000000004773,,,,,,850.776998076651,,,,,,107.62,0.018
21.8550000000032,,,,,505.93066281808046,,,,,,116.267,,0.018
23.778000000005704,,,,,,714.3628309796568,,,,,,116.023,0.018
23.811000000001513,,,,,541.7988035936107,,,,,,97.717,,0.018
25.739000000001397,,,,,,746.818594086349,,,,,,78.691,0.018
25.822000000000116,,,,,377.30717614580624,,,,,,68.681,,0.018
25.87000000000262,493.1193596751354,639.8488538058041,,,,,48.329,51.843,,,,,0.018
27.73800000000483,,,,,315.91923922396296,,,,,,65.715,,0.018
27.82100000000355,,,,,,577.441409655864,,,,,,72.268,0.018
29.776000000005297,,,,,337.62269857688193,,,,,,72.023,,0.018
29.81999999999971,,,,,,521.5200872859914,,,,,,71.969,0.018
29.910000000003492,350.6859720591617,,523.6198084210517,,,,60.321,,55.504,,,,0.018
31.811000000001513,,,,,306.12279239783646,,,,,,92.831,,0.018
31.959999999999127,199.80031125677027,459.22490553478826,,,,,126.641,102.115,,,,,0.018
37.733000000000175,,,,,,364.1181436269501,,,,,,102.143,0.018
41.77900000000227,,,,,,432.0519266800861,,,,,,131.963,0.018
