relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-14.020000000004075,,145.17469613870992,,,,,,113.588,,,,,0.019
-14.010000000002037,,,84.7798800001381,,,,,,110.166,,,,0.019
-11.010000000002037,,,117.8710647659056,,,,,,107.222,,,,0.019
-10.010000000002037,,75.3485163195941,,,,,,42.845,,,,,0.019
-8.010000000002037,226.08104911066144,,224.76824419276994,,,,46.224,,48.557,,,,0.019
0.0,1454.9892548577461,,1332.0855807232576,,,,61.072,,60.962,,,,0.019
2.0,1803.1779596803062,1683.102529742269,,,,,68.496,68.939,,,,,0.019
2.9899999999979627,1937.9707551088684,1729.1680200504256,,,,,85.182,74.676,,,,,0.019
16.00999999999476,,1912.1184263641876,1634.520733456299,,,,,264.204,225.529,,,,0.019
18.0,,1567.8415355448813,,,,,,80.974,,,,,0.019
27.0,415.43432998162024,,783.7882591338744,,,,83.446,,127.929,,,,0.019
