relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-112.74000000000524,,191.2618210217783,,,,,,59.004,,,,,0.078
-108.74000000000524,146.0802872018812,,,,,,77.526,,,,,,0.078
-96.77000000000407,,,56.27546299572459,,,,,,56.048,,,,0.078
-94.77000000000407,104.70789363186425,,,,,,43.282,,,,,,0.078
-83.81999999999971,,63.55275806949373,186.2244146036392,,,,,68.59,185.718,,,,0.078
-80.80000000000291,128.46827648949585,,,82.04784756871759,,,80.811,,,92.416,,,0.078
-74.84000000000378,,444.6685249768533,,,,,,133.185,,,,,0.078
-63.94000000000233,,419.20534179195334,,,,,,190.745,,,,,0.078
-54.93000000000029,,,189.9127868678253,,,,,,88.553,,,,0.078
-52.88000000000466,,,148.12613011025965,,,,,,59.85,,,,0.078
-50.95999999999913,74.78226888692478,,,,,,57.135,,,,,,0.078
-41.950000000004366,,59.53953244641446,,,,,,59.636,,,,,0.078
-35.95999999999913,,,105.73792149227219,,,,,,50.225,,,,0.078
-33.94000000000233,,84.20199416188031,,,,,,59.866,,,,,0.078
-31.99000000000524,,,,430.3192048807402,,,,,,360.065,,,0.078
-23.950000000004366,,111.4770200711602,,,,,,68.984,,,,,0.078
-21.9800000000032,,,,172.18446478117852,,,,,,105.677,,,0.078
-4.980000000003201,,,397.7850477551763,,,,,,112.611,,,,0.078
-4.970000000001164,,336.33788341246316,,,,,,107.358,,,,,0.078
0.0,,1957.7808247490443,1503.286119885506,,,,,312.478,233.798,,,,0.078
1.9799999999959255,,2395.819953055538,,1324.2201050905112,,,,129.676,,122.525,,,0.078
2.889999999999418,,2787.886127085428,,,,,,72.741,,,,,0.078
2.8999999999941792,,,2347.153382002789,,,,,,84.27,,,,0.078
3.969999999993888,,2823.1707722580254,,,,,,89.047,,,,,0.078
3.9799999999959255,,,,2251.848892267649,,,,,,143.787,,,0.078
5.796999999998661,,,,,,3897.275021994602,,,,,,179.088,0.078
5.838999999999942,,,,,3964.5332775181014,,,,,,126.793,,0.078
6.8399999999965075,,,,,3977.665152215401,,,,,,324.021,,0.078
8.839999999996508,,,,,,4448.317442813214,,,,,,149.049,0.078
8.883999999998196,,,,,4315.969832288919,,,,,,163.311,,0.078
10.833999999995285,,,,,4643.209324871593,,,,,,121.522,,0.078
10.904999999998836,,,,,,4975.608766602201,,,,,,201.192,0.078
12.831999999994878,,,,,4498.310520452456,,,,,,175.105,,0.078
14.819999999999709,,,,,,4731.108877729609,,,,,,111.664,0.078
14.877999999996973,,,,,4177.280701987785,,,,,,108.349,,0.078
19.794999999998254,,,,,3055.5321503790883,,,,,,182.664,,0.078
19.8179999999993,,,,,,4133.860489251881,,,,,,181.583,0.078
21.83299999999872,,,,,,3503.3135718305584,,,,,,184.451,0.078
21.879000000000815,,,,,2289.3355045191825,,,,,,196.585,,0.078
23.812999999994645,,,,,2449.6551598730016,,,,,,287.787,,0.078
23.844999999993888,,,,,,2712.1037650819944,,,,,,325.716,0.078
25.77799999999843,,,,,1913.6057625738747,,,,,,249.461,,0.078
25.862999999997555,,,,,,2865.443562662262,,,,,,214.322,0.078
27.776999999994587,,,,,,2698.82951909715,,,,,,256.125,0.078
29.818999999995867,,,,,,3245.512024330219,,,,,,355.368,0.078
33.77699999999459,,,,,,2317.597978151732,,,,,,152.427,0.078
36.76799999999639,,,,,,2130.205151266061,,,,,,195.145,0.078
