relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-291.0169999999998,204.77677900181888,,,,,,181.041,,,,,,0.02
-259.1070000000036,,,85.84749433152712,,,,,,67.507,,,,0.02
-240.11700000000565,,68.1304358137783,,,,,,84.986,,,,,0.02
-228.11700000000565,,,451.64710248919266,,,,,,570.369,,,,0.02
-75.75700000000506,201.84424877449544,,81.39269871961645,,,,68.518,,94.673,,,,0.02
-69.74700000000303,,120.32249909648317,151.5448566751022,,,,,66.641,56.849,,,,0.02
-64.73700000000099,,162.85173401512142,96.4853640017173,,,,,111.765,93.55,,,,0.02
-47.79700000000594,89.18612345015576,,,,,,77.881,,,,,,0.02
-26.836999999999534,131.79280487542798,,,,,,117.786,,,,,,0.02
-21.836999999999534,,46.087403462377225,,,,,,48.992,,,,,0.02
-11.747000000003027,72.91020650492342,,,,,,83.187,,,,,,0.02
-6.9870000000009895,,,914.6206936820298,,,,,,280.447,,,,0.02
0.0,,,,,,1278.7404015533652,,,,,,107.318,0.02
0.027999999998428393,,,,,1459.4901894632858,,,,,,118.752,,0.02
1.9510000000009313,,,,,,1641.1310568314614,,,,,,117.392,0.02
1.9839999999967404,,,,,1803.0206830856466,,,,,,109.277,,0.02
3.911999999996624,,,,,,2143.8209969000613,,,,,,85.701,0.02
3.9949999999953434,,,,,2165.4105480865273,,,,,,75.967,,0.02
4.042999999997846,2150.5068429950597,1993.620657978392,,,,,66.881,70.077,,,,,0.02
5.911000000000058,,,,,2330.7927278673887,,,,,,72.569,,0.02
5.993999999998778,,,,,,2244.1097219533112,,,,,,87.417,0.02
7.949000000000524,,,,,2526.6201300631624,,,,,,87.854,,0.02
7.992999999994936,,,,,,2611.5573744921403,,,,,,86.108,0.02
8.08299999999872,2374.2686281131055,,1782.8098251970532,,,,67.285,,62.234,,,,0.02
9.98399999999674,,,,,2636.7491315367483,,,,,,97.313,,0.02
13.862999999997555,,,,,,2601.838474611626,,,,,,152.306,0.02
13.94199999999546,,,,,2368.011475062647,,,,,,94.193,,0.02
15.905999999995402,,,,,,2491.122034901956,,,,,,110.852,0.02
17.891999999999825,,,,,2264.3174269512624,,,,,,184.602,,0.02
17.932999999997264,,,,,,2803.069062200457,,,,,,189.118,0.02
19.838999999999942,,,,,2150.8970500814703,,,,,,168.424,,0.02
19.951999999997497,,,,,,2527.2416083920143,,,,,,133.974,0.02
21.935999999994237,,,,,,2460.6879696597243,,,,,,226.616,0.02
26.92199999999866,,,,,1264.1103723930473,,,,,,201.755,,0.02
26.9320000000007,,,,,,2260.1940354935878,,,,,,159.861,0.02
29.87199999999575,,,,,964.1895545617002,,,,,,104.795,,0.02
29.8949999999968,,,,,,1612.9347905041,,,,,,129.467,0.02
32.86000000000058,,,,,,1470.7863771365721,,,,,,99.324,0.02
32.92899999999645,,,,,790.7120587983848,,,,,,82.689,,0.02
42.8489999999947,,,,,,1238.544607743254,,,,,,82.828,0.02
44.82600000000093,,,,,,887.6502428713582,,,,,,100.595,0.02
44.88999999999942,,,,,468.5367215285458,,,,,,80.755,,0.02
47.86099999999715,,,,,,649.8021983018394,,,,,,189.215,0.02
54.93000000000029,,,,,,851.3133137929174,,,,,,181.946,0.02
58.76900000000023,,,,,303.4124010940111,,,,,,70.948,,0.02
58.841999999996915,,,,,,681.9033701997896,,,,,,85.818,0.02
60.86099999999715,,,,,,731.2580788031054,,,,,,160.875,0.02
62.78199999999924,,,,,,730.6734672205604,,,,,,180.249,0.02
64.81999999999971,,,,,,496.8716628899382,,,,,,89.5,0.02
68.78499999999622,,,,,405.8444059006077,,,,,,65.253,,0.02
71.78499999999622,,,,,273.10030118716236,,,,,,79.313,,0.02
73.80500000000029,,,,,407.3318140812502,,,,,,109.464,,0.02
73.8469999999943,,,,,,418.32170882645073,,,,,,110.228,0.02
75.80299999999988,,,,,,532.8648917522673,,,,,,129.085,0.02
86.80500000000029,,,,,,609.6802839774344,,,,,,133.097,0.02
89.78399999999965,,,,,211.62181126266609,,,,,,65.527,,0.02
91.80099999999948,,,,,322.0107685000287,,,,,,87.389,,0.02
