relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-291.9679999999935,86.75827813041194,,,,,,85.268,,,,,,0.028
-282.9679999999935,,,163.986015851422,,,,,,118.911,,,,0.028
-272.9079999999958,,,372.8070849078192,,,,,,272.473,,,,0.028
-262.00799999999435,,369.6294128514035,,,,,,87.15,,,,,0.028
-259.9979999999996,,,182.9073176688904,,,,,,90.354,,,,0.028
-44.617999999994936,,,,184.0399401865231,,,,,,161.686,,,0.028
-39.8179999999993,,273.6002948064074,,,,,,130.472,,,,,0.028
-20.65799999999581,,264.53947252280176,,,,,,95.321,,,,,0.028
0.0,,,,,2662.8137751744744,,,,,,225.003,,0.028
0.06400000000576256,,,,,,2202.2347153649275,,,,,,148.564,0.028
2.055000000000291,,,,,,3163.1327569062014,,,,,,104.03,0.028
2.0970000000015716,,,,,2675.075985653859,,,,,,90.759,,0.028
3.9880000000048312,,,,,3175.81744998531,,,,,,79.224,,0.028
4.060000000004948,,,,,,3441.2726848161433,,,,,,91.31,0.028
6.027000000001863,,,,,,3399.4206397700264,,,,,,188.886,0.028
7.988000000004831,,,,,,3878.573406950078,,,,,,123.585,0.028
8.242000000005646,3433.8439168025166,,2385.7336968602385,,,,76.345,,85.037,,,,0.028
12.947000000000116,,,,,,3910.3448245400373,,,,,,121.529,0.028
13.028000000005704,,,,,2963.337268641923,,,,,,80.945,,0.028
15.04200000000128,,,,,,3792.873218374549,,,,,,101.155,0.028
15.052000000003318,,,,,2695.6942303301275,,,,,,83.553,,0.028
16.98700000000099,,,,,,3385.890305177634,,,,,,162.014,0.028
17.00800000000163,,,,,2283.016372721965,,,,,,134.077,,0.028
18.924000000006345,,,,,2058.232323563942,,,,,,154.302,,0.028
19.005000000004657,,,,,,3472.1924043762956,,,,,,131.998,0.028
22.90700000000652,,,,,1795.9000614284091,,,,,,325.49,,0.028
24.944000000003143,,,,,943.3410381555539,,,,,,253.734,,0.028
27.00900000000547,,,,,,2591.0095571158186,,,,,,111.804,0.028
29.1820000000007,,,,2411.757886144342,,,,,,674.415,,,0.028
30.965000000003783,,,,,786.7553874894952,,,,,,61.45,,0.028
30.98700000000099,,,,,,2236.217906908263,,,,,,76.788,0.028
40.94300000000658,,,,,440.20481111549884,,,,,,67.1,,0.028
40.96700000000419,,,,,,1621.8443226831455,,,,,,88.13,0.028
42.1620000000039,351.19693009983973,1060.7102193490227,,,,,96.639,71.142,,,,,0.028
42.94400000000314,,,,,,1314.968939540142,,,,,,86.659,0.028
43.00800000000163,,,,,408.4661942004783,,,,,,79.488,,0.028
44.95900000000256,,,,,,1418.2103662205277,,,,,,123.227,0.028
52.11200000000099,,2040.4798707192401,,,,,,514.941,,,,,0.028
52.12200000000303,,,1167.2675945116357,,,,,,502.968,,,,0.028
56.96700000000419,,,,,,1111.3459869280382,,,,,,85.913,0.028
57.12200000000303,,745.513047333302,,623.0963654644877,,,,102.261,,153.753,,,0.028
58.94600000000355,,,,,,616.3498757774871,,,,,,90.272,0.028
60.929000000003725,,,,,,678.1563033462487,,,,,,99.403,0.028
62.99000000000524,,,,,,619.0865334003954,,,,,,104.537,0.028
64.92000000000553,,,,,,763.3250059419363,,,,,,86.656,0.028
65.05200000000332,165.07472357592422,309.13952995133644,,,,,66.877,65.119,,,,,0.028
66.90800000000309,,,,,,552.0664814579549,,,,,,85.868,0.028
66.95000000000437,,,,,268.4954114792652,,,,,,56.462,,0.028
69.04200000000128,,,340.16025248065387,,,,,,67.883,,,,0.028
69.05200000000332,85.39230000085742,,,,,,61.061,,,,,,0.028
69.92800000000716,,,,,,664.070274302884,,,,,,96.528,0.028
71.92500000000291,,,,,,707.8028774018957,,,,,,82.412,0.028
96.93600000000151,,,,,,493.2597035393935,,,,,,104.441,0.028
98.91800000000512,,,,,,433.06423968592645,,,,,,110.388,0.028
