relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-10.898999999997613,,,696.0249930550613,,,,,,276.72,,,,0.017
-3.8839999999981956,,,,,508.6628884695012,,,,,,110.035,,0.017
-1.9279999999998836,,,,,378.17899417479146,,,,,,93.648,,0.017
0.0,,,,,,653.0524604334634,,,,,,77.744,0.017
0.08299999999871943,,,,,626.8920276776563,,,,,,61.343,,0.017
0.13100000000122236,307.7293874669984,766.7313975201508,,,,,55.547,71.745,,,,,0.017
1.9990000000034343,,,,,901.6591659305327,,,,,,64.466,,0.017
2.0820000000021537,,,,,,863.2561984159407,,,,,,70.41,0.017
4.0370000000039,,,,,1175.5155762489148,,,,,,77.998,,0.017
4.080999999998312,,,,,,978.3334266775346,,,,,,69.275,0.017
4.1710000000020955,866.7460584040729,,910.91632297635,,,,55.204,,79.695,,,,0.017
6.072000000000116,,,,,1330.0104222245934,,,,,,87.45,,0.017
6.22099999999773,1221.127026259031,1098.6691017175785,,,,,125.159,110.001,,,,,0.017
9.951000000000931,,,,,,980.4657425183798,,,,,,141.059,0.017
10.029999999998836,,,,,1411.317089720464,,,,,,76.552,,0.017
11.993999999998778,,,,,,1470.4924828476271,,,,,,92.803,0.017
13.980000000003201,,,,,1156.1175916601499,,,,,,153.97,,0.017
14.02100000000064,,,,,,1151.5215605977864,,,,,,164.691,0.017
15.927000000003318,,,,,1235.6819065133425,,,,,,141.988,,0.017
16.040000000000873,,,,,,1442.1174210569773,,,,,,122.064,0.017
17.955000000001746,,,,,950.6823496044514,,,,,,290.36,,0.017
18.023999999997613,,,,,,1069.2758494502787,,,,,,241.722,0.017
23.010000000002037,,,,,769.870068401702,,,,,,184.876,,0.017
23.020000000004075,,,,,,908.6092421998006,,,,,,145.719,0.017
25.959999999999127,,,,,515.8144446271126,,,,,,109.062,,0.017
25.983000000000175,,,,,,855.1413165106966,,,,,,119.258,0.017
28.948000000003958,,,,,,521.9362322040017,,,,,,83.895,0.017
29.016999999999825,,,,,301.4863346030497,,,,,,71.387,,0.017
38.93699999999808,,,,,,350.4151623084265,,,,,,72.839,0.017
40.91400000000431,,,,,,283.4761299329495,,,,,,88.074,0.017
54.93000000000029,,,,,,415.13815471213053,,,,,,75.408,0.017
