relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-28.872000000003027,105.8799069836015,,,,,,72.681,,,,,,0.015
-22.832000000002154,45.00986860600745,,160.52947891755355,,,,51.63,,54.051,,,,0.015
-19.86200000000099,,53.46601191816648,,,,,,51.159,,,,,0.015
-7.881999999997788,,,,197.3730123890695,,,,,,168.084,,,0.015
0.0,,,,,,634.5324228817298,,,,,,94.9,0.015
1.9170000000012806,,,,,550.3322463092381,,,,,,97.285,,0.015
2.025000000001455,,,,,,699.526224684014,,,,,,94.298,0.015
3.915999999997439,,,,,940.0156438983072,,,,,,63.777,,0.015
3.9539999999979045,,,,,,922.2736996609258,,,,,,76.221,0.015
5.0679999999993015,906.92204204783,982.4463870051617,,,,,54.288,44.33,,,,,0.015
5.917000000001281,,,,,934.9488470639345,,,,,,143.182,,0.015
7.0679999999993015,870.2685956721554,,853.2764595037596,,,,70.088,,105.8,,,,0.015
10.898999999997613,,,,,,1210.7696779785324,,,,,,108.016,0.015
10.955000000001746,,,,,923.6032001757624,,,,,,282.612,,0.015
12.911000000000058,,,,,,1429.4247128141049,,,,,,84.592,0.015
14.898000000001048,,,,,,1629.8553369996903,,,,,,207.268,0.015
16.108000000000175,,1368.3890405004486,1033.9750320623466,,,,,83.324,90.478,,,,0.015
16.889000000002852,,,,,,1251.4014615011613,,,,,,134.175,0.015
16.97400000000198,,,,,756.8598992420145,,,,,,114.498,,0.015
18.057999999997264,,,,906.519510661808,,,,,,160.17,,,0.015
18.0679999999993,,1357.3176752575937,,,,,,105.685,,,,,0.015
18.893000000003667,,,,,,1333.2934202039246,,,,,,226.357,0.015
20.9800000000032,,,,,,1594.5106745752987,,,,,,348.383,0.015
23.921000000002095,,,,,,815.8955179622837,,,,,,241.091,0.015
26.07800000000134,,779.8184385332032,,1052.0231265200548,,,,76.325,,94.563,,,0.015
26.961999999999534,,,,,,862.5996490094465,,,,,,134.245,0.015
29.82600000000093,,,,,,751.8616712548817,,,,,,96.251,0.015
39.88799999999901,,,,,,402.0580344927509,,,,,,82.452,0.015
43.95799999999872,82.26155406686823,,640.8101273305014,,,,98.991,,101.492,,,,0.015
46.978000000002794,,,237.89429525255588,,,,,,132.608,,,,0.015
46.987999999997555,,128.07806207390254,,,,,,126.287,,,,,0.015
54.01800000000367,,,,529.0925496744425,,,,,,190.405,,,0.015
59.88799999999901,57.44777436655564,,279.36678874763896,,,,41.149,,49.522,,,,0.015
64.96800000000076,80.43319243393556,,,,,,82.169,,,,,,0.015
64.9780000000028,,236.6201272341543,,,,,,61.744,,,,,0.015
67.88799999999901,,,339.91410400766927,,,,,,62.357,,,,0.015
67.89800000000105,199.8917598484314,,,,,,56.695,,,,,,0.015
69.83600000000297,,,,,,257.43111569123096,,,,,,76.637,0.015
71.89800000000105,81.18177983051294,,,278.1238491618477,,,45.295,,,86.469,,,0.015
81.84799999999814,,278.1227239867541,,226.65973812026368,,,,84.786,,134.174,,,0.015
83.93800000000192,,,98.39002887346159,,,,,,103.816,,,,0.015
83.94800000000396,,297.37276761507565,,,,,,101.661,,,,,0.015
86.82800000000134,,,248.34736327712042,,,,,,95.505,,,,0.015
92.7980000000025,211.25304553300313,,269.7339113694092,,,,47.03,,60.239,,,,0.015
94.82800000000134,,94.20606657655506,,,,,,50.637,,,,,0.015
97.84799999999814,157.81841455512142,211.22416009651076,,,,,81.469,70.218,,,,,0.015
101.90800000000309,131.29718270306495,,,98.45170603704119,,,80.562,,,95.526,,,0.015
108.86800000000221,,207.27986967169804,,230.70544692090238,,,,149.53,,154.588,,,0.015
111.86800000000221,,110.8618093843536,234.45031575511763,,,,,52.976,53.236,,,,0.015
113.87799999999697,,62.13578398930721,,,,,,38.211,,,,,0.015
115.86800000000221,,,164.30297180356933,,,,,,52.029,,,,0.015
122.84799999999814,,,70.43990256757506,,,,,,72.665,,,,0.015
122.85800000000017,86.15378797435338,,,,,,65.652,,,,,,0.015
125.82800000000134,,133.30188984430066,,,,,,43.26,,,,,0.015
127.87799999999697,,,85.64063234345164,,,,,,60.936,,,,0.015
136.82800000000134,,76.47281863563195,,,,,,81.455,,,,,0.015
137.82800000000134,,,198.079633914958,,,,,,105.603,,,,0.015
139.8179999999993,,63.72924831117796,,,,,,60.348,,,,,0.015
141.8179999999993,,73.73346904718834,48.773114116776355,,,,,45.56,51.841,,,,0.015
142.82800000000134,,,,201.98632504869255,,,,,,73.928,,,0.015
144.84799999999814,,,,106.1317129275799,,,,,,85.148,,,0.015
148.82800000000134,,,130.34050930796718,,,,,,78.172,,,,0.015
149.82800000000134,,101.21710238026076,,,,,,73.855,,,,,0.015
150.82800000000134,151.62364357108507,,116.79042603935758,,,,74.804,,60.539,,,,0.015
151.8179999999993,,56.41257403221096,,,,,,60.948,,,,,0.015
152.8179999999993,163.9017385391055,,,,,,44.312,,,,,,0.015
152.82800000000134,,,62.16306003766603,,,,,,52.267,,,,0.015
153.83800000000338,85.5912960401274,,,,,,108.617,,,,,,0.015
