relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-114.7300000000032,,,71.41559891834187,,,,,,93.872,,,,0.023
-109.76000000000204,52.830202296698666,,,,,,44.926,,,,,,0.023
-85.76000000000204,75.99221217062073,123.12079166146181,,,,,62.532,60.068,,,,,0.023
-70.81999999999971,,,73.22477465982334,,,,,,89.524,,,,0.023
-60.720000000001164,69.04004565617669,,,,,,62.898,,,,,,0.023
-56.79000000000087,,183.4717401257504,,,,,,97.855,,,,,0.023
-35.93000000000029,53.75888561487541,,,,,,51.978,,,,,,0.023
-33.87999999999738,108.43457604036949,,,,,,48.928,,,,,,0.023
-0.07499999999708962,,,,,,296.47676126596457,,,,,,77.633,0.023
0.0,349.37390389106156,512.5670669552891,,,,,82.998,66.768,,,,,0.023
1.881999999997788,,,,,,765.2835066492305,,,,,,71.157,0.023
1.9950000000026193,,,,,775.4715330672595,,,,,,166.01,,0.023
6.019999999996799,1972.9563934011123,1994.189186702678,,,,,51.696,70.347,,,,,0.023
6.860999999997148,,,,,,1997.2102632406313,,,,,,112.996,0.023
6.934000000001106,,,,,2265.742871878735,,,,,,79.523,,0.023
8.858000000000175,,,,,,2854.087512884081,,,,,,92.737,0.023
8.898999999997613,,,,,2877.525095307449,,,,,,108.103,,0.023
10.906000000002678,,,,,,2511.509909011533,,,,,,164.075,0.023
10.930999999996857,,,,,2958.886268011088,,,,,,159.697,,0.023
12.836999999999534,,,,,3493.2226793625537,,,,,,162.63,,0.023
12.930999999996857,,,,,,3352.170678576252,,,,,,145.425,0.023
14.896999999997206,,,,,4177.345650433567,,,,,,231.306,,0.023
14.940000000002328,,,,,,3338.985255610495,,,,,,267.204,0.023
16.03299999999581,,,,,3352.9400268199797,,,,,,334.932,,0.023
16.818999999995867,,,,,3854.4819940572784,,,,,,280.09,,0.023
16.86699999999837,,,,,,3255.9232568882358,,,,,,281.687,0.023
17.936000000001513,,,,,3942.0693185469645,,,,,,362.703,,0.023
18.801999999996042,,,,,3140.231119972734,,,,,,208.068,,0.023
19.817000000002736,,,,,2992.9559225961852,,,,,,103.026,,0.023
20.856999999996333,,,,,2895.6662310217985,,,,,,77.093,,0.023
20.925999999999476,,,,,,3132.4320188582246,,,,,,118.163,0.023
22.822000000000116,,,,,,2818.1561805983674,,,,,,104.838,0.023
22.885000000002037,,,,,2486.2497752067425,,,,,,119.214,,0.023
24.900000000001455,,,,,,2662.681989462641,,,,,,77.558,0.023
25.872000000003027,,,,,,2466.046215812352,,,,,,109.032,0.023
25.966999999996915,,,,,1945.1308909449076,,,,,,96.528,,0.023
34.86200000000099,,,,,908.5431237497977,,,,,,73.001,,0.023
34.88799999999901,,,,,,1878.1120027037646,,,,,,85.266,0.023
36.86800000000221,,,,,,1902.714191112182,,,,,,91.431,0.023
36.87000000000262,,,,,757.0010383571072,,,,,,78.27,,0.023
38.86099999999715,,,,,,1796.1490596655815,,,,,,146.532,0.023
38.875999999996566,,,,,751.2562574110793,,,,,,129.079,,0.023
40.87700000000041,,,,,,1536.9677145609419,,,,,,232.289,0.023
46.86099999999715,,,,,,1404.6180444473653,,,,,,178.272,0.023
48.81999999999971,,,,,,1140.4812130348964,,,,,,114.229,0.023
50.86699999999837,,,,,,912.2497519628487,,,,,,88.609,0.023
50.92699999999604,,,,,280.4945773520754,,,,,,74.254,,0.023
52.85599999999977,,,,,,767.083534856222,,,,,,86.979,0.023
52.88900000000285,,,,,289.8929207483425,,,,,,75.046,,0.023
54.83999999999651,,,,,,732.663404136113,,,,,,98.362,0.023
56.900000000001455,,,,,,560.8840296085704,,,,,,95.941,0.023
58.81899999999587,,,,,,577.5905414047099,,,,,,80.179,0.023
58.86699999999837,,,,,205.44400745904952,,,,,,62.272,,0.023
60.822000000000116,,,,,,643.8973496834052,,,,,,79.721,0.023
60.845000000001164,,,,,254.07618559255835,,,,,,60.811,,0.023
63.84100000000035,,,,,,528.6922991927896,,,,,,91.502,0.023
65.82099999999627,,,,,332.81726525907067,,,,,,77.532,,0.023
65.83400000000256,,,,,,558.6026236659352,,,,,,94.774,0.023
67.84300000000076,,,,,,545.4507348795155,,,,,,149.456,0.023
72.8179999999993,,,,,,739.07600462352,,,,,,166.597,0.023
84.81700000000274,,,,,263.8334458432263,,,,,,77.226,,0.023
92.82099999999627,,,,,,446.8505118993081,,,,,,98.679,0.023
