relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-299.0899999999965,159.9596368743734,,,,,,80.484,,,,,,0.012
-295.09999999999854,44.58809561246963,,,,,,55.717,,,,,,0.012
-290.0699999999997,,201.19729877675678,,,,,,82.644,,,,,0.012
-286.1800000000003,,,,137.9681014764742,,,,,,150.794,,,0.012
-275.1800000000003,,,73.90962597303376,,,,,,48.057,,,,0.012
-260.2959999999948,,,,,,204.02220380544924,,,,,,64.288,0.012
-246.1999999999971,,,,213.282395929798,,,,,,178.65,,,0.012
-241.13999999999942,,,101.32066371922936,,,,,,76.195,,,,0.012
-234.2699999999968,36.958280950983905,,,,,,44.245,,,,,,0.012
-229.2699999999968,173.67873063131498,,,,,,144.241,,,,,,0.012
-222.27999999999884,,,,164.2681214982484,,,,,,101.251,,,0.012
-218.29000000000087,,60.43583132423946,,,,,,47.124,,,,,0.012
-197.25999999999476,170.97862978112477,,,,,,88.565,,,,,,0.012
-191.2699999999968,,103.28625231847825,,,,,,123.413,,,,,0.012
-183.29000000000087,56.947770822630815,,,,,,56.785,,,,,,0.012
-37.919999999998254,,75.8721880576933,,,,,,85.806,,,,,0.012
-24.89999999999418,55.14596875182156,,49.682569737572344,,,,57.077,,51.682,,,,0.012
-16.970000000001164,,,,295.6929886455975,,,,,,180.142,,,0.012
-12.919999999998254,,210.94365290489688,,,,,,199.781,,,,,0.012
-10.939999999995052,,,,235.14977119163035,,,,,,151.908,,,0.012
-9.89999999999418,,117.67740155835067,,,,,,83.688,,,,,0.012
-3.0459999999948195,,,,,,327.1281474386341,,,,,,67.126,0.012
-1.0299999999988358,,,,,518.6095306566577,,,,,,134.302,,0.012
0.0,657.6369377971857,,,,,,95.303,,,,,,0.012
0.010000000002037268,,452.2898816540964,,,,,,79.901,,,,,0.012
0.8930000000036671,,,,,,645.1005240844648,,,,,,73.094,0.012
0.9590000000025611,,,,,614.7504740079546,,,,,,56.709,,0.012
2.0100000000020373,712.3040914406466,,448.79945156708345,,,,46.91,,52.264,,,,0.012
4.847000000001572,,,,,,656.1889251481659,,,,,,203.388,0.012
4.936000000001513,,,,,1250.2581256785759,,,,,,260.117,,0.012
6.069999999999709,927.2264982427732,690.2834221930776,,,,,53.966,41.498,,,,,0.012
7.913000000000466,,,,,,1119.973306949525,,,,,,145.344,0.012
7.9540000000051805,,,,,851.3323068535883,,,,,,103.832,,0.012
9.802999999999884,,,,,,854.5174230611857,,,,,,115.944,0.012
9.868000000002212,,,,,801.4344341115973,,,,,,72.868,,0.012
11.826000000000931,,,,,962.8372031049093,,,,,,130.867,,0.012
13.82900000000518,,,,,,938.6154906983137,,,,,,120.186,0.012
13.893000000003667,,,,,660.9935446172605,,,,,,93.995,,0.012
15.020000000004075,,710.9787363154962,842.0701838940437,,,,,113.31,148.673,,,,0.012
15.868000000002212,,,,,837.2397683740534,,,,,,236.386,,0.012
15.894000000000233,,,,,,1209.6400585747656,,,,,,174.163,0.012
19.87000000000262,,,,,,828.9358577395549,,,,,,127.001,0.012
22.766999999999825,,,,,494.51746177131577,,,,,,98.738,,0.012
22.893000000003667,,,,,,576.5708090823913,,,,,,93.896,0.012
35.83100000000559,,,,,,443.05575006562697,,,,,,77.505,0.012
37.0,201.05862761026725,,407.9101033782385,,,,88.538,,53.842,,,,0.012
39.84900000000198,,,,,,276.83704457798234,,,,,,87.687,0.012
41.830000000001746,,,,,,477.1888136425297,,,,,,117.325,0.012
42.950000000004366,,,,476.3913789432542,,,,,,154.771,,,0.012
51.80500000000029,,,,,,264.9120386045611,,,,,,71.22,0.012
55.90899999999965,,,,,,222.50044126347822,,,,,,66.778,0.012
61.85599999999977,,,,,,275.8545807798925,,,,,,71.237,0.012
65.8530000000028,,,,,,220.96996478479957,,,,,,66.239,0.012
65.90000000000146,,104.73781508761543,,,,,,36.142,,,,,0.012
67.81500000000233,,,,,,257.1544294417011,,,,,,79.345,0.012
72.90000000000146,,235.36817683463104,,,,,,137.171,,,,,0.012
80.88999999999942,,237.9657643555888,,,,,,71.378,,,,,0.012
88.77000000000407,64.95543305875763,,,,,,38.969,,,,,,0.012
95.81000000000495,67.26727731021191,,,,,,51.37,,,,,,0.012
111.79000000000087,,,70.5990204381395,,,,,,50.976,,,,0.012
116.77999999999884,,62.18984586809409,,,,,,48.32,,,,,0.012
132.75,,67.83458358195355,,,,,,74.782,,,,,0.012
