relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-292.00999999999476,,,125.30159858250148,,,,,,43.945,,,,0.017
-290.1299999999974,88.41636645131632,,,,,,37.076,,,,,,0.017
-290.11999999999534,,50.95123111212358,,,,,,36.472,,,,,0.017
-280.1100000000006,,,52.665424157786326,,,,,,61.647,,,,0.017
-270.04999999999563,,63.91336754427663,43.89403412720403,,,,,50.818,46.258,,,,0.017
-245.08000000000175,,,,429.3573118291445,,,,,,218.619,,,0.017
-237.13999999999942,,,96.0186503265575,,,,,,65.763,,,,0.017
-230.13999999999942,,,174.67685013222206,,,,,,103.484,,,,0.017
-230.12999999999738,161.58491851228533,,,,,,151.868,,,,,,0.017
-203.15000000000146,151.82508951788074,,,,,,168.209,,,,,,0.017
-199.15000000000146,67.40325669902109,85.85905982364143,,,,,68.074,53.191,,,,,0.017
-192.15000000000146,364.0465961357197,,,,,,237.999,,,,,,0.017
-189.15000000000146,,316.1118641574323,,,,,,230.859,,,,,0.017
-6.860000000000582,,199.51405339377743,206.97802185141984,,,,,182.291,118.304,,,,0.017
0.0,,,,,,531.0314283004892,,,,,,99.332,0.017
0.0580000000045402,,,,,476.2597089761585,,,,,,90.681,,0.017
1.9130000000004657,,,,,,376.2520051931001,,,,,,72.178,0.017
2.0670000000027358,,,,,511.64070860731607,,,,,,67.416,,0.017
4.003000000004249,,,,,,423.8136703548533,,,,,,108.798,0.017
5.099999999998545,,475.4986741215088,,,,,,70.303,,,,,0.017
5.110000000000582,411.73967654867613,,,,,,64.612,,,,,,0.017
6.001000000003842,,,,,,437.7415504643894,,,,,,69.135,0.017
6.069999999999709,,,,,536.8496578341168,,,,,,62.695,,0.017
7.0900000000037835,,,413.62228793420684,,,,,,52.076,,,,0.017
7.099999999998545,559.7575754264014,,,,,,44.011,,,,,,0.017
9.980000000003201,,,,,,547.6904107568732,,,,,,125.031,0.017
12.93800000000192,,,,,500.73591252766323,,,,,,101.61,,0.017
14.95400000000518,,,,,,436.7220237054962,,,,,,78.158,0.017
14.97899999999936,,,,,362.9870113955023,,,,,,76.935,,0.017
18.040000000000873,,,,258.8552988581658,,,,,,95.848,,,0.017
18.05000000000291,,407.85031255871587,,,,,,74.372,,,,,0.017
20.040000000000873,,243.3856595560879,,,,,,192.226,,,,,0.017
24.963000000003376,,,,,,587.515542301246,,,,,,174.996,0.017
28.040000000000873,298.48925005010733,,,,,,108.336,,,,,,0.017
28.05000000000291,,,,194.29246777891566,,,,,,188.547,,,0.017
41.0,,,158.78533703747243,,,,,,81.42,,,,0.017
42.99000000000524,,,107.0624638929548,,,,,,114.322,,,,0.017
44.99000000000524,,,,157.2708757768056,,,,,,159.255,,,0.017
48.099999999998545,,209.93830927488733,,,,,,208.395,,,,,0.017
54.900000000001455,,111.13064560611649,,,,,,64.258,,,,,0.017
63.05000000000291,63.263717473653294,,55.876278265281925,,,,57.849,,54.82,,,,0.017
63.88999999999942,,91.05661420894019,,,,,,54.95,,,,,0.017
72.06999999999971,,,89.23228303102302,,,,,,64.59,,,,0.017
87.86000000000058,139.5715876993988,,,,,,112.605,,,,,,0.017
94.84999999999854,78.25433216270571,,,,,,54.84,,,,,,0.017
108.93000000000029,,105.78943760472094,,186.56159365199917,,,,98.647,,144.138,,,0.017
111.94000000000233,,,150.1767044496185,,,,,,62.147,,,,0.017
116.90000000000146,,,,259.8963871774288,,,,,,124.602,,,0.017
123.90000000000146,,91.1409326357796,,,,,,85.781,,,,,0.017
128.9100000000035,,150.99868794590364,,,,,,64.195,,,,,0.017
138.87000000000262,,381.73658347607926,,,,,,163.591,,,,,0.017
146.88000000000466,,,,89.45067691791456,,,,,,87.499,,,0.017
169.84999999999854,,321.03043905639817,,,,,,115.089,,,,,0.017
