relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-267.1450000000041,64.25074212753992,,,,,,40.76,,,,,,0.012
-259.1450000000041,51.67455921620698,,,,,,40.72,,,,,,0.012
-236.11500000000524,,,37.371446872462855,,,,,,47.768,,,,0.012
-227.1550000000061,,36.63884338966736,,,,,,40.439,,,,,0.012
-222.14500000000407,84.7731740328404,,,,,,62.125,,,,,,0.012
-187.13500000000204,,121.57121097095467,,292.73653659011336,,,,120.979,,148.821,,,0.012
-181.14500000000407,,155.58469065627185,140.70379871746078,,,,,113.242,139.362,,,,0.012
-175.1550000000061,,,296.8945325188839,,,,,,191.131,,,,0.012
-157.18500000000495,,329.74650426440706,,216.67397916813883,,,,256.514,,205.934,,,0.012
-150.18500000000495,,,,324.26829742258957,,,,,,307.488,,,0.012
-147.18500000000495,169.83988254515407,,,,,,82.543,,,,,,0.012
-41.78500000000349,,,49.598834495789085,,,,,,57.494,,,,0.012
-36.78500000000349,,,,121.06203502852172,,,,,,133.071,,,0.012
-25.81500000000233,85.91088036640164,,,,,,77.766,,,,,,0.012
-19.80500000000029,63.3628523722538,,37.481732312860316,,,,35.939,,48.76,,,,0.012
-12.845000000001164,,76.67358238594126,,,,,,83.382,,,,,0.012
-8.855000000003201,,,461.64770537338796,,,,,,151.412,,,,0.012
-6.855000000003201,,451.7806516252354,,528.8999194390057,,,,157.428,,165.438,,,0.012
0.0,,,,,481.1058912095511,,,,,,66.239,,0.012
0.049999999995634425,,,,,,413.96523662950347,,,,,,84.201,0.012
1.9599999999991269,,,,,448.35359740017964,,,,,,66.863,,0.012
3.9660000000003492,,,,,338.32276010076896,,,,,,55.12,,0.012
4.0,,,,,,352.0616825562226,,,,,,88.481,0.012
4.1049999999959255,474.91068342267386,,487.1675520490641,,,,55.192,,66.769,,,,0.012
5.958999999995285,,,,,486.7007318511709,,,,,,117.84,,0.012
6.094999999993888,415.202439410103,515.1494421662078,,,,,35.503,38.131,,,,,0.012
10.945999999996275,,,,,,474.3028913512159,,,,,,79.569,0.012
11.094999999993888,,,,,398.9916525813884,,,,,,91.141,,0.012
12.98399999999674,,,,,207.38970514412125,,,,,,55.871,,0.012
13.089999999996508,,,,,,303.5729788161387,,,,,,83.295,0.012
17.03399999999965,,,,,,286.72315166183654,,,,,,70.584,0.012
18.94499999999971,,,,,,620.6764532269674,,,,,,167.041,0.012
18.997999999999593,,,,,561.8417355630733,,,,,,167.87,,0.012
19.044999999998254,,,461.30663743734397,,,,,,177.037,,,,0.012
21.031999999999243,,,,,,1099.8656173385664,,,,,,234.403,0.012
27.016999999999825,,,,,,325.3184553736478,,,,,,95.864,0.012
27.05500000000029,,,375.8997543028746,,,,,,218.256,,,,0.012
29.834999999999127,,,,,,317.24099850557724,,,,,,100.396,0.012
39.99499999999534,,,329.1918279715783,,,,,,61.212,,,,0.012
40.00499999999738,122.93890177882069,,,,,,59.285,,,,,,0.012
41.99499999999534,81.79827494654761,,,210.65534224638293,,,55.388,,,100.277,,,0.012
45.02499999999418,209.42852388489302,,233.71220794747387,,,,79.246,,68.691,,,,0.012
47.02499999999418,,217.83626137634909,,492.4668328295387,,,,110.051,,111.58,,,0.012
54.974999999998545,,145.67373692284337,275.59004045395534,,,,,66.514,72.098,,,,0.012
58.93499999999767,68.73599060998767,,411.91611988452786,,,,65.134,,66.17,,,,0.012
61.06499999999505,95.56420931191577,,,,,,77.828,,,,,,0.012
61.07499999999709,,118.39958232655357,,,,,,66.215,,,,,0.012
61.8859999999986,,,,,,300.51619325559193,,,,,,91.984,0.012
63.93499999999767,,,296.8179454074968,,,,,,135.873,,,,0.012
65.94499999999971,147.1190647510326,,,,,,62.768,,,,,,0.012
65.95499999999447,,187.796833411214,,,,,,64.845,,,,,0.012
67.94499999999971,64.58903541062081,,259.15036170433706,,,,32.873,,47.938,,,,0.012
70.02499999999418,122.12491609460761,,,,,,43.818,,,,,,0.012
70.03499999999622,,92.02455307415174,,,,,,35.784,,,,,0.012
71.92499999999563,,,235.7218537502721,,,,,,52.263,,,,0.012
71.93499999999767,158.48259635532176,,,,,,58.298,,,,,,0.012
81.01499999999942,,367.56017733682046,,141.95849842206408,,,,108.806,,144.358,,,0.012
85.01499999999942,,101.76576346462654,,,,,,64.281,,,,,0.012
90.84499999999389,64.47453614557806,,150.2302142125343,,,,60.62,,79.658,,,,0.012
94.97499999999854,60.90632268588186,,,,,,50.349,,,,,,0.012
99.94499999999971,,,175.67347377682327,,,,,,93.858,,,,0.012
119.9149999999936,,79.8482972729415,,,,,,73.196,,,,,0.012
121.90499999999884,36.5856378883902,,,,,,38.266,,,,,,0.012
137.875,,264.41589217790346,,286.192285599346,,,,147.329,,158.533,,,0.012
