relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-39.73999999999796,,42.813796334674,,,,,,43.803,,,,,0.019
-27.7300000000032,70.05755995219499,,,,,,46.724,,,,,,0.019
0.0,,,,,567.524223446358,,,,,,88.021,,0.019
0.07299999999668216,,,,,,652.5328947591579,,,,,,119.614,0.019
2.004000000000815,,,,,698.5664041764921,,,,,,114.778,,0.019
3.981999999996333,,,,,746.2042263852587,,,,,,83.147,,0.019
4.004999999997381,,,,,,757.4307579875655,,,,,,83.998,0.019
5.9870000000009895,,,,,1014.1593946655653,,,,,,62.415,,0.019
6.0879999999961,,,,,,960.3439126746514,,,,,,81.415,0.019
7.947000000000116,,,,,,1052.7293671322304,,,,,,93.011,0.019
8.004000000000815,,,,,1053.6916551247566,,,,,,73.68,,0.019
8.059999999997672,938.8665617794609,,826.0887830561527,,,,65.107,,120.347,,,,0.019
11.980999999999767,,,,,,1008.4760312509575,,,,,,171.429,0.019
12.080000000001746,,,,,1010.3853045669694,,,,,,121.375,,0.019
14.110000000000582,,,968.2386387939932,,,,,,52.951,,,,0.019
14.12000000000262,929.3524406093571,,,,,,50.588,,,,,,0.019
14.924999999995634,,,,,,1604.147145472855,,,,,,285.141,0.019
16.985000000000582,,,,,,987.6949327679381,,,,,,105.282,0.019
17.104999999995925,,,,,884.1870100481668,,,,,,117.07,,0.019
18.98399999999674,,,,,697.7381749279225,,,,,,162.142,,0.019
19.044000000001688,,,,,,894.9232006389417,,,,,,173.474,0.019
20.9629999999961,,,,,1131.2042919460719,,,,,,208.606,,0.019
26.898999999997613,,,,,473.81301205390093,,,,,,119.772,,0.019
26.98399999999674,,,,,,959.7004722440861,,,,,,170.551,0.019
29.881000000001222,,,,,,774.1036547165606,,,,,,131.035,0.019
30.19999999999709,1541.6094197453303,,566.3686727100612,,,,726.829,,337.527,,,,0.019
39.98999999999796,181.86153644862713,,,,,,76.525,,,,,,0.019
40.0199999999968,,399.3757940734156,,,,,,68.501,,,,,0.019
42.942000000002736,,,,,,372.0430191060127,,,,,,90.62,0.019
45.0,143.51096537074912,,,,,,98.264,,,,,,0.019
47.0,502.95486807882924,,478.57035401455755,,,,167.595,,129.767,,,,0.019
53.029999999998836,,670.8885802194691,,,,,,334.012,,,,,0.019
53.95300000000134,,,,,,899.3269795061777,,,,,,264.916,0.019
55.86099999999715,,,,,,416.43187229189874,,,,,,112.395,0.019
56.0,,308.3001235951677,,,,,,76.471,,,,,0.019
56.94999999999709,,,353.61112687395286,,,,,,72.483,,,,0.019
56.95999999999913,,265.430894716076,,,,,,50.843,,,,,0.019
58.049999999995634,,205.26671197866824,,,,,,72.455,,,,,0.019
63.95999999999913,,,303.27349306932285,,,,,,98.899,,,,0.019
66.95999999999913,147.41613438054083,55.56328155074035,,,,,49.018,57.094,,,,,0.019
