relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-297.87399999999616,35.15418424060377,,,,,,40.437,,,,,,0.049
-289.07600000000093,,,,,,385.6669696957731,,,,,,105.39,0.049
-288.04299999999785,,,,,,295.87162050926725,,,,,,82.602,0.049
-271.14400000000023,,,,,287.4333383852381,,,,,,79.585,,0.049
-270.0709999999963,,,,,234.38704095415142,,,,,,68.955,,0.049
-260.98399999999674,,,201.23393283419446,,,,,,123.35,,,,0.049
-247.1140000000014,,81.9689284666783,,,,,,44.035,,,,,0.049
-233.2569999999978,,,,,,341.48691072455733,,,,,,86.264,0.049
-228.16399999999703,91.6922797218482,,,,,,42.603,,,,,,0.049
-225.16399999999703,,,207.38504096723784,,,,,,108.04,,,,0.049
-209.2390000000014,,,,,,283.27256007425933,,,,,,78.388,0.049
-204.1429999999964,,,,,275.8066296585142,,,,,,76.583,,0.049
-185.16399999999703,,,96.79362844171523,,,,,,65.999,,,,0.049
-137.21399999999994,,84.1873695598034,,,,,,101.519,,,,,0.049
-112.24399999999878,,,211.94581478573483,,,,,,158.16,,,,0.049
0.0,,,,,,979.3266109174745,,,,,,104.63,0.049
0.08800000000337604,,,,,806.5636384950951,,,,,,80.595,,0.049
8.031999999999243,,,,,9204.76205018254,,,,,,103.794,,0.049
8.072000000000116,,,,,,9688.46112582451,,,,,,118.838,0.049
10.054000000003725,,,,,9323.365701886945,,,,,,186.202,,0.049
10.072000000000116,,,,,,9746.029977084969,,,,,,200.529,0.049
11.997000000003027,,,,,,12686.246595268847,,,,,,162.726,0.049
12.054000000003725,,,,,12287.305546316213,,,,,,121.258,,0.049
14.0,,,,,11174.65757789829,,,,,,244.245,,0.049
14.041000000004715,,,,,,12213.579075942576,,,,,,206.688,0.049
14.14600000000064,,11560.314499360646,,6330.186644100419,,,,196.177,,210.139,,,0.049
16.031999999999243,,,,,,13405.156762785613,,,,,,215.054,0.049
16.063999999998487,,,,,11725.937523268229,,,,,,257.919,,0.049
19.010000000002037,,,,,10315.222715964517,,,,,,222.128,,0.049
22.031999999999243,,,,,,8774.053310685129,,,,,,144.096,0.049
22.0570000000007,,,,,8194.765799314424,,,,,,133.05,,0.049
26.054000000003725,,,,,,6912.14933439389,,,,,,108.012,0.049
34.929000000003725,,,,,,5777.769277550489,,,,,,110.798,0.049
35.033000000003085,,,,,1892.2894915032316,,,,,,71.968,,0.049
36.046000000002095,1723.136886900181,,4138.43330951725,,,,91.123,,107.846,,,,0.049
38.875,,,,,1078.7049370048178,,,,,,197.737,,0.049
38.9320000000007,,,,,,3948.616710777034,,,,,,146.226,0.049
40.86800000000221,,,,,779.8345533846334,,,,,,228.545,,0.049
40.95200000000477,,,,,,3319.391944748507,,,,,,160.23,0.049
43.08600000000297,,,2465.3700217822015,,,,,,76.729,,,,0.049
43.096000000005006,,2606.1316372344804,,,,,,98.046,,,,,0.049
43.971000000005006,,,,,,2589.134701877027,,,,,,253.295,0.049
44.05600000000413,,,,1632.2090534044842,,,,,,757.909,,,0.049
45.95600000000559,,,,,,2501.826771584699,,,,,,218.56,0.049
47.065999999998894,,2466.6718527471794,,1692.732085296066,,,,119.324,,143.101,,,0.049
47.99000000000524,,,,,,1779.019963062607,,,,,,268.059,0.049
50.95600000000559,,,,,,2217.003121401523,,,,,,100.935,0.049
50.970000000001164,,,,,833.8482468507042,,,,,,106.973,,0.049
52.891999999999825,,,,,810.4478121343992,,,,,,85.838,,0.049
52.96100000000297,,,,,,1843.7330502439402,,,,,,102.084,0.049
54.91900000000169,,,,,847.125813544321,,,,,,74.271,,0.049
55.00900000000547,,,,,,1971.2558289699011,,,,,,73.1,0.049
56.96700000000419,,,,,,1589.6994845094212,,,,,,180.051,0.049
57.02700000000186,,,,,642.2488407339152,,,,,,103.328,,0.049
58.916000000004715,,,,,,1722.5836913176531,,,,,,171.463,0.049
60.98099999999977,,,,,,1629.3752345515409,,,,,,82.745,0.049
64.02300000000105,,,,,,1570.685626108724,,,,,,86.928,0.049
65.01600000000326,,1323.7626615078075,,,,,,54.351,,,,,0.049
65.0260000000053,745.5582220331573,,,,,,50.012,,,,,,0.049
65.85399999999936,,,,,,1589.909922039442,,,,,,116.771,0.049
65.89800000000105,,,,,683.3452159138284,,,,,,75.062,,0.049
67.82200000000012,,,,,,1190.4616585939375,,,,,,132.3,0.049
67.92799999999988,,,,,652.1034864220776,,,,,,83.394,,0.049
69.96600000000035,,,800.6984707315823,,,,,,92.687,,,,0.049
69.97600000000239,,947.9075455379595,,,,,,103.004,,,,,0.049
70.98600000000442,,,,454.4854555366881,,,,,,109.416,,,0.049
70.99599999999919,,1067.0724111788927,,,,,,79.51,,,,,0.049
71.84500000000116,,,,,,1048.064020302126,,,,,,172.341,0.049
74.95600000000559,,674.8933410116567,466.33503817852375,,,,,210.367,172.069,,,,0.049
77.78800000000047,,,,,572.2562786528739,,,,,,96.459,,0.049
77.90499999999884,,,,,,896.5631854869438,,,,,,138.768,0.049
79.88500000000204,,,,,,1074.6477186169977,,,,,,93.702,0.049
79.97200000000157,,,,,533.9666986974331,,,,,,105.946,,0.049
81.096000000005,908.7602797358248,,597.5942611726783,,,,139.632,,173.564,,,,0.049
82.87800000000425,,,,,,666.1636459470618,,,,,,79.032,0.049
82.90699999999924,,,,,531.9971162828192,,,,,,64.397,,0.049
84.8660000000018,,,,,518.2829868773592,,,,,,63.791,,0.049
84.94900000000052,,,,,,750.2393503569356,,,,,,133.318,0.049
86.82800000000134,,,,,547.292522965881,,,,,,72.581,,0.049
86.87400000000343,,,,,,645.1068883785222,,,,,,79.311,0.049
86.93600000000151,447.4732130975948,,,,,,48.745,,,,,,0.049
86.94600000000355,,,329.206828001646,,,,,,55.774,,,,0.049
88.88999999999942,,,,,,649.3794795779329,,,,,,88.964,0.049
88.96199999999953,,,,,565.0614109263269,,,,,,76.281,,0.049
91.08600000000297,469.16807738519384,,,,,,45.899,,,,,,0.049
