relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-295.2100000000064,61.363372116950224,50.84950851375251,,,,,40.083,40.25,,,,,0.032
-281.15000000000146,,,94.4845810724336,,,,,,86.965,,,,0.032
-274.1800000000003,,,,215.4381517523538,,,,,,116.665,,,0.032
-270.1900000000023,,60.858065377407875,,,,,,43.236,,,,,0.032
-268.1600000000035,,,68.89264984331943,,,,,,59.338,,,,0.032
-238.17000000000553,,285.669881385853,,,,,,113.125,,,,,0.032
-233.20000000000437,,,59.71521115488535,,,,,,57.627,,,,0.032
-226.2100000000064,,,,111.3563732318728,,,,,,109.528,,,0.032
-67.83000000000175,,190.5896696894097,,,,,,103.714,,,,,0.032
-43.92000000000553,,143.02637591310955,,140.19244446753353,,,,82.412,,99.108,,,0.032
-33.91000000000349,,,77.62596775180856,,,,,,68.928,,,,0.032
-25.830000000001746,72.95900407550488,,,,,,46.19,,,,,,0.032
-2.9800000000032014,,,96.60261422059969,,,,,,73.118,,,,0.032
-1.1020000000062282,,,,,223.12071358197366,,,,,,54.631,,0.032
0.0,180.98533581684228,308.2117830030147,,,,,40.012,48.964,,,,,0.032
0.8979999999937718,,,,,470.56549896453566,,,,,,135.934,,0.032
4.969999999993888,1238.21874887491,,1147.1153327981265,,,,59.2,,61.887,,,,0.032
5.9319999999934225,,,,,1547.0105352204314,,,,,,94.827,,0.032
7.873999999996158,,,,,2032.812678478336,,,,,,88.114,,0.032
9.878999999993539,,,,,,2414.996323254846,,,,,,191.747,0.032
10.979999999995925,,2655.6605559261143,,1480.954278874385,,,,91.776,,128.418,,,0.032
11.87199999999575,,,,,,2791.0367388778855,,,,,,136.384,0.032
11.953999999997905,,,,,2959.628929422851,,,,,,118.129,,0.032
13.84100000000035,,,,,,3117.7307532410473,,,,,,205.101,0.032
17.89999999999418,,,,,,2962.1260531836224,,,,,,330.78,0.032
19.76799999999639,,,,,2102.104852342116,,,,,,131.002,,0.032
19.88699999999517,,,,,,3130.956427654129,,,,,,150.68,0.032
21.049999999995634,,2995.850109511821,2009.2013510405757,,,,,84.233,76.765,,,,0.032
23.815999999998894,,,,,,2871.6323656213713,,,,,,98.45,0.032
23.87899999999354,,,,,1774.7461265588001,,,,,,95.32,,0.032
31.989999999997963,951.5084025154148,1810.5738208340415,,,,,69.573,76.859,,,,,0.032
33.815999999998894,,,,,850.1316467307712,,,,,,88.122,,0.032
33.86099999999715,,,,,,1948.6730544541776,,,,,,82.161,0.032
35.815999999998894,,,,,759.4870373039322,,,,,,88.267,,0.032
35.858000000000175,,,,,,1922.1558896031845,,,,,,100.314,0.032
35.90999999999622,664.012402013622,,1443.2624708784256,,,,82.46,,79.309,,,,0.032
38.78399999999965,,,,,,1791.679524720278,,,,,,208.043,0.032
38.794999999998254,,,,,771.6873508117853,,,,,,173.947,,0.032
39.86999999999534,552.3526980702999,,1443.3195721215614,,,,104.543,,88.799,,,,0.032
40.77699999999459,,,,,,1399.7105155627924,,,,,,177.698,0.032
46.86999999999534,,841.9320983651126,,649.4381104204502,,,,169.36,,196.032,,,0.032
47.8269999999975,,,,,,864.5079879640325,,,,,,188.661,0.032
