relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-111.70999999999913,55.21048113483954,64.60621938919772,,,,,55.368,49.123,,,,,0.066
-101.69000000000233,,,135.08806278275512,,,,,,59.515,,,,0.066
-97.70999999999913,,73.73250088212015,,,,,,52.68,,,,,0.066
-78.80000000000291,,,55.499748831821336,,,,,,47.831,,,,0.066
-68.77999999999884,,,,95.79973135343505,,,,,,98.947,,,0.066
-55.86000000000058,,,,87.77672151204513,,,,,,108.726,,,0.066
-28.87000000000262,,69.50185175875234,,,,,,71.801,,,,,0.066
-13.04200000000128,,,,,,493.2108171514009,,,,,,103.444,0.066
-13.017999999996391,,,,,369.21219107748914,,,,,,95.172,,0.066
-4.040000000000873,,415.08745075774516,,,,,,156.05,,,,,0.066
-4.029999999998836,,,,319.5438002389124,,,,,,139.639,,,0.066
-1.1120000000009895,,,,,667.5211010390503,,,,,,177.356,,0.066
-1.010999999998603,,,,,,725.5716664525393,,,,,,185.351,0.066
0.0,,599.0762774953255,,,,,,48.27,,,,,0.066
0.010000000002037268,,,451.1321017514272,,,,,,52.758,,,,0.066
0.8940000000002328,,,,,507.9945589961794,,,,,,92.639,,0.066
1.0400000000008731,,552.3860390622682,,274.5707013928138,,,,66.413,,110.996,,,0.066
2.8919999999998254,,,,,,576.4041051513701,,,,,,139.748,0.066
3.0100000000020373,532.2077947085535,,731.5100735095483,,,,41.603,,50.381,,,,0.066
4.919999999998254,,,,,,913.0312693184165,,,,,,103.335,0.066
6.9429999999993015,,,,,,592.0356577513733,,,,,,122.649,0.066
8.010000000002037,642.3507472845806,,,,,,56.879,,,,,,0.066
8.019999999996799,,,823.2986375322218,,,,,,81.703,,,,0.066
10.906999999999243,,,,,,630.6747608799001,,,,,,141.242,0.066
12.90899999999965,,,,,,660.8540817741192,,,,,,120.991,0.066
25.910000000003492,,305.0321391700252,339.5255650655449,,,,,165.087,147.147,,,,0.066
27.0199999999968,,260.1545352094385,,,,,,117.342,,,,,0.066
27.94000000000233,,190.38037923915448,400.55150092976936,,,,,53.766,54.145,,,,0.066
34.849999999998545,,,,,,451.0271755245245,,,,,,97.456,0.066
39.807999999997264,,,,,,478.82718266534465,,,,,,97.023,0.066
40.919999999998254,46.2979640948502,188.98730361621125,,,,,42.236,50.216,,,,,0.066
49.919999999998254,,101.14874336418795,261.3274939030675,,,,,81.646,82.553,,,,0.066
51.94999999999709,,199.59781836512184,,212.2034631376522,,,,152.402,,166.941,,,0.066
