relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-232.14600000000064,,,,,361.04596418354436,,,,,,91.551,,0.021
-1.870999999999185,,,,,988.7606281804602,,,,,,188.647,,0.021
0.0900000000037835,,,,,,6362.264698519368,,,,,,168.822,0.021
4.0679999999993015,,,,,11389.413591776942,,,,,,139.38,,0.021
4.119000000006054,,,,,,18334.308054219615,,,,,,188.345,0.021
5.983000000000175,,,,,,21847.365725491807,,,,,,204.598,0.021
6.128000000004249,,,,,12839.896270664183,,,,,,187.556,,0.021
8.129000000000815,,,,,12540.676476751707,,,,,,159.443,,0.021
8.165000000000873,,,,,,24524.37948496331,,,,,,218.047,0.021
10.073000000003958,,,,,12615.270501368737,,,,,,147.304,,0.021
10.164000000004307,,,,,,26817.47806565195,,,,,,192.353,0.021
13.04200000000128,,,,,,25839.342906244674,,,,,,205.672,0.021
13.059000000001106,,,,,9767.546213646348,,,,,,133.331,,0.021
30.06999999999971,,,,,,7980.707580688009,,,,,,170.185,0.021
30.083000000005995,,,,,2379.2232544415297,,,,,,129.534,,0.021
31.991000000001804,,,,,2210.2761310772653,,,,,,136.285,,0.021
32.020000000004075,,,,,,6315.550591982443,,,,,,200.5,0.021
33.89700000000448,,,,,,6697.035519868653,,,,,,134.269,0.021
34.04000000000087,,,,,2013.5627069558557,,,,,,107.429,,0.021
35.978000000002794,,,,,2063.054953414603,,,,,,108.447,,0.021
36.067000000002736,,,,,,6074.4969923238095,,,,,,150.373,0.021
38.01499999999942,,,,,2083.363532796858,,,,,,106.921,,0.021
38.08899999999994,,,,,,5449.053337270321,,,,,,136.242,0.021
40.03600000000006,,,,,1984.0018460256601,,,,,,154.991,,0.021
43.90400000000227,,,,,,4199.972062422971,,,,,,199.167,0.021
43.99600000000646,,,,,1571.4494832453486,,,,,,120.632,,0.021
45.95200000000477,,,,,1655.1066671438389,,,,,,127.033,,0.021
45.97700000000623,,,,,,4259.62279630146,,,,,,148.342,0.021
47.986000000004424,,,,,1797.224695649296,,,,,,210.895,,0.021
48.00200000000041,,,,,,3340.9406845812523,,,,,,265.473,0.021
49.882000000005064,,,,,1291.4129912295646,,,,,,187.649,,0.021
49.994000000006054,,,,,,3607.5011748400043,,,,,,185.794,0.021
51.9600000000064,,,,,1330.345911143138,,,,,,242.036,,0.021
51.994000000006054,,,,,,3061.3167899668774,,,,,,248.379,0.021
53.95300000000134,,,,,,3346.550030262699,,,,,,267.809,0.021
56.062000000005355,,,,,,3345.401516465827,,,,,,331.326,0.021
57.91400000000431,,,,,1410.392961110363,,,,,,112.436,,0.021
58.02300000000105,,,,,,3062.1268735990952,,,,,,173.106,0.021
61.91800000000512,,,,,1517.0516153299427,,,,,,104.602,,0.021
61.95200000000477,,,,,,2779.687025138509,,,,,,133.091,0.021
71.90000000000146,,,,,1142.3531248650063,,,,,,120.947,,0.021
71.94200000000274,,,,,,2248.9597665475058,,,,,,146.603,0.021
73.93600000000151,,,,,,2170.191488701261,,,,,,138.711,0.021
73.958000000006,,,,,1026.8267377059974,,,,,,119.475,,0.021
75.88999999999942,,,,,,2109.925134237546,,,,,,187.124,0.021
75.91700000000128,,,,,1113.3228569602152,,,,,,162.471,,0.021
77.99799999999959,,,,,1317.4887490602234,,,,,,209.339,,0.021
78.03900000000431,,,,,,2274.927566800438,,,,,,340.546,0.021
84.94200000000274,,,,,761.0364057525029,,,,,,217.373,,0.021
85.02000000000407,,,,,,1720.3673039475068,,,,,,203.489,0.021
88.83600000000297,,,,,793.5402192849903,,,,,,92.598,,0.021
88.89800000000105,,,,,,1405.9989868101873,,,,,,134.732,0.021
90.86200000000099,,,,,670.0108082160718,,,,,,112.946,,0.021
90.90400000000227,,,,,,1586.9162321635915,,,,,,142.2,0.021
92.8530000000028,,,,,,1390.279711448141,,,,,,130.705,0.021
92.87800000000425,,,,,764.4132888884421,,,,,,115.778,,0.021
94.05500000000029,,1290.6761474886619,1348.6803822582494,2745.5704111693985,,,,258.927,341.281,357.79,,,0.021
94.87600000000384,,,,,,1295.182983943474,,,,,,148.52,0.021
95.04500000000553,1001.4758058158412,1423.485626188815,1567.1018107300665,2398.043677217981,,,93.089,103.495,107.14,182.362,,,0.021
95.96500000000378,,,1568.858003577792,,,,,,117.207,,,,0.021
96.875,,,,,747.815708646242,,,,,,99.393,,0.021
96.91500000000087,,,1277.235594193129,2561.6912072703126,,1258.380046514256,,,158.584,250.163,,223.028,0.021
96.92500000000291,822.995818778113,1278.4799912825742,,,,,118.198,114.156,,,,,0.021
98.0850000000064,936.8879931159128,947.7483136650005,1632.814335548565,1845.6165618910886,,,141.303,145.416,197.958,227.323,,,0.021
98.85599999999977,,,,,593.4288984424769,,,,,,96.69,,0.021
98.91500000000087,,1354.8494084910194,1336.001147067612,1906.9096298574507,,,,232.14,274.616,347.464,,,0.021
98.92500000000291,1001.5154947328328,,,,,,170.513,,,,,,0.021
99.91500000000087,,,,1851.6165836083478,,,,,,171.665,,,0.021
99.92500000000291,699.2425575780524,1251.8956073689428,1492.8603918808537,,,,80.017,99.554,123.04,,,,0.021
100.91500000000087,,,,2529.8815193086616,,,,,,324.743,,,0.021
100.92500000000291,869.3396017430985,1293.6374406291716,1472.4323317802873,,,,101.155,182.082,271.992,,,,0.021
101.93500000000495,,,1170.5269101691008,2223.3678005060656,,,,,117.464,180.709,,,0.021
101.94499999999971,697.7515415072874,996.6716505881969,,,,,122.673,96.9,,,,,0.021
102.92500000000291,698.3576019964831,1096.1135135713157,1179.9364939385744,1534.2680340293116,,,83.831,89.326,124.666,156.371,,,0.021
103.86200000000099,,,,,647.1616863874256,,,,,,157.089,,0.021
103.91700000000128,,,,,,1035.9336596227113,,,,,,155.232,0.021
103.93500000000495,643.9044078840276,1078.5359584395537,1217.5395599338792,1886.236369234799,,,124.383,122.75,117.803,179.005,,,0.021
105.85900000000402,,,,,680.8842878594553,,,,,,163.894,,0.021
105.89600000000064,,,,,,995.498238426213,,,,,,242.407,0.021
105.92500000000291,398.01762236653605,1058.559314507301,1110.5943655913154,2020.9810669318508,,,122.785,121.644,157.299,205.76,,,0.021
108.92500000000291,550.5464210589283,1120.657148273141,1480.0950586356614,1928.429007798954,,,285.117,248.229,241.346,288.672,,,0.021
109.90000000000146,,,,,744.9673171771907,,,,,,193.46,,0.021
109.9120000000039,,,,,,932.0474172703305,,,,,,186.198,0.021
109.97500000000582,325.1069365061288,1027.8125167790638,1037.0106113997858,1508.1670646204,,,262.406,198.935,294.723,413.737,,,0.021
112.96500000000378,,,1021.3438774486937,1064.0573768637942,,,,,273.625,331.791,,,0.021
112.97500000000582,451.4861022682273,,,,,,254.788,,,,,,0.021
114.99500000000262,419.7789482856792,567.3829250422629,1492.5823885239781,1561.2892332229596,,,113.007,174.239,199.236,173.763,,,0.021
115.88000000000466,,,,,526.8841276227174,,,,,,110.373,,0.021
116.0,,,,,,910.2954899256524,,,,,,193.413,0.021
116.03500000000349,403.85832920489236,1071.3008614656685,986.1992739750129,1108.7451351127384,,,127.403,122.95,156.47,198.194,,,0.021
117.0850000000064,619.0881080299646,923.1153567783125,1103.7760220661528,1364.5360763957963,,,235.85,239.979,248.218,331.413,,,0.021
117.91500000000087,,,,,563.4971477341276,,,,,,126.298,,0.021
118.03500000000349,,,,,,937.5686636708195,,,,,,182.319,0.021
118.94499999999971,420.92778153157076,769.62201261164,949.907387991241,1155.7767000952906,,,86.547,99.533,127.922,143.673,,,0.021
119.94499999999971,796.6509592831577,831.3909305673382,1216.3684189267426,1547.6690089370143,,,122.555,134.564,135.238,208.633,,,0.021
120.89800000000105,,,,,566.0513490108756,,,,,,106.114,,0.021
120.95900000000256,,,,,,719.194182569867,,,,,,130.946,0.021
122.88000000000466,,,,,,805.8344534840984,,,,,,125.765,0.021
123.93500000000495,832.2476271308813,,587.7706719262236,521.9638038288156,,,186.948,,293.935,391.123,,,0.021
124.87600000000384,,,,,,867.3481648403931,,,,,,125.049,0.021
124.92500000000291,,676.701719972738,807.039595706128,,,,,97.131,121.328,,,,0.021
124.93500000000495,514.5196111648908,,,,,,65.954,,,,,,0.021
125.94499999999971,328.4172067179134,574.6989374071416,1025.6788626292284,,,,78.843,104.148,118.637,,,,0.021
