relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-233.0699999999997,35.168871709992004,46.017547851892424,,,,,35.892,30.608,,,,,0.007
-228.04999999999563,194.83939823591334,,,,,,79.598,,,,,,0.007
-228.04000000000087,,99.89090712263851,,,,,,93.747,,,,,0.007
-224.15000000000146,,,,75.1680799969651,,,,,,94.995,,,0.007
-219.11000000000058,,215.4090534479688,,,,,,157.235,,,,,0.007
-213.15000000000146,,78.49406395954882,,,,,,39.541,,,,,0.007
-211.0699999999997,,,62.02100304907629,,,,,,54.972,,,,0.007
-209.23999999999796,73.8253539076992,,,,,,51.322,,,,,,0.007
-206.15000000000146,38.67183710152747,,,,,,47.93,,,,,,0.007
-201.23999999999796,76.38040990339543,,,,,,43.043,,,,,,0.007
-194.15999999999622,50.973162382089065,,,,,,62.217,,,,,,0.007
-190.15000000000146,,252.76558700230535,,,,,,112.192,,,,,0.007
-188.1999999999971,,194.79504641695073,,,,,,116.409,,,,,0.007
-179.11000000000058,,,78.52538435272812,,,,,,83.516,,,,0.007
-172.23999999999796,24.245393132237762,,53.740468268416826,,,,30.346,,45.202,,,,0.007
-153.26000000000204,,110.36261122697299,,,,,,54.95,,,,,0.007
-146.26000000000204,155.32918338579802,119.14765930129866,,,,,136.788,155.345,,,,,0.007
-121.26000000000204,112.28324601599729,,,191.75549156720385,,,60.143,,,125.126,,,0.007
-112.27999999999884,,53.24302368388322,,,,,,58.874,,,,,0.007
-100.27999999999884,,,,150.08777728301837,,,,,,176.528,,,0.007
-96.29000000000087,,69.46501501288915,,181.03262819369291,,,,50.911,,121.266,,,0.007
-93.29000000000087,,235.5797922275801,,,,,,89.089,,,,,0.007
-9.01299999999901,,,,,,689.0583746467678,,,,,,207.1,0.007
-5.010000000002037,,,,,,608.7464971400952,,,,,,165.444,0.007
0.0,,,,,,582.8423472956954,,,,,,97.184,0.007
0.01900000000023283,,,,,473.6381035769919,,,,,,89.382,,0.007
4.934000000001106,,,,,,667.4753385218653,,,,,,154.274,0.007
5.016999999999825,,,,,363.49493232703315,,,,,,93.309,,0.007
9.983000000000175,,,,,,554.3694955767996,,,,,,144.237,0.007
10.018000000003667,,,,,364.6609902857726,,,,,,90.872,,0.007
22.00100000000384,,,,,,965.4836756887805,,,,,,240.212,0.007
23.957000000002154,,,,,,445.3092556637354,,,,,,129.445,0.007
24.110000000000582,,464.6284944390199,663.5401051547419,,,,,87.335,80.01,,,,0.007
25.9800000000032,,,,,,590.2606517920971,,,,,,130.83,0.007
27.130000000004657,302.0667862540165,,,595.4319198330392,,,53.139,,,80.107,,,0.007
30.978000000002794,,,,,,360.6824096573611,,,,,,94.961,0.007
32.96399999999994,,,,,,488.902420689324,,,,,,92.947,0.007
33.099999999998545,144.66571451273404,416.2400714442821,,,,,61.948,49.948,,,,,0.007
