relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-268.3000000000029,,79.75906424052533,,,,,,48.088,,,,,0.019
-251.27999999999884,,,147.1323470089576,,,,,,97.341,,,,0.019
-240.29000000000087,99.68676449660916,,,,,,49.634,,,,,,0.019
-221.29000000000087,,105.40550615875036,,,,,,69.521,,,,,0.019
-47.93000000000029,,136.57533047451813,,,,,,165.693,,,,,0.019
-39.9800000000032,,103.15996516130207,,,,,,51.183,,,,,0.019
-33.94000000000233,75.64839809527196,,,,,,49.772,,,,,,0.019
-30.970000000001164,,95.08982341173949,,,,,,63.712,,,,,0.019
-30.959999999999127,99.50988644596102,,,,,,75.842,,,,,,0.019
-18.989999999997963,,,,161.5714649883274,,,,,,170.814,,,0.019
-4.05000000000291,256.51686018724814,,,,,,97.42,,,,,,0.019
-4.040000000000873,,,172.43761387969317,,,,,,95.803,,,,0.019
0.0,1283.5901616579986,1176.923911031952,,,,,73.727,55.193,,,,,0.019
3.790000000000873,,,,,,2308.3686877553746,,,,,,184.201,0.019
5.7810000000026776,,,,,,2995.1255707890323,,,,,,140.668,0.019
5.866000000001804,,,,,3940.465877622355,,,,,,141.158,,0.019
7.7850000000034925,,,,,,3644.154222805277,,,,,,242.92,0.019
7.830000000001746,,,,,3830.797658522922,,,,,,231.468,,0.019
9.836999999999534,,,,,3943.160759912209,,,,,,412.364,,0.019
9.872000000003027,,,,,,4071.9812864039877,,,,,,344.148,0.019
12.81300000000192,,,,,,4136.302921087322,,,,,,218.359,0.019
12.872999999999593,,,,,4206.6401438694365,,,,,,261.06,,0.019
14.970000000001164,,4192.6153955016625,,1471.784765828049,,,,106.604,,115.994,,,0.019
29.830000000001746,1750.7048483416427,2224.164953244339,,,,,73.799,68.721,,,,,0.019
32.849999999998545,1338.0408974665595,,1301.5280237802097,,,,96.289,,92.588,,,,0.019
35.87000000000262,,,1411.469484699489,,,,,,113.178,,,,0.019
35.87999999999738,,1934.0435665269767,,,,,,136.051,,,,,0.019
48.779999999998836,608.4839358989549,,1232.6962506951738,,,,49.88,,57.358,,,,0.019
53.86000000000058,295.373558217282,,,,,,77.24,,,,,,0.019
53.87000000000262,,900.4305630648232,,,,,,65.077,,,,,0.019
56.779999999998836,,,656.3739662735803,,,,,,77.339,,,,0.019
56.79000000000087,377.78061580207884,,,,,,60.283,,,,,,0.019
72.83000000000175,,523.3804877298942,403.0525324769109,,,,,71.368,93.682,,,,0.019
75.70999999999913,171.6985072493384,,,,,,75.32,,,,,,0.019
75.72000000000116,,,368.04484588196266,,,,,,106.1,,,,0.019
81.69000000000233,320.6799058250727,,216.26182911600185,,,,46.331,,58.382,,,,0.019
83.70999999999913,316.5680239127163,,,,,,49.332,,,,,,0.019
83.72000000000116,,429.6994876640154,,,,,,50.488,,,,,0.019
86.73999999999796,297.3032338180276,374.4897193210708,,,,,57.71,63.515,,,,,0.019
88.69000000000233,118.21314200636314,435.97487005092256,,,,,123.555,80.142,,,,,0.019
90.80000000000291,105.0762173892494,,,187.97737840175273,,,79.111,,,107.517,,,0.019
97.76000000000204,,389.33518225436416,,188.2309260853601,,,,133.306,,126.21,,,0.019
100.76000000000204,,257.761331542211,203.62573507074566,,,,,40.018,54.549,,,,0.019
102.7699999999968,,258.5185610168978,,,,,,38.038,,,,,0.019
104.76000000000204,161.37245189493422,,166.14954450164234,,,,38.395,,48.113,,,,0.019
108.75,,325.75405380728546,,,,,,96.342,,,,,0.019
108.76000000000204,252.0789259646608,,,,,,65.323,,,,,,0.019
111.75,175.5546618595529,,,,,,45.835,,,,,,0.019
114.72000000000116,89.60791220094211,260.7996625145385,,,,,41.602,44.265,,,,,0.019
116.76000000000204,126.04692169530955,,,,,,49.181,,,,,,0.019
116.7699999999968,,,45.60633452083269,,,,,,54.698,,,,0.019
124.70999999999913,,,186.35654437047975,,,,,,178.425,,,,0.019
125.72000000000116,,161.70405334582333,,,,,,81.327,,,,,0.019
128.70999999999913,,87.23409056039624,,,,,,51.467,,,,,0.019
130.70999999999913,,218.1772653426652,58.363372856279916,,,,,44.857,52.905,,,,0.019
136.7300000000032,122.9462281568392,,,,,,86.602,,,,,,0.019
137.70999999999913,105.50562615076262,,,,,,57.84,,,,,,0.019
138.70999999999913,181.91268190905552,,,,,,60.007,,,,,,0.019
138.72000000000116,,134.2461177119111,,,,,,57.494,,,,,0.019
139.72000000000116,159.9691483244306,,74.04168097018706,,,,65.583,,60.211,,,,0.019
140.70999999999913,161.58555798005244,172.94849268609644,,,,,54.429,54.465,,,,,0.019
142.72000000000116,226.80667533048904,,,,,,132.876,,,,,,0.019
142.7300000000032,,165.3019392476501,,,,,,114.613,,,,,0.019
