relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-65.75200000000041,,64.68160209992463,81.51984648857209,,,,,66.322,70.176,,,,0.017
-48.74199999999837,,,,75.75990486105793,,,,,,65.703,,,0.017
-46.74199999999837,,61.888684331898084,,,,,,50.854,,,,,0.017
-41.73199999999633,,138.67258310386023,,123.86289416505771,,,,84.129,,96.772,,,0.017
-3.9680000000007567,,,,,308.41515272868196,,,,,,77.012,,0.017
-2.8620000000009895,251.44287341283484,,227.4318938945487,,,,50.353,,61.237,,,,0.017
-2.006999999997788,,,,,247.2454604884228,,,,,,72.143,,0.017
0.0,,,,,377.44208517179493,,,,,,66.308,,0.017
0.0290000000022701,,,,,,402.7448637365625,,,,,,66.89,0.017
6.980000000003201,,,,,,282.1195870520938,,,,,,85.051,0.017
7.228000000002794,380.42481908978294,,,,,,47.739,,,,,,0.017
7.237999999997555,,,402.9173806884275,,,,,,55.149,,,,0.017
9.018000000003667,,,,,322.87230816882493,,,,,,67.349,,0.017
9.122000000003027,,,,,,415.4539748515798,,,,,,78.049,0.017
12.980999999999767,,,,,,391.5067538079732,,,,,,111.655,0.017
13.078000000001339,,204.20569721803972,345.2188371308261,,,,,71.343,62.146,,,,0.017
15.067999999999302,,567.8148598918773,,488.40861929884505,,,,152.304,,163.807,,,0.017
22.07800000000134,,261.74313433773096,,,,,,133.529,,,,,0.017
48.96800000000076,,208.8661119953244,,194.5872892498574,,,,110.979,,135.421,,,0.017
70.90800000000309,,,143.36767472534967,,,,,,92.412,,,,0.017
94.86800000000221,,148.34317798457832,,,,,,69.948,,,,,0.017
