relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-282.96600000000035,,55.177595098119646,,135.63558505542855,,,,61.118,,119.044,,,0.041
-76.61599999999453,,470.3839029458749,,,,,,156.841,,,,,0.041
-69.68599999999424,,,103.6197146032638,,,,,,87.865,,,,0.041
-64.67599999999948,52.601002079694496,,53.20144326823666,,,,45.373,,51.901,,,,0.041
-55.70599999999831,189.7204887951587,,,,,,148.811,,,,,,0.041
-37.72599999999511,151.54152827285142,,160.0286265679743,,,,76.099,,114.327,,,,0.041
-35.71600000000035,,241.21372914701794,,,,,,69.432,,,,,0.041
-29.79599999999482,,,91.6115791183741,,,,,,74.184,,,,0.041
-12.765999999995984,,,,224.3177047670729,,,,,,187.034,,,0.041
0.0,,,,,,848.8680961583642,,,,,,95.534,0.041
0.12400000000343425,540.3024749898295,720.8638545621009,,,,,88.134,98.737,,,,,0.041
1.996000000006461,,,,,,708.7164437219595,,,,,,121.778,0.041
2.041000000004715,,,,,498.5572000086817,,,,,,83.99,,0.041
3.1240000000034343,,,967.4363644963427,,,,,,164.622,,,,0.041
5.013000000006286,,,,,,894.3935420159784,,,,,,162.851,0.041
12.934000000001106,,,,,,1178.2974696439194,,,,,,143.307,0.041
13.064000000005763,,1177.3170259513076,1521.1393438801504,,,,,83.402,113.056,,,,0.041
14.064000000005763,,,,1218.8474596204883,,,,,,105.396,,,0.041
14.074000000000524,,1313.7258239438022,,,,,,65.405,,,,,0.041
15.075000000004366,,,,,1026.3228038589452,,,,,,100.792,,0.041
15.094000000004598,,1277.8771877354998,1392.0736393402594,,,,,63.971,87.877,,,,0.041
15.138000000006286,,,,,,1468.254584791829,,,,,,169.794,0.041
17.03399999999965,,,,,721.2551723324459,,,,,,70.99,,0.041
20.99600000000646,,,,,544.2723553595439,,,,,,86.512,,0.041
22.124000000003434,529.4561272600452,1040.5182335759696,,,,,51.787,64.107,,,,,0.041
22.99600000000646,,,,,485.221180925023,,,,,,72.165,,0.041
23.064000000005763,501.65677059714574,,1317.6541354017459,,,,135.372,,75.205,,,,0.041
24.97500000000582,,,,,425.7614126280827,,,,,,66.31,,0.041
26.074000000000524,352.40538362439787,,,,,,129.907,,,,,,0.041
26.08400000000256,,871.793884080767,,,,,,102.381,,,,,0.041
27.97500000000582,,,,,,1102.0252362466383,,,,,,106.36,0.041
27.997999999999593,,,,,378.22465552939906,,,,,,83.756,,0.041
29.978000000002794,,,,,,1249.8969459704833,,,,,,88.667,0.041
29.997999999999593,,,,,372.5627120073006,,,,,,66.143,,0.041
31.939000000005763,,,,,418.7613517398397,,,,,,126.67,,0.041
31.97500000000582,,,,,,948.1210454595633,,,,,,128.991,0.041
33.93600000000151,,,,,,1149.9238721182578,,,,,,125.357,0.041
40.054000000003725,,405.8673745614069,794.2062006612342,,,,,140.952,237.165,,,,0.041
43.934000000001106,,,,,,741.2554901282382,,,,,,98.089,0.041
44.03399999999965,,,,688.8317571355024,,,,,,124.144,,,0.041
44.04400000000169,,659.7162607051371,,,,,,75.877,,,,,0.041
46.01400000000285,103.77539635902403,,,946.4187473452606,,,80.958,,,122.773,,,0.041
46.934000000001106,,,,,282.85818724199504,,,,,,70.087,,0.041
46.992000000005646,,,,,,818.637819678459,,,,,,103.471,0.041
51.03399999999965,141.72499871407004,,639.3894421827746,,,,58.147,,82.988,,,,0.041
54.04400000000169,141.23302544529466,467.74097491072695,,,,,63.508,63.156,,,,,0.041
54.95600000000559,,,,,,553.942581751856,,,,,,103.381,0.041
56.93900000000576,,,,,,610.9693139691525,,,,,,97.304,0.041
58.992000000005646,,,,,,795.2786357597045,,,,,,160.355,0.041
73.94600000000355,,,,,,558.0355580338874,,,,,,127.673,0.041
