relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-296.1900000000023,,50.603641889513206,,,,,,56.939,,,,,0.024
-272.26000000000204,125.25653755955122,,,,,,50.862,,,,,,0.024
-265.26000000000204,,38.640375803158356,,,,,,47.424,,,,,0.024
-258.26000000000204,,119.31516441752,,,,,,74.76,,,,,0.024
-247.26000000000204,,41.851323193993515,49.606691488010625,,,,,53.108,53.957,,,,0.024
-75.90999999999622,,188.1399273446103,,57.87131409410795,,,,61.227,,68.381,,,0.024
-20.06999999999971,,110.85600077383332,,,,,,87.59,,,,,0.024
-11.930000000000291,,,,167.55290663581823,,,,,,150.478,,,0.024
0.0,500.5331678273473,472.11298195847087,,,,,70.07,51.192,,,,,0.024
2.756999999997788,,,,,600.7932764037802,,,,,,75.291,,0.024
2.824000000000524,,,,,,554.8916868926758,,,,,,78.005,0.024
3.860000000000582,585.435573755275,,548.1063905950051,,,,65.817,,78.235,,,,0.024
4.741000000001804,,,,,,561.6095354637667,,,,,,86.69,0.024
4.766999999999825,,,,,708.2163289532521,,,,,,78.699,,0.024
7.0,,,616.7061090476719,,,,,,71.791,,,,0.024
7.010000000002037,657.2669031896085,,,,,,74.61,,,,,,0.024
7.824000000000524,,,,,581.4454452354908,,,,,,166.467,,0.024
16.779999999998836,,642.5683572592923,,,,,,86.278,,,,,0.024
18.71600000000035,,,,,,686.4384288831538,,,,,,78.908,0.024
18.779999999998836,,,,,372.10476893439295,,,,,,70.166,,0.024
18.80999999999767,,,,357.5918007357786,,,,,,92.556,,,0.024
18.81999999999971,324.7670609725073,,,,,,63.66,,,,,,0.024
20.677000000003318,,,,,427.2415907291554,,,,,,85.078,,0.024
20.72400000000198,,,,,,344.3871583844585,,,,,,92.667,0.024
22.705000000001746,,,,,355.57578503065486,,,,,,88.175,,0.024
22.77799999999843,,,,,,540.3618563913635,,,,,,69.71,0.024
22.80999999999767,246.38610807963795,411.1451977490998,,,,,48.223,56.703,,,,,0.024
24.698000000003958,,,,,,325.32014788198927,,,,,,76.999,0.024
24.770000000004075,208.49038763534557,,160.7097468836547,,,,56.8,,59.962,,,,0.024
25.770000000004075,160.15535833696023,,,,,,64.584,,,,,,0.024
25.779999999998836,,279.5408042273024,,,,,,52.564,,,,,0.024
26.699000000000524,,,,,219.83411035611155,,,,,,68.636,,0.024
27.919999999998254,178.69691437433372,,197.69682640689814,,,,90.7,,90.807,,,,0.024
28.664000000004307,,,,,,319.1851858325782,,,,,,63.834,0.024
28.705999999998312,,,,,208.1767378660352,,,,,,58.793,,0.024
29.910000000003492,71.24083401913059,174.92255029644278,,,,,49.087,51.195,,,,,0.024
31.94000000000233,,,411.776624519172,,,,,,55.985,,,,0.024
31.950000000004366,84.81572770184272,,,,,,46.65,,,,,,0.024
32.76000000000204,,,,,,260.19641856873415,,,,,,69.912,0.024
33.88999999999942,119.6192024305584,246.49789076762687,,,,,54.738,41.582,,,,,0.024
46.87000000000262,,184.8115062687446,71.23271466908042,,,,,83.743,73.629,,,,0.024
48.73999999999796,,,,109.36737786972228,,,,,,92.993,,,0.024
49.73999999999796,,,255.7624744523531,,,,,,85.81,,,,0.024
54.7300000000032,70.33721351219614,,116.59324354590844,,,,42.587,,49.884,,,,0.024
57.75,,,,,,359.6876582161108,,,,,,83.506,0.024
58.830000000001746,,,71.8260512422049,,,,,,57.2,,,,0.024
58.84000000000378,100.39505536276677,,,,,,47.742,,,,,,0.024
61.849999999998545,62.43432624891078,,,,,,73.326,,,,,,0.024
61.86000000000058,,116.39525543554433,,,,,,71.763,,,,,0.024
70.80999999999767,,,,147.19923781743685,,,,,,114.951,,,0.024
72.83000000000175,,159.68483753004705,,,,,,102.223,,,,,0.024
72.84000000000378,,,84.79916250097772,,,,,,72.627,,,,0.024
74.70500000000175,,,,,291.5782173675163,,,,,,76.822,,0.024
74.79000000000087,,57.18957650163159,,116.95917644127475,,,,46.554,,84.53,,,0.024
76.80000000000291,,89.17522679603205,114.56713992274345,,,,,35.674,44.835,,,,0.024
78.79000000000087,,,,86.22195303476319,,,,,,107.267,,,0.024
81.76000000000204,235.06918218643594,,80.68126069558475,,,,61.789,,65.528,,,,0.024
87.76000000000204,,,168.65461744716166,,,,,,78.528,,,,0.024
90.79000000000087,,,63.00733876608228,,,,,,57.017,,,,0.024
99.75,,79.62070041354696,158.3395289034931,,,,,63.399,66.394,,,,0.024
106.76000000000204,,,,211.4209958085657,,,,,,112.101,,,0.024
106.77000000000407,,54.59457221609178,,,,,,48.008,,,,,0.024
111.75,255.0625985107305,,,,,,78.737,,,,,,0.024
112.73999999999796,,,128.79053334527066,,,,,,63.717,,,,0.024
