relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-295.9629999999961,,115.47543637414826,,,,,,61.657,,,,,0.038
-242.09299999999348,,,46.047467065924714,,,,,,50.324,,,,0.038
-237.11299999999756,,95.03590236459036,,,,,,45.118,,,,,0.038
0.0,,,,,,430.9333306513835,,,,,,69.524,0.038
0.030000000006111804,,,,,470.3610089045355,,,,,,58.895,,0.038
2.047000000005937,,,,,830.9484057093171,,,,,,63.665,,0.038
2.069000000003143,,,,,,858.8265230797801,,,,,,68.398,0.038
4.917000000001281,,,,,1065.4623728376678,,,,,,201.02,,0.038
4.994000000006054,,,,,,851.6007863145835,,,,,,133.578,0.038
6.959000000002561,,,,,1177.495322281495,,,,,,168.276,,0.038
7.0090000000054715,,,,,,1164.8557179083184,,,,,,118.067,0.038
8.117000000005646,,1203.8967574179815,,671.7983870808215,,,,74.183,,163.776,,,0.038
9.217000000004191,,1262.7114208141754,1173.760012033625,,,,,72.728,96.349,,,,0.038
10.026000000005297,,,,,,1433.9432481276474,,,,,,258.51,0.038
11.967000000004191,,,,,1625.5899383192932,,,,,,300.203,,0.038
12.028000000005704,,,,,,1728.360709024343,,,,,,253.005,0.038
16.99000000000524,,,,,1220.9137494701433,,,,,,95.902,,0.038
17.020000000004075,,,,,,1536.5109077256486,,,,,,84.359,0.038
18.947000000000116,,,,,1107.3180734703235,,,,,,77.05,,0.038
19.085000000006403,,,,,,1404.6599991318508,,,,,,104.998,0.038
20.98200000000361,,,,,926.5459335926025,,,,,,64.798,,0.038
21.07100000000355,,,,,,1346.6582609000325,,,,,,64.702,0.038
23.044000000001688,,,,,,1300.3160789990707,,,,,,114.979,0.038
23.07100000000355,,,,,824.2064818340931,,,,,,89.691,,0.038
24.935000000004948,,,,,734.3885269727961,,,,,,84.396,,0.038
24.981000000007043,,,,,,1140.5573846953816,,,,,,190.031,0.038
27.005000000004657,,,,,,1064.929676541527,,,,,,62.145,0.038
27.085000000006403,,,,,644.5388582765629,,,,,,63.417,,0.038
29.9690000000046,,,,,431.92165380086595,,,,,,69.812,,0.038
30.147000000004482,608.3857006055083,,749.3813067860905,,,,66.616,,80.486,,,,0.038
31.91700000000128,,,,,,890.3392067724343,,,,,,88.445,0.038
33.88100000000122,,,,,,732.6642027114664,,,,,,112.826,0.038
37.0370000000039,,,,525.4745575028735,,,,,,150.42,,,0.038
37.88500000000204,,,,,,983.6293209618593,,,,,,163.299,0.038
43.963000000003376,,,,,,437.8926283363634,,,,,,112.489,0.038
45.94400000000314,,,,,,418.76366873105235,,,,,,59.167,0.038
47.10700000000361,,,459.47556682088265,,,,,,77.495,,,,0.038
47.117000000005646,137.36661208024643,,,,,,94.694,,,,,,0.038
48.92500000000291,,,,,,422.92535607375544,,,,,,64.733,0.038
48.98100000000704,,,,,196.4978276840017,,,,,,59.376,,0.038
50.888000000006286,,,,,,373.8128909156673,,,,,,56.311,0.038
50.924000000006345,,,,,177.31861261122341,,,,,,45.808,,0.038
52.93900000000576,,,,,,439.54819424506115,,,,,,73.93,0.038
61.90400000000227,,,,,,252.8290531833628,,,,,,60.549,0.038
77.90200000000186,,,,,,252.9520250665398,,,,,,56.732,0.038
83.7980000000025,,,,,,308.91903408319763,,,,,,77.31,0.038
98.88700000000244,,296.8004113500282,,,,,,96.936,,,,,0.038
115.93700000000536,,,61.700806240471174,,,,,,56.791,,,,0.038
115.94700000000012,75.85307341996251,,,,,,49.966,,,,,,0.038
126.89700000000448,,434.92615498678845,,,,,,350.449,,,,,0.038
132.89700000000448,,112.93102341689742,81.21378505584377,,,,,41.05,50.986,,,,0.038
142.91700000000128,125.35341989559409,,,,,,94.941,,,,,,0.038
155.8570000000036,,,,185.0427856633388,,,,,,112.263,,,0.038
157.8770000000004,,173.0889968352344,,,,,,102.366,,,,,0.038
160.86700000000565,,,118.54821180302645,,,,,,82.711,,,,0.038
171.86700000000565,,,241.72542663043242,,,,,,120.448,,,,0.038
