relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-249.15699999999924,,223.35830227605584,,,,,,132.723,,,,,0.037
-238.1469999999972,,,35.0228685723454,,,,,,39.993,,,,0.037
-231.17700000000332,,110.34119269513286,,,,,,47.731,,,,,0.037
-189.16700000000128,,,46.39706062262772,,,,,,59.134,,,,0.037
-186.15699999999924,,,,72.72135463475054,,,,,,81.358,,,0.037
-175.237000000001,65.24511215522047,,,,,,48.989,,,,,,0.037
-163.237000000001,,,135.33827164696788,,,,,,73.733,,,,0.037
-147.24700000000303,51.952576167996014,,,,,,50.242,,,,,,0.037
-118.27700000000186,,79.30186640408795,,,,,,86.593,,,,,0.037
-0.021000000000640284,,,,,,456.78257637415487,,,,,,112.05,0.037
0.0,,,,,567.4523827116632,,,,,,82.981,,0.037
3.021999999997206,,,,,,525.2054385604828,,,,,,100.396,0.037
3.0389999999970314,,,,,519.4654382334212,,,,,,76.692,,0.037
19.927999999999884,,,,,,1571.692367002548,,,,,,147.653,0.037
19.985999999997148,,,,,949.351391875286,,,,,,147.077,,0.037
21.910000000003492,,,,,,1013.8074032819596,,,,,,160.778,0.037
21.947999999996682,,,,,912.8713204284195,,,,,,163.191,,0.037
23.999000000003434,,,,,,1514.0597963106277,,,,,,80.934,0.037
24.008999999998196,,,,,1050.8839722221994,,,,,,74.758,,0.037
26.010999999998603,,,,,970.5093314502803,,,,,,98.401,,0.037
27.911000000000058,,,,,,1644.474919999846,,,,,,99.294,0.037
35.96600000000035,,,,,1088.2717632445,,,,,,71.469,,0.037
37.87000000000262,,,,,,1199.211141497153,,,,,,194.873,0.037
37.98599999999715,,,,,854.1259351648931,,,,,,148.829,,0.037
39.98599999999715,,,,,1158.0668887243694,,,,,,78.403,,0.037
41.9230000000025,,,,,825.7149670592662,,,,,,177.256,,0.037
41.983000000000175,,,,,,1263.7440973586488,,,,,,171.532,0.037
43.970000000001164,,,,,,1599.6661040853262,,,,,,210.312,0.037
49.96399999999994,,,,,,1472.200183003529,,,,,,130.605,0.037
49.98999999999796,,,,,872.0883090710813,,,,,,131.331,,0.037
61.875999999996566,,,,,,1328.682157233553,,,,,,94.694,0.037
61.90600000000268,,,,,943.4839449081164,,,,,,62.981,,0.037
63.9230000000025,,,,,857.0760237850543,,,,,,75.841,,0.037
63.94499999999971,,,,,,1230.9136510955084,,,,,,93.485,0.037
66.79299999999785,,,,,646.3814364193391,,,,,,196.991,,0.037
66.87000000000262,,,,,,1159.6017277939463,,,,,,138.443,0.037
67.02300000000105,817.6838956554227,,,,,,68.026,,,,,,0.037
67.03300000000309,,,,1429.4851275543276,,,,,,91.511,,,0.037
68.83499999999913,,,,,979.4097837295977,,,,,,163.305,,0.037
68.88500000000204,,,,,,1190.8435308672485,,,,,,143.56,0.037
71.09300000000076,,,1568.6934092358217,,,,,,85.666,,,,0.037
71.90200000000186,,,,,,1208.405981330909,,,,,,264.08,0.037
71.99300000000221,,,,1236.3524717742196,,,,,,264.045,,,0.037
73.90400000000227,,,,,,1046.207781138708,,,,,,258.686,0.037
78.8660000000018,,,,,765.9658534190579,,,,,,95.979,,0.037
78.89600000000064,,,,,,1099.6644897316253,,,,,,101.422,0.037
80.82299999999668,,,,,865.2171337272297,,,,,,77.454,,0.037
80.96100000000297,,,,,,1002.0276140293099,,,,,,108.932,0.037
81.96300000000338,706.6645717222842,,,,,,55.653,,,,,,0.037
81.97299999999814,,,,1149.7885001110046,,,,,,76.127,,,0.037
82.85800000000017,,,,,807.0107069616174,,,,,,66.585,,0.037
82.94700000000012,,,,,,1024.11996707428,,,,,,75.773,0.037
84.91999999999825,,,,,,1087.9096648719587,,,,,,141.927,0.037
84.94700000000012,,,,,732.4151414193557,,,,,,91.481,,0.037
86.81100000000151,,,,,750.6939079660197,,,,,,108.809,,0.037
86.85700000000361,,,,,,778.5577154953238,,,,,,173.774,0.037
87.90299999999843,744.925168197983,949.053429333089,,,,,76.359,86.915,,,,,0.037
88.88100000000122,,,,,,1201.0142515176194,,,,,,76.014,0.037
88.96100000000297,,,,,726.2858522669648,,,,,,63.754,,0.037
91.84500000000116,,,,,739.3255930909905,,,,,,88.621,,0.037
93.79299999999785,,,,,,1144.2781294828221,,,,,,112.131,0.037
95.75699999999779,,,,,,902.8247900398685,,,,,,135.041,0.037
95.86099999999715,,,,,783.3412644267079,,,,,,78.583,,0.037
98.91300000000047,,898.1509858975637,,1197.6762734556175,,,,69.223,,109.504,,,0.037
99.7609999999986,,,,,,1069.7128918774988,,,,,,172.888,0.037
99.8159999999989,,,,,696.532942962078,,,,,,193.601,,0.037
99.9230000000025,,980.7835612475861,1494.9270323207675,,,,,121.953,98.485,,,,0.037
105.72000000000116,,,,,642.930574619942,,,,,,85.244,,0.037
105.83899999999994,,,,,,1038.6038539850615,,,,,,124.269,0.037
105.91300000000047,,567.9699069295509,,927.9930510782672,,,,94.945,,170.531,,,0.037
107.77300000000105,,,,,833.3793060225175,,,,,,81.715,,0.037
107.81999999999971,,,,,,1025.463505314829,,,,,,84.058,0.037
108.98300000000017,,,1191.7343588318815,,,,,,90.285,,,,0.037
108.99300000000221,763.7374956677716,,,,,,77.813,,,,,,0.037
110.80099999999948,,,,,,1023.7341537281767,,,,,,72.626,0.037
110.85700000000361,,,,,746.9255625170417,,,,,,65.395,,0.037
112.76400000000285,,,,,,945.9700695856006,,,,,,75.484,0.037
112.80000000000291,,,,,728.4002279126275,,,,,,51.793,,0.037
114.76200000000244,,,,,680.8758712949433,,,,,,72.964,,0.037
114.81500000000233,,,,,,1043.697724898764,,,,,,87.095,0.037
116.84300000000076,,,,,763.5416311875498,,,,,,71.244,,0.037
120.84599999999773,,,,,740.8104564830169,,,,,,57.769,,0.037
121.86299999999756,618.8480613090262,867.910505919895,,,,,80.412,61.33,,,,,0.037
123.77999999999884,,,,,,1076.1661874636482,,,,,,84.517,0.037
125.77399999999761,,,,,,758.2684724708198,,,,,,133.079,0.037
125.8530000000028,666.250600258615,,,901.1580514994075,,,71.918,,,102.652,,,0.037
