relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-292.02100000000064,58.9338369097352,,94.16156960290259,,,,58.359,,56.041,,,,0.014
-282.0310000000027,,,,162.798437466971,,,,,,149.345,,,0.014
-254.12100000000646,,,85.37756961774569,,,,,,51.473,,,,0.014
-244.12100000000646,,99.53436086127545,,,,,,65.967,,,,,0.014
-233.1010000000024,,,116.26503200139,,,,,,124.241,,,,0.014
-230.11100000000442,,,64.53657665249597,,,,,,76.169,,,,0.014
-225.12100000000646,,,96.91399890296458,,,,,,66.24,,,,0.014
-210.14100000000326,61.63422448670551,89.16510005190116,,,,,61.97,62.388,,,,,0.014
-196.14100000000326,,55.14147983039266,,,,,,70.044,,,,,0.014
-191.1510000000053,,,,198.7376529220598,,,,,,109.211,,,0.014
-187.1510000000053,,,,127.96330309258062,,,,,,115.453,,,0.014
-48.75100000000384,,410.1687628052609,,,,,,201.148,,,,,0.014
-29.76100000000588,76.66082823282673,29.019873054624437,,,,,40.968,37.513,,,,,0.014
0.0,,,,,,894.6258238374928,,,,,,74.557,0.014
0.10499999999592546,,,,,944.4311350643142,,,,,,67.905,,0.014
1.168999999994412,878.6245924574768,,901.8458594186737,,,,70.243,,74.191,,,,0.014
3.9129999999931897,,,,,802.8065648778118,,,,,,160.249,,0.014
4.017999999996391,,,,,,896.3598082716776,,,,,,95.358,0.014
5.128999999993539,1059.1230249451423,,696.2272988701856,,,,179.905,,163.151,,,,0.014
5.936999999998079,,,,,1218.0014820094834,,,,,,160.013,,0.014
5.998999999996158,,,,,,792.5190017838512,,,,,,128.932,0.014
7.118999999998778,,1071.7693606308103,,387.97796572612657,,,,96.612,,137.891,,,0.014
9.040999999997439,,,,,,849.4562111720404,,,,,,225.515,0.014
11.014999999999418,,,,,,696.1019144979155,,,,,,167.134,0.014
12.138999999995576,,794.2303894937779,599.2743601632739,,,,,158.618,139.236,,,,0.014
13.118999999998778,,656.7487925784197,,311.3376117061223,,,,91.732,,112.405,,,0.014
13.95499999999447,,,,,,678.0634412188834,,,,,,116.86,0.014
14.019999999996799,,,,,617.5318248648665,,,,,,114.516,,0.014
15.973999999994703,,,,,,680.2306595135148,,,,,,75.535,0.014
15.998999999996158,,,,,516.1158460622343,,,,,,73.328,,0.014
17.952999999994063,,,,,523.8030714243529,,,,,,58.149,,0.014
18.015999999995984,,,,,,640.3658014056376,,,,,,107.069,0.014
19.979999999995925,,,,,414.4394234855694,,,,,,54.162,,0.014
20.077999999994063,,,,,,572.5746676735229,,,,,,65.886,0.014
22.03899999999703,,,,,,475.87330344768145,,,,,,134.906,0.014
22.077999999994063,,,,,393.4065217183636,,,,,,85.179,,0.014
23.93399999999383,,,,,309.9642638450948,,,,,,59.473,,0.014
25.895999999993364,,,,,176.81445138504745,,,,,,54.898,,0.014
26.02499999999418,,,,,,417.634294493356,,,,,,69.502,0.014
26.098999999994703,142.48028670572526,,332.3163858126968,,,,64.608,,81.24,,,,0.014
30.021999999997206,,,,,,306.38655268200995,,,,,,70.523,0.014
30.068999999995867,217.79458873117642,241.08324658094858,,,,,67.59,39.112,,,,,0.014
31.98399999999674,,,,,,289.1851753367222,,,,,,78.554,0.014
34.99899999999616,,241.22381869718413,,,,,,106.572,,,,,0.014
35.008999999998196,,,185.16081723261408,,,,,,118.159,,,,0.014
37.06899999999587,,664.2425267159759,,,,,,129.81,,,,,0.014
40.008999999998196,,,325.7027675317586,,,,,,130.751,,,,0.014
42.03899999999703,,107.65343419237941,,297.9958673819301,,,,75.6,,104.713,,,0.014
52.93899999999849,,,147.00288355934217,,,,,,60.522,,,,0.014
73.0089999999982,,,,131.0094658526239,,,,,,98.542,,,0.014
94.93899999999849,,223.26573084809434,145.3622881351429,,,,,164.933,132.622,,,,0.014
