relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-296.01600000000326,,46.254475365377665,,,,,,44.011,,,,,0.087
-291.025999999998,,,99.42466988128751,,,,,,49.851,,,,0.087
-290.12600000000384,136.62195284552794,,,,,,71.601,,,,,,0.087
-283.10599999999977,,,103.78250134974385,,,,,,69.821,,,,0.087
-275.10599999999977,,,159.22147379701295,,,,,,74.069,,,,0.087
-272.07600000000093,,241.4718675182688,,,,,,90.349,,,,,0.087
-268.1160000000018,,69.95340033486212,,,,,,58.178,,,,,0.087
-264.08600000000297,,,104.38426386822461,,,,,,75.924,,,,0.087
-256.1160000000018,,,,220.14067184468354,,,,,,104.459,,,0.087
-252.0659999999989,,,166.56949464646937,,,,,,65.153,,,,0.087
-242.10599999999977,,106.5364742318929,,,,,,51.348,,,,,0.087
-235.12600000000384,72.93128149188125,,,,,,50.414,,,,,,0.087
-225.10599999999977,,156.60301691888947,,,,,,84.511,,,,,0.087
-219.1160000000018,,,82.23311785428429,,,,,,62.171,,,,0.087
-212.1359999999986,,,46.45327294500333,,,,,,55.064,,,,0.087
-209.1359999999986,,110.79066276349336,,,,,,57.722,,,,,0.087
-197.15600000000268,,,300.45408932880343,,,,,,169.762,,,,0.087
-197.14600000000064,,385.909182475832,,,,,,165.068,,,,,0.087
-195.15600000000268,,189.34209251802488,,,,,,81.668,,,,,0.087
-190.15600000000268,,79.88639018578145,,,,,,53.259,,,,,0.087
-190.14600000000064,,,258.73111208032964,,,,,,71.695,,,,0.087
-186.14600000000064,145.33701164015525,,69.31675679513364,,,,66.773,,51.997,,,,0.087
0.0,,,,,,1356.3901486825614,,,,,,83.559,0.087
0.023000000001047738,,,,,1089.341667383524,,,,,,75.99,,0.087
1.1440000000002328,1434.2857824966688,1444.8250957013909,,,,,81.668,62.559,,,,,0.087
2.0,,,,,,1278.2489616341188,,,,,,84.196,0.087
2.0429999999978463,,,,,1185.4570176672569,,,,,,92.359,,0.087
4.936000000001513,,,,,1192.1580304049085,,,,,,196.13,,0.087
4.993999999998778,,,,,,1485.8550284491555,,,,,,156.539,0.087
5.15400000000227,1438.5784537765146,,,386.9601946109622,,,95.436,,,86.844,,,0.087
6.985999999997148,,,,,,1400.4218844291645,,,,,,155.25,0.087
8.123999999996158,,976.2490718747822,,537.022801433593,,,,143.917,,151.193,,,0.087
9.173999999999069,,1012.7338966140393,978.2807868863752,,,,,73.299,90.764,,,,0.087
10.044999999998254,,,,,,1899.9646860298105,,,,,,218.274,0.087
14.957000000002154,,,,,,1154.4431896962844,,,,,,243.925,0.087
15.004000000000815,,,,,979.4327855689367,,,,,,260.374,,0.087
17.019000000000233,,,,,,923.9314666457175,,,,,,106.531,0.087
17.023999999997613,,,,,586.5239355927498,,,,,,132.582,,0.087
18.942000000002736,,,,,304.1265676608548,,,,,,80.236,,0.087
18.98399999999674,,,,,,889.4895225670692,,,,,,95.661,0.087
20.08400000000256,469.23176387184395,,,555.3759362118326,,,54.338,,,104.844,,,0.087
21.06500000000233,,,,,,810.9391136394775,,,,,,88.136,0.087
27.023000000001048,,,,,,534.33204582673,,,,,,71.713,0.087
29.12399999999616,187.0909292010957,,713.742724700242,,,,56.707,,68.675,,,,0.087
32.15400000000227,118.8682133093192,523.7601195191419,,,,,55.819,57.031,,,,,0.087
33.87700000000041,,,,,,600.2881129736669,,,,,,133.868,0.087
37.04400000000169,,391.42955702824077,,415.4148244292979,,,,112.842,,139.383,,,0.087
38.05399999999645,,253.05298699084165,389.6685835580346,,,,,120.068,137.755,,,,0.087
45.074000000000524,,258.56353662747307,,528.5626161556194,,,,79.561,,126.589,,,0.087
48.08400000000256,190.22952717424135,,,,,,76.984,,,,,,0.087
48.09399999999732,,,,184.8401119539783,,,,,,131.546,,,0.087
48.919999999998254,,,,,,372.7944012818247,,,,,,79.35,0.087
54.06399999999849,,,322.45275779937634,,,,,,53.821,,,,0.087
58.97400000000198,,,220.9492719451553,,,,,,99.731,,,,0.087
61.03399999999965,,,92.72380562810825,,,,,,86.23,,,,0.087
63.96399999999994,,,249.35316118787432,,,,,,60.108,,,,0.087
64.96399999999994,,,,204.18637441108459,,,,,,121.379,,,0.087
65.97400000000198,,,163.76786528093132,,,,,,71.407,,,,0.087
65.98399999999674,,216.16411259024028,,,,,,81.82,,,,,0.087
71.98399999999674,,210.46443332489451,,,,,,95.124,,,,,0.087
75.99399999999878,,,350.1175383395126,,,,,,60.957,,,,0.087
77.96399999999994,166.46604784624878,,,103.17480582968828,,,90.554,,,105.055,,,0.087
82.00400000000081,183.07106319884775,193.25363711188965,,,,,47.312,49.543,,,,,0.087
84.96399999999994,,,145.2238025257373,,,,,,95.699,,,,0.087
84.97400000000198,134.19746280491734,,,,,,67.172,,,,,,0.087
88.04400000000169,,299.5911567992908,,,,,,64.023,,,,,0.087
90.9340000000011,47.619231029290205,,98.38758979624622,,,,47.329,,47.004,,,,0.087
92.87399999999616,,,91.1734232787536,,,,,,59.146,,,,0.087
99.89400000000023,,236.78415457799196,,139.86642083471992,,,,122.637,,141.112,,,0.087
102.89400000000023,,67.71086330867782,135.61655334287443,,,,,38.441,51.341,,,,0.087
103.90400000000227,,41.0337607441786,,87.53839943518173,,,,31.394,,75.193,,,0.087
104.99399999999878,,,259.33985830308677,,,,,,58.33,,,,0.087
105.00400000000081,,164.22592344765508,,,,,,47.961,,,,,0.087
106.90400000000227,60.828890500416286,,,,,,48.385,,,,,,0.087
106.91399999999703,,,,177.2411633918437,,,,,,82.172,,,0.087
111.90400000000227,64.71770298695553,,,,,,50.324,,,,,,0.087
112.90400000000227,,,197.12320085559833,,,,,,50.09,,,,0.087
113.90400000000227,167.5880264144078,39.216151325365466,,,,,51.299,40.854,,,,,0.087
114.91399999999703,,,210.1082350068,,,,,,103.384,,,,0.087
117.8839999999982,146.13403098058765,,,,,,37.98,,,,,,0.087
128.89400000000023,,,312.66858810817865,,,,,,173.502,,,,0.087
133.87399999999616,,75.12499037717434,284.92582287028955,,,,,62.814,83.751,,,,0.087
139.87399999999616,97.50381568725905,,,,,,57.686,,,,,,0.087
144.8839999999982,,140.58226362941832,,,,,,46.771,,,,,0.087
146.87399999999616,,,60.34036889856973,,,,,,53.048,,,,0.087
153.8839999999982,,,,265.5021449407072,,,,,,160.654,,,0.087
157.8839999999982,,268.6647781610798,,,,,,79.558,,,,,0.087
160.8640000000014,,164.83629634032405,,,,,,75.175,,,,,0.087
161.85399999999936,,123.13444132328443,,,,,,40.545,,,,,0.087
161.8640000000014,,,,101.63495065451013,,,,,,75.21,,,0.087
163.85399999999936,,253.94705432658213,,,,,,71.584,,,,,0.087
166.85399999999936,,,38.8212481216411,,,,,,41.11,,,,0.087
171.85399999999936,,,241.2078341001987,,,,,,152.081,,,,0.087
