relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-297.96100000000297,,313.0899148781438,,,,,,188.603,,,,,0.037
-293.971000000005,,,,156.16324004000623,,,,,,124.455,,,0.037
-96.66100000000006,70.06559426176479,,,,,,72.237,,,,,,0.037
-93.6909999999989,,171.49331451211836,,,,,,65.051,,,,,0.037
-89.60100000000239,,122.47776352990927,,,,,,79.501,,,,,0.037
-80.6909999999989,180.17061079065738,,,,,,104.531,,,,,,0.037
-71.63100000000122,90.26522479789689,,,,,,77.738,,,,,,0.037
-48.73099999999977,104.40191093805142,,,,,,95.484,,,,,,0.037
-46.721000000005006,287.05292003329686,110.76789885432696,,,,,97.166,109.088,,,,,0.037
-34.78100000000268,,115.66683478430728,,,,,,113.146,,,,,0.037
-34.77100000000064,,,,312.2275666630093,,,,,,151.643,,,0.037
0.0,,,,,,2146.5360967746583,,,,,,259.964,0.037
1.1089999999967404,,,,1541.146800376486,,,,,,232.21,,,0.037
1.1189999999987776,,2462.5528929920515,,,,,,233.763,,,,,0.037
1.9289999999964493,,,,,,3528.154114583889,,,,,,129.614,0.037
1.9700000000011642,,,,,2699.4434613852422,,,,,,195.457,,0.037
4.069999999999709,,,,,3752.2050602773,,,,,,116.086,,0.037
4.13300000000163,,,,,,4130.57895962186,,,,,,166.035,0.037
6.028999999994994,,,,,3799.3617468265693,,,,,,88.135,,0.037
7.991000000001804,,,,,3493.789734654985,,,,,,105.547,,0.037
9.991000000001804,,,,,3431.061075148778,,,,,,101.685,,0.037
11.118999999998778,3919.3653971143185,4371.81849968319,,,,,98.342,91.028,,,,,0.037
11.991000000001804,,,,,3148.909755436142,,,,,,89.119,,0.037
12.059000000001106,3470.550223780801,,2640.135260171015,,,,125.74,,111.937,,,,0.037
13.970000000001164,,,,,2499.6349628701064,,,,,,77.663,,0.037
15.068999999995867,3080.577747635644,,,,,,131.828,,,,,,0.037
15.078999999997905,,3644.8476194289756,,,,,,166.027,,,,,0.037
16.970000000001164,,,,,,3547.762510527034,,,,,,108.744,0.037
16.992999999994936,,,,,2256.8003382775696,,,,,,98.031,,0.037
18.008999999998196,2745.2792700683976,,,,,,76.841,,,,,,0.037
18.019000000000233,,,1917.5119212848433,,,,,,108.459,,,,0.037
18.972999999998137,,,,,,3121.0722404038197,,,,,,93.317,0.037
18.992999999994936,,,,,1791.68024558685,,,,,,77.08,,0.037
20.008999999998196,2006.0753125583697,3519.8412672268087,,,,,82.214,106.839,,,,,0.037
20.934000000001106,,,,,1889.4575725940465,,,,,,121.955,,0.037
20.970000000001164,,,,,,2565.2593213008345,,,,,,127.176,0.037
22.930999999996857,,,,,,3109.3866349974246,,,,,,117.989,0.037
22.949000000000524,,,,,1244.4311694832281,,,,,,124.222,,0.037
26.991000000001804,,,,,,2674.5693202130533,,,,,,238.643,0.037
29.04899999999907,,,1118.4447955571231,,,,,,294.49,,,,0.037
31.008999999998196,,2112.1234608841737,,,,,,99.955,,,,,0.037
32.92899999999645,,,,,,2143.8365380970695,,,,,,97.991,0.037
32.97200000000157,,,,,638.7520097474506,,,,,,124.065,,0.037
33.028999999994994,,,,950.1265065382989,,,,,,153.51,,,0.037
33.03899999999703,,2124.1901872325348,,,,,,95.434,,,,,0.037
35.92899999999645,,,,,372.222849410587,,,,,,67.361,,0.037
35.98700000000099,,,,,,1942.7245229697837,,,,,,98.049,0.037
40.028999999994994,412.8641083083949,,987.7605237146553,,,,71.258,,85.066,,,,0.037
43.03899999999703,444.3002147407677,1059.9872088426523,,,,,73.594,85.954,,,,,0.037
43.95100000000093,,,,,,1404.1120706322029,,,,,,100.595,0.037
45.934000000001106,,,,,,942.8336340308059,,,,,,89.588,0.037
47.98700000000099,,,,,,608.9303389003586,,,,,,138.383,0.037
59.991000000001804,,,,,,774.6814261121189,,,,,,204.131,0.037
