relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-295.02999999999884,,,127.82909362426611,,,,,,70.489,,,,0.045
-99.72000000000116,,,,117.20321182813277,,,,,,73.93,,,0.045
-96.75999999999476,,96.65465572606395,,,,,,43.941,,,,,0.045
-92.66999999999825,,133.4174340307363,47.34462956497147,,,,,77.193,60.38,,,,0.045
-69.77999999999884,113.46965590378838,,,,,,118.938,,,,,,0.045
-53.93699999999808,,,,,386.97935919176126,,,,,,93.056,,0.045
-51.799999999995634,186.0083225661434,,164.904127971393,,,,55.281,,81.838,,,,0.045
-49.949000000000524,,,,,223.23735385438238,,,,,,57.371,,0.045
-49.79000000000087,356.79159092526834,262.4363689026216,,,,,64.999,50.256,,,,,0.045
-37.849999999998545,,207.54688066366032,,,,,,73.598,,,,,0.045
-27.014999999999418,,,,,325.9609119647083,,,,,,93.964,,0.045
-24.062999999994645,,,,,,386.23417549945606,,,,,,108.277,0.045
-14.074000000000524,,,,,,360.34598772457963,,,,,,91.888,0.045
-13.94999999999709,258.128590792275,406.01650465613426,,,,,75.818,83.892,,,,,0.045
-12.077999999994063,,,,,,536.1230392553501,,,,,,116.477,0.045
-12.032999999995809,,,,,421.78605584448195,,,,,,82.932,,0.045
-1.9599999999991269,,,,661.2484328009513,,,,,,133.439,,,0.045
-1.9499999999970896,,451.4906467816107,,,,,,153.928,,,,,0.045
-1.139999999999418,,,,,,482.1857189807517,,,,,,121.504,0.045
-0.00999999999476131,,,,343.30462489507534,,,,,,93.499,,,0.045
0.0,,499.0022226514651,,,,,,58.36,,,,,0.045
1.0010000000038417,,,,,605.5718178559346,,,,,,108.836,,0.045
1.0200000000040745,,537.4365418501332,360.1800375444966,,,,,47.346,72.968,,,,0.045
2.959999999999127,,,,,452.56154379454625,,,,,,74.709,,0.045
6.922000000005937,,,,,371.4048410683435,,,,,,91.3,,0.045
8.05000000000291,360.6478298457941,435.8317673488364,,,,,49.726,42.813,,,,,0.045
8.922000000005937,,,,,413.4201304480425,,,,,,72.714,,0.045
8.990000000005239,543.8133674813752,,410.1899591483104,,,,111.948,,70.96,,,,0.045
10.901000000005297,,,,,298.8186259010976,,,,,,61.836,,0.045
12.0,507.7195290498357,,,,,,72.275,,,,,,0.045
12.010000000002037,,402.3909402420118,,,,,,61.346,,,,,0.045
13.901000000005297,,,,,,535.6670600932267,,,,,,102.711,0.045
13.923999999999069,,,,,380.054262940011,,,,,,87.449,,0.045
14.940000000002328,494.99905437076575,,,,,,47.623,,,,,,0.045
14.950000000004366,,,336.427136618791,,,,,,55.011,,,,0.045
15.90400000000227,,,,,,630.0209272264175,,,,,,78.657,0.045
15.923999999999069,,,,,364.43527478126333,,,,,,68.983,,0.045
16.94000000000233,551.4619233391147,491.7221782788131,,,,,53.271,57.82,,,,,0.045
17.86500000000524,,,,,637.7147593923936,,,,,,113.608,,0.045
17.901000000005297,,,,,,483.7763982061642,,,,,,118.731,0.045
19.86200000000099,,,,,,597.7362031235446,,,,,,131.311,0.045
23.922000000005937,,,,,,1013.4702478942863,,,,,,238.973,0.045
27.94000000000233,,409.84892642639994,551.2092196238927,,,,,80.104,70.444,,,,0.045
29.903000000005704,,,,,413.03879989508863,,,,,,118.216,,0.045
29.959999999999127,,,,435.6949419033017,,,,,,121.307,,,0.045
29.970000000001164,,305.53721211406815,,,,,,61.896,,,,,0.045
31.94000000000233,381.60494262907326,,,559.9668816785855,,,59.392,,,111.246,,,0.045
32.91800000000512,,,,,,602.7881257074791,,,,,,113.256,0.045
34.88100000000122,,,,,450.2357609467919,,,,,,90.176,,0.045
36.95999999999913,211.36907889067393,,324.789199506005,,,,44.849,,57.805,,,,0.045
39.970000000001164,306.3280906452117,,,,,,53.626,,,,,,0.045
42.86500000000524,,,,,,642.676389802793,,,,,,102.431,0.045
