relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-146.7430000000022,,,,,831.9572858157921,,,,,,209.993,,0.093
-0.8099999999976717,,,,,,809.3537426119543,,,,,,161.787,0.093
0.0,,,,,,1305.17098355663,,,,,,138.183,0.093
0.06900000000314321,,,,,768.5522107680495,,,,,,194.955,,0.093
1.15400000000227,,,,,,1936.43881817182,,,,,,270.97,0.093
2.1010000000023865,,,,,,2357.243737159445,,,,,,116.085,0.093
2.158000000003085,,,,,1176.6559428571159,,,,,,108.298,,0.093
3.0060000000012224,,,,,1493.7734295951716,,,,,,78.01,,0.093
3.0679999999993015,,,,,,2172.588720629203,,,,,,98.407,0.093
4.099000000001979,,,,,,2690.1371936519963,,,,,,139.087,0.093
4.190000000002328,,,,,1399.252094269376,,,,,,100.64,,0.093
5.031999999999243,,,,,1772.5936933563946,,,,,,94.518,,0.093
5.074000000000524,,,,,,3099.5997175457373,,,,,,113.886,0.093
6.084000000002561,,,,,1825.069863482091,,,,,,95.582,,0.093
7.023000000001048,,,,,,3948.5810818297314,,,,,,114.818,0.093
7.048000000002503,,,,,1867.8021306772894,,,,,,85.179,,0.093
8.077000000004773,,,,,1854.4048865228494,,,,,,107.834,,0.093
8.127000000000407,,,,,,4050.6557676594803,,,,,,127.608,0.093
9.046000000002095,,,,,,4117.5628456845125,,,,,,122.765,0.093
9.215000000003783,2756.1131049679525,4192.883379540636,4108.605458016619,3107.2431524141057,,,118.931,113.221,100.214,152.326,,,0.093
10.080999999998312,,,,,2346.8553675102853,,,,,,83.054,,0.093
10.11699999999837,,,,,,4770.0068151497235,,,,,,113.847,0.093
11.044999999998254,,,,,2536.144498660118,,,,,,80.916,,0.093
11.084999999999127,,,,,,4629.308903870059,,,,,,184.689,0.093
12.126000000003842,,,,,,5503.354831606823,,,,,,110.394,0.093
12.18699999999808,,,,,2548.1202383246973,,,,,,81.776,,0.093
13.025999999998021,,,,,2696.8205617640438,,,,,,72.509,,0.093
13.084999999999127,,4777.121876853632,4966.417593143575,3900.886227609657,,,,175.701,242.035,314.877,,,0.093
13.095000000001164,3273.768755727184,,,,,,212.152,,,,,,0.093
14.084999999999127,,,,4385.525156601887,,,,,,154.608,,,0.093
14.095000000001164,3365.126012904932,5212.188513234145,5753.03071060631,,,,110.925,116.116,129.735,,,,0.093
15.063999999998487,,,,,,6000.859348284423,,,,,,139.501,0.093
15.084999999999127,,,,4440.960655693807,,,,,,172.416,,,0.093
15.095000000001164,3539.816751432137,5995.957687343494,6168.002904699793,,,,109.044,110.713,122.451,,,,0.093
15.111000000004424,,,,,2598.192796217538,,,,,,116.938,,0.093
16.1050000000032,,,6342.004303575721,4744.628345154804,,,,,141.527,206.793,,,0.093
16.114999999997963,3417.40812304608,5930.441899296193,,,,,113.057,112.963,,,,,0.093
17.095000000001164,3699.24034975894,6190.089751595227,6570.029822854327,5274.4310885573,,,133.373,118.659,121.306,178.535,,,0.093
18.039000000004307,,,,,2982.057511729498,,,,,,141.182,,0.093
18.0940000000046,,,,,,7223.039174231647,,,,,,149.321,0.093
20.02900000000227,,,,,3355.2771253173864,,,,,,160.945,,0.093
20.05800000000454,,,,,,7988.375355459273,,,,,,170.463,0.093
20.095000000001164,3780.0961611706016,7541.469347600365,7435.601360613416,5925.9300514458455,,,155.725,146.132,141.535,224.817,,,0.093
24.031000000002678,,,,,,9599.219421286174,,,,,,189.973,0.093
24.059000000001106,,,,,4063.5672547652753,,,,,,218.763,,0.093
24.145000000004075,5247.721300519303,8218.878131600066,8687.803336239844,6433.793649365846,,,242.379,205.893,244.95,357.332,,,0.093
28.145000000004075,5409.256921458279,10142.368654144213,10938.13948631656,7759.117173296867,,,205.026,157.638,162.455,213.528,,,0.093
30.042999999997846,,,,,5278.390966600147,,,,,,106.435,,0.093
30.175999999999476,,,,,,11880.535750464034,,,,,,186.884,0.093
31.255000000004657,6279.253336769212,11448.043152898008,12252.101460943748,8663.541453261423,,,225.095,229.041,246.758,318.594,,,0.093
32.07700000000477,,,,,5409.663545413802,,,,,,102.62,,0.093
32.19000000000233,,,,,,12647.509743315148,,,,,,149.235,0.093
33.11499999999796,6246.029911298253,10936.831665054575,11075.488087735688,8921.8952937456,,,119.307,139.789,141.852,191.339,,,0.093
34.11499999999796,6666.768555432316,11584.832086440987,12574.368965442449,9755.345267350018,,,138.841,147.319,176.906,215.79,,,0.093
35.06900000000314,,,,,5684.047520206669,,,,,,111.529,,0.093
35.129000000000815,,,,,,14158.110669364409,,,,,,145.15,0.093
37.025000000001455,,,,,5165.112493658143,,,,,,131.318,,0.093
37.05000000000291,,,,,,14387.29849841892,,,,,,140.213,0.093
38.1050000000032,5930.206126859492,11676.897488649827,12373.69131195128,9560.045726712562,,,164.926,186.897,194.139,291.936,,,0.093
39.046000000002095,,,,,,13953.505128695684,,,,,,146.804,0.093
39.09300000000076,,,,,5196.640766183256,,,,,,111.071,,0.093
39.095000000001164,,11734.407535390186,12699.75794794942,9855.991182497874,,,,140.137,156.652,206.722,,,0.093
39.1050000000032,5803.070005998511,,,,,,121.38,,,,,,0.093
40.11499999999796,6063.937543138591,11442.857545139985,12379.724050483977,10064.122088452496,,,107.252,136.632,158.171,223.622,,,0.093
41.03100000000268,,,,,4696.174095252999,,,,,,107.069,,0.093
41.050999999999476,,,,,,13330.907253261887,,,,,,143.763,0.093
41.095000000001164,,12094.278499532285,12604.540891517856,10048.291168429689,,,,156.778,206.727,273.785,,,0.093
41.1050000000032,6165.27233349646,,,,,,156.65,,,,,,0.093
42.125,5236.066974192954,11577.212494162384,11681.411923441443,9392.22865414169,,,191.581,166.851,186.395,179.141,,,0.093
43.1050000000032,4763.8279957296145,10659.12698593347,12074.841983351585,9993.102317072186,,,138.239,154.274,188.324,218.589,,,0.093
44.095000000001164,,,,8918.268321761627,,,,,,250.57,,,0.093
44.1050000000032,4554.029656519944,10729.837101232983,11257.880509558052,,,,130.728,142.211,147.73,,,,0.093
44.14700000000448,,,,,,11738.854053007843,,,,,,142.364,0.093
44.16000000000349,,,,,3772.0082195949153,,,,,,113.837,,0.093
46.0370000000039,,,,,3042.8847095456276,,,,,,139.062,,0.093
