relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-95.59399999999732,,62.146675210690006,,111.3234057995877,,,,72.42,,136.412,,,0.018
-84.66400000000431,,65.72459578317918,,,,,,51.741,,,,,0.018
-75.65400000000227,,55.92992083014448,,,,,,54.43,,,,,0.018
-54.71399999999994,,,151.67316407677828,,,,,,61.572,,,,0.018
-44.684000000001106,,81.17152962836145,,,,,,45.356,,,,,0.018
-11.834000000002561,,,133.75199060419027,,,,,,81.31,,,,0.018
-8.804000000003725,,175.75321825282407,,,,,,106.584,,,,,0.018
0.0,,,,,,818.9401489322162,,,,,,84.51,0.018
0.04299999999784632,,,,,626.2725525887794,,,,,,69.736,,0.018
2.0230000000010477,,,,,,660.782109350211,,,,,,88.192,0.018
2.055000000000291,,,,,660.0269978084276,,,,,,82.082,,0.018
3.9789999999993597,,,,,893.8949959744172,,,,,,98.966,,0.018
4.057999999997264,,,,,,1020.5146839387602,,,,,,81.676,0.018
4.09599999999773,751.8753118345293,,770.0078241334013,,,,72.477,,65.844,,,,0.018
6.000999999996566,,,,,876.0089166999643,,,,,,79.113,,0.018
6.044000000001688,,,,,,1122.7109909609171,,,,,,146.189,0.018
9.175999999999476,711.4713432894295,,,,,,75.386,,,,,,0.018
9.186000000001513,,828.0199293736454,,,,,,78.663,,,,,0.018
9.997999999999593,,,,,766.2751495414117,,,,,,64.4,,0.018
10.076999999997497,,,,,,953.1158041897744,,,,,,86.866,0.018
12.09599999999773,,,825.4172403125968,,,,,,69.113,,,,0.018
12.105999999999767,617.4630348325791,,,,,,66.289,,,,,,0.018
14.016999999999825,,,,,742.4548647773946,,,,,,63.499,,0.018
14.044000000001688,,,,,,1019.3470421336766,,,,,,69.808,0.018
16.023999999997613,,,,,627.0529298226392,,,,,,102.922,,0.018
16.06199999999808,,,,,,1125.1792028275825,,,,,,104.137,0.018
16.105999999999767,616.6325689911695,,,713.0467213036632,,,68.713,,,104.612,,,0.018
18.023000000001048,,,,,,976.3186972181137,,,,,,107.503,0.018
18.070999999996275,,,,,727.7090735696768,,,,,,145.524,,0.018
25.036000000000058,,,1024.8936151406645,,,,,,101.01,,,,0.018
25.046000000002095,,716.7746678291908,,,,,,105.861,,,,,0.018
26.055999999996857,,820.1566428661275,,579.3106104413471,,,,79.526,,155.681,,,0.018
27.019000000000233,,,,,,730.0653800633206,,,,,,127.257,0.018
28.14600000000064,,,859.0956728930572,,,,,,117.001,,,,0.018
28.156000000002678,,665.2845405353372,,,,,,87.71,,,,,0.018
29.002000000000407,,,,,535.8343428369583,,,,,,72.156,,0.018
29.055999999996857,,,,,,984.5294097655177,,,,,,96.057,0.018
31.000999999996566,,,,,,967.7666249080214,,,,,,84.112,0.018
31.036000000000058,,,878.9093685138992,,,,,,112.712,,,,0.018
31.057999999997264,,,,,418.69429495224256,,,,,,92.802,,0.018
32.97400000000198,,,,,315.00427821581457,,,,,,73.904,,0.018
35.02100000000064,,,,,,933.5051643650525,,,,,,97.874,0.018
35.06300000000192,,,,,440.7994190578835,,,,,,84.332,,0.018
36.99199999999837,,,,,,867.7120579545696,,,,,,76.41,0.018
37.0,,,,,337.29406377920037,,,,,,55.262,,0.018
37.00600000000122,394.0740953540836,,786.3150910411752,,,,60.61,,66.014,,,,0.018
39.02599999999802,419.3565765387861,,,,,,50.1,,,,,,0.018
39.03600000000006,,741.6322944837285,,,,,,43.248,,,,,0.018
39.92399999999907,,,,,345.4139514946149,,,,,,59.124,,0.018
41.92199999999866,,,,,,1070.8126093457172,,,,,,79.113,0.018
42.05599999999686,440.6577067779075,752.6655205360763,,,,,57.225,61.149,,,,,0.018
44.98399999999674,,,,,,933.4881495482207,,,,,,137.357,0.018
46.116000000001804,229.30627409273345,,,431.88638895414,,,94.826,,,124.276,,,0.018
46.957000000002154,,,,,,1196.2309510651492,,,,,,144.796,0.018
53.07600000000093,,465.196453926843,,1049.1132605947278,,,,122.491,,158.104,,,0.018
53.95999999999913,,,,,,797.8704885641661,,,,,,139.411,0.018
55.95300000000134,,,,,,842.5684123813511,,,,,,79.941,0.018
56.07600000000093,,451.5682181154457,731.5939585440328,,,,,54.158,67.252,,,,0.018
58.08599999999569,,579.9048587725783,,551.2075959291487,,,,63.587,,92.596,,,0.018
59.93800000000192,,,,,,822.3696979498795,,,,,,105.572,0.018
60.07600000000093,237.67252716002818,,880.3664248243325,,,,50.493,,58.157,,,,0.018
61.95300000000134,,,,,,754.8506510570189,,,,,,76.475,0.018
63.93699999999808,,,,,316.5243445657258,,,,,,76.55,,0.018
64.0659999999989,,658.4010345520443,,,,,,145.623,,,,,0.018
64.07600000000093,139.24639530130605,,,,,,94.122,,,,,,0.018
65.95700000000215,,,,,,620.6239513489653,,,,,,87.979,0.018
67.05599999999686,,,732.7290590691579,,,,,,60.608,,,,0.018
69.95700000000215,,,,,,579.0982274448623,,,,,,85.682,0.018
70.03600000000006,278.9897957353227,593.0155534337991,,,,,46.15,52.931,,,,,0.018
71.95900000000256,,,,,,703.8806403852052,,,,,,93.845,0.018
72.08599999999569,117.61817621416147,,733.8156598445731,,,,61.624,,66.175,,,,0.018
81.03600000000006,,421.4162289689831,,339.18693236694025,,,,99.448,,117.878,,,0.018
82.03600000000006,,296.8797594185889,732.1171366951586,,,,,111.615,115.311,,,,0.018
84.02599999999802,,454.61503295116114,,590.8798470557796,,,,72.605,,90.769,,,0.018
85.93899999999849,,,,,,584.0112558050497,,,,,,105.777,0.018
86.02599999999802,,309.7786378429433,561.9067491335198,,,,,45.602,61.027,,,,0.018
87.03600000000006,,387.76248962092427,,466.82167017156524,,,,48.207,,90.934,,,0.018
89.05599999999686,167.09673633834655,,,528.5468175666956,,,48.455,,,110.259,,,0.018
92.0460000000021,267.70310652496363,266.4512613914877,,,,,84.931,94.702,,,,,0.018
93.03600000000006,60.40417722958348,,518.5975045521575,,,,68.03,,97.608,,,,0.018
94.03600000000006,183.17506477688968,343.42194289361953,,,,,60.521,52.054,,,,,0.018
95.03600000000006,134.49935909785245,,687.8317056621887,,,,64.011,,67.224,,,,0.018
96.02599999999802,80.54987673283071,250.20297350732278,,,,,52.981,54.371,,,,,0.018
97.02599999999802,91.84399978064484,,,,,,55.549,,,,,,0.018
97.03600000000006,,,519.1289379798297,,,,,,53.061,,,,0.018
98.0460000000021,,270.9526172823359,,,,,,115.178,,,,,0.018
