relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-76.75999999999476,100.22524213807577,140.63094954643188,,,,,61.385,95.259,,,,,0.021
-11.94999999999709,99.24803664133701,,,,,,79.373,,,,,,0.021
-3.9199999999982538,,373.63995352718695,,424.1899038704501,,,,262.162,,408.528,,,0.021
-1.0889999999999418,,,,,,449.8295566611293,,,,,,107.841,0.021
0.944999999999709,,,,,734.8440225241808,,,,,,72.526,,0.021
0.9720000000015716,,,,,,703.3438326678599,,,,,,96.46,0.021
1.0999999999985448,,642.1886785909926,,696.8537832199542,,,,75.878,,128.391,,,0.021
1.9130000000004657,,,,,951.2913044735957,,,,,,65.904,,0.021
1.9720000000015716,,,,,,749.8752943540205,,,,,,80.491,0.021
3.9200000000055297,,,,,1047.8130052098086,,,,,,132.49,,0.021
3.974000000001979,,,,,,952.7206656140179,,,,,,101.566,0.021
5.951000000000931,,,,,1361.2800098638352,,,,,,134.624,,0.021
7.915000000000873,,,,,1473.8392787976134,,,,,,88.996,,0.021
7.969000000004598,,,,,,1174.2248199519086,,,,,,104.341,0.021
9.916000000004715,,,,,,1362.9850500734722,,,,,,90.603,0.021
9.950000000004366,,,,,1460.6469500313246,,,,,,68.075,,0.021
11.91700000000128,,,,,,1282.1475135062035,,,,,,71.561,0.021
11.930000000000291,,,,,1392.953786782324,,,,,,64.082,,0.021
15.932000000000698,,,,,1339.4489962364103,,,,,,104.695,,0.021
15.951000000000931,,,,,,1174.8683744554876,,,,,,102.646,0.021
17.925999999999476,,,,,1177.5088528452566,,,,,,147.319,,0.021
17.96700000000419,,,,,,1151.3050399438073,,,,,,167.601,0.021
19.952000000004773,,,,,1173.7747387615204,,,,,,186.714,,0.021
23.963000000003376,,,,,,1087.7242186294388,,,,,,233.808,0.021
29.936000000001513,,,,,,740.0726377752967,,,,,,155.821,0.021
32.92700000000332,,,,,,415.31720053680385,,,,,,116.598,0.021
34.99799999999959,,,,,,704.5976358492903,,,,,,153.72,0.021
35.95400000000518,,,,,,566.3430044902462,,,,,,111.373,0.021
