relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-296.0699999999997,103.30419332573925,,,152.70316258170055,,,69.884,,,109.995,,,0.024
-289.0699999999997,,74.51324091843472,,,,,,57.105,,,,,0.024
-272.04999999999563,,103.27524396415889,,,,,,70.206,,,,,0.024
-267.08000000000175,,,295.9404325586562,,,,,,92.406,,,,0.024
-115.76000000000204,108.84726588386481,,95.26441003679027,,,,91.004,,83.173,,,,0.024
-106.68999999999505,134.1789774571595,,,,,,96.611,,,,,,0.024
-94.69999999999709,,,,324.91450844992,,,,,,155.659,,,0.024
-88.76000000000204,84.41267395054821,,,,,,71.813,,,,,,0.024
-82.72000000000116,123.25210358133927,,89.17775700106509,,,,61.307,,68.658,,,,0.024
-72.77999999999884,,65.51962492393335,,,,,,81.466,,,,,0.024
-67.77999999999884,,266.6144655879943,,,,,,137.876,,,,,0.024
-58.80999999999767,85.55682653486811,,111.71203353045023,,,,93.059,,69.732,,,,0.024
-54.81999999999971,,72.03041871049166,,,,,,43.311,,,,,0.024
-52.81999999999971,,,198.76045260125136,,,,,,85.898,,,,0.024
-43.779999999998836,,160.77279201843817,87.09534375584612,,,,,62.671,87.312,,,,0.024
-18.94999999999709,192.90130867398696,,,,,,63.58,,,,,,0.024
-2.0529999999998836,,,,,440.19410925970135,,,,,,101.101,,0.024
-0.10199999999895226,,,,,437.0631148693831,,,,,,97.379,,0.024
0.0,675.5755114943789,,428.04593420966097,,,,68.203,,73.633,,,,0.024
1.9060000000026776,,,,,694.5072504399154,,,,,,92.378,,0.024
5.90400000000227,,,,,782.3380447497345,,,,,,66.328,,0.024
8.0,,,779.2250632325059,,,,,,85.223,,,,0.024
8.010000000002037,957.3631740627179,,,,,,66.322,,,,,,0.024
9.944000000003143,,,,,,842.2525711812547,,,,,,72.032,0.024
11.925999999999476,,,,,894.6337668387182,,,,,,131.054,,0.024
