relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-298.0699999999997,64.58562334549949,,,,,,72.09,,,,,,0.033
-295.0699999999997,,59.41281616232112,,,,,,54.188,,,,,0.033
-292.0699999999997,,,248.2914251250916,,,,,,148.104,,,,0.033
-279.04999999999563,,187.17880275135428,81.05272241665479,,,,,95.644,94.535,,,,0.033
-270.0699999999997,,66.01484076844389,,,,,,53.808,,,,,0.033
-110.69999999999709,,,93.53418703543812,,,,,,80.999,,,,0.033
-88.75999999999476,,104.58268583935201,,,,,,45.527,,,,,0.033
-84.77999999999884,,,41.78531229883271,,,,,,47.453,,,,0.033
-80.7899999999936,56.363361221229745,40.541857995548725,,,,,39.509,39.297,,,,,0.033
-67.82999999999447,,,126.82091742503731,,,,,,125.436,,,,0.033
-34.73999999999796,,98.30605985881348,,,,,,121.147,,,,,0.033
-22.80999999999767,,47.66819600169926,,,,,,46.113,,,,,0.033
-18.94999999999709,157.17204646726677,,,,,,93.848,,,,,,0.033
-15.809999999997672,,,68.6612963697629,,,,,,65.697,,,,0.033
-13.849999999998545,,231.22004729512955,136.39572508770237,,,,,159.239,138.365,,,,0.033
-6.029999999998836,,259.670265333337,,173.4316971956759,,,,56.639,,102.869,,,0.033
-4.0,,,,348.7659137484978,,,,,,93.858,,,0.033
-3.9899999999979627,238.1485997400177,,,,,,54.385,,,,,,0.033
0.0,331.2017400763348,381.30448778843726,,,,,41.304,44.656,,,,,0.033
1.9600000000064028,235.68437750912915,,479.83249804643026,,,,58.062,,66.334,,,,0.033
2.960000000006403,338.8713107623219,,,,,,58.642,,,,,,0.033
2.970000000001164,,354.28018598659395,,,,,,44.112,,,,,0.033
5.110000000000582,278.3789537051946,,392.0830244356867,,,,85.773,,72.966,,,,0.033
11.080000000001746,,311.96106772373463,,,,,,54.478,,,,,0.033
20.060000000004948,,,273.81153423106866,,,,,,152.39,,,,0.033
22.080000000001746,,135.89446587729861,,,,,,63.212,,,,,0.033
22.090000000003783,,,,134.8894596138893,,,,,,105.4,,,0.033
25.92000000000553,85.65824054693111,,,,,,42.993,,,,,,0.033
26.93000000000029,129.52965871461257,,183.9901141895061,,,,59.44,,83.038,,,,0.033
36.020000000004075,,,193.11578827003044,,,,,,64.958,,,,0.033
39.04000000000087,137.0607774039389,,,,,,81.202,,,,,,0.033
39.05000000000291,,263.7447750337589,,,,,,90.529,,,,,0.033
48.0,,153.01627129923614,,,,,,93.89,,,,,0.033
50.020000000004075,,71.40716084955415,,,,,,77.894,,,,,0.033
51.9800000000032,,42.72992051442747,,147.70164030120435,,,,43.603,,79.326,,,0.033
53.99000000000524,,88.7224757531514,104.59092366370429,,,,,36.489,39.019,,,,0.033
55.9800000000032,82.13999666404493,,,,,,53.221,,,,,,0.033
58.950000000004366,,,169.97481601661954,,,,,,88.456,,,,0.033
60.99000000000524,60.83178775861805,,111.94336751662588,,,,55.56,,72.446,,,,0.033
64.95000000000437,,,145.11887378800623,,,,,,88.965,,,,0.033
67.9800000000032,138.3436914697708,,,,,,56.501,,,,,,0.033
74.93000000000029,,,,1868.9437625064877,,,,,,1047.447,,,0.033
76.94000000000233,,102.59570021203031,112.54291847769109,,,,,76.571,66.681,,,,0.033
80.9800000000032,,,134.2877632281268,,,,,,68.918,,,,0.033
83.9600000000064,,80.64588727561035,,,,,,53.078,,,,,0.033
85.95000000000437,,,59.58328976847519,,,,,,67.758,,,,0.033
89.93000000000029,131.9838320102596,,95.07225769880681,,,,62.751,,58.476,,,,0.033
90.94000000000233,,52.74917121846313,,,,,,64.013,,,,,0.033
91.95000000000437,,,153.8113034461354,,,,,,65.472,,,,0.033
