relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-278.07300000000396,,,,464.46088837175574,,,,,,108.843,,,0.09
-259.9429999999993,142.56089838632454,,,,,,82.146,,,,,,0.09
-257.083000000006,,60.63272352249472,,,,,,49.763,,,,,0.09
-231.09300000000076,,71.89298044691216,,,,,,50.58,,,,,0.09
-219.1030000000028,,114.19068105117708,,,,,,120.368,,,,,0.09
-16.802999999999884,79.93740848669427,,,159.39182320828235,,,56.5,,,120.942,,,0.09
-1.8729999999995925,259.58450976944795,,,142.94134373063494,,,53.165,,,96.424,,,0.09
0.0,,,,,423.45265502543276,,,,,,68.406,,0.09
0.043999999994412065,,,,,,455.3472114263847,,,,,,99.28,0.09
2.0449999999982538,,,,,966.9607292853866,,,,,,71.636,,0.09
4.0239999999976135,,,,,1524.7172965697043,,,,,,67.852,,0.09
4.062999999994645,,,,,,1653.3155464100505,,,,,,75.156,0.09
4.086999999999534,1336.4013754028406,1467.422730753646,,,,,94.899,79.365,,,,,0.09
7.032999999995809,,,,,,2341.0786570070604,,,,,,115.774,0.09
9.92099999999482,,,,,,2954.2312251985013,,,,,,124.006,0.09
10.197000000000116,2630.1041800102626,2166.482584927209,,,,,89.644,80.037,,,,,0.09
11.914999999993597,,,,,,2875.5937453316596,,,,,,146.169,0.09
12.023999999997613,,,,,2512.5971570519478,,,,,,92.301,,0.09
15.086999999999534,,2560.0572592906783,,1392.2190311165732,,,,76.53,,120.082,,,0.09
15.930000000000291,,,,,,3069.3110610978547,,,,,,193.454,0.09
16.096999999994296,,2579.479470899216,1718.1245494755628,,,,,110.9,146.506,,,,0.09
22.002000000000407,,,,,,1769.8981738982948,,,,,,185.04,0.09
22.086999999999534,,,,,1054.3946637530753,,,,,,241.93,,0.09
23.11699999999837,,1467.365835782367,,1034.185376037831,,,,96.938,,167.321,,,0.09
24.06199999999808,,,,,925.6428186927889,,,,,,133.783,,0.09
26.963999999999942,,,,,,1827.3809721676696,,,,,,93.125,0.09
27.005999999993946,,,,,668.0489013002882,,,,,,69.222,,0.09
28.927999999999884,,,,,,1318.9219780073813,,,,,,94.354,0.09
28.9629999999961,,,,,454.45622884770455,,,,,,68.496,,0.09
30.924999999995634,,,,,478.40847956935204,,,,,,72.601,,0.09
30.977999999995518,,,,,,1411.8584178430922,,,,,,98.837,0.09
32.98399999999674,,,,,,1201.3927958169938,,,,,,88.831,0.09
33.005999999993946,,,,,327.7091596102423,,,,,,70.346,,0.09
36.9629999999961,,,,,,940.8617740064183,,,,,,83.635,0.09
37.007999999994354,,,,,401.8759771345303,,,,,,55.721,,0.09
37.016999999999825,326.5060874319147,,865.9065417238128,,,,64.584,,70.077,,,,0.09
39.94199999999546,,,,,,604.7491752251444,,,,,,92.693,0.09
42.016999999999825,99.16398963572445,,622.7937789537269,,,,48.757,,54.346,,,,0.09
43.00699999999779,184.49629520751262,,,517.5194292810826,,,57.624,,,74.31,,,0.09
44.02699999999459,,368.300938643616,398.6991742468863,,,,,68.951,77.879,,,,0.09
50.02699999999459,,591.184514934345,,342.1627287210669,,,,102.319,,131.594,,,0.09
52.036999999996624,,,222.68585225771133,,,,,,75.032,,,,0.09
54.036999999996624,206.85661727727836,,333.28579017627044,,,,45.668,,45.306,,,,0.09
54.986999999993714,,,,,,523.4950700035278,,,,,,97.728,0.09
56.00699999999779,183.87089777376238,,,,,,108.248,,,,,,0.09
56.016999999999825,,,,390.0460413793922,,,,,,151.521,,,0.09
58.961999999999534,,,,,,437.3041924129748,,,,,,82.442,0.09
