relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-98.7100000000064,,,,102.00978102083604,,,,,,73.924,,,0.033
-89.68000000000029,,215.12632856066915,,,,,,175.012,,,,,0.033
-73.69000000000233,,63.6181339481108,,,,,,69.025,,,,,0.033
-50.79000000000087,,,204.63225125360105,,,,,,75.215,,,,0.033
-12.940000000002328,114.8436981333361,129.86972654048478,,,,,93.153,120.887,,,,,0.033
-0.9500000000043656,,,,308.782659029863,,,,,,191.025,,,0.033
-0.9400000000023283,,411.8206087286097,,,,,,184.091,,,,,0.033
0.0,,530.5997555353114,506.87902576529603,,,,,98.4,92.846,,,,0.033
1.0099999999947613,,509.018583566746,,427.69849077385305,,,,72.578,,115.415,,,0.033
2.029999999998836,,503.76031474667377,498.19083321643234,,,,,70.468,115.643,,,,0.033
9.059999999997672,540.4250379978664,656.5701038615691,,,,,77.885,70.493,,,,,0.033
13.009999999994761,375.88153925677716,,,,,,76.133,,,,,,0.033
13.019999999996799,,482.8775066057742,,,,,,83.588,,,,,0.033
15.94999999999709,326.5368010275571,,,,,,42.333,,,,,,0.033
15.959999999999127,,,461.93494850904904,,,,,,70.069,,,,0.033
17.94999999999709,178.06266628599118,480.6537691545224,,,,,54.307,80.814,,,,,0.033
26.989999999997963,,267.68631453169957,790.5206534922748,,,,,236.357,389.724,,,,0.033
28.94999999999709,,331.4774178488917,264.32040947639683,,,,,111.308,93.447,,,,0.033
30.969999999993888,,,,248.37400672444272,,,,,,122.494,,,0.033
30.979999999995925,,322.1359908599435,,,,,,62.466,,,,,0.033
37.96999999999389,61.139955106024146,,,,,,52.182,,,,,,0.033
40.979999999995925,,106.34697340398152,,,,,,52.741,,,,,0.033
