relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-297.1800000000003,,65.81226498327362,,,,,,36.801,,,,,0.034
-290.1800000000003,121.93849941636948,47.813422137879364,,,,,44.162,38.51,,,,,0.034
-287.33000000000175,101.19418916433528,,,,,,69.252,,,,,,0.034
-283.2300000000032,,86.79755038627813,,,,,,49.75,,,,,0.034
-279.3400000000038,,133.339892291909,,,,,,91.845,,,,,0.034
-276.24000000000524,,55.722727010157065,,,,,,59.614,,,,,0.034
-273.26000000000204,,,,177.0974210910298,,,,,,164.397,,,0.034
-273.25,,81.71864753159042,,,,,,43.309,,,,,0.034
-270.26000000000204,,,,154.1068335580197,,,,,,112.987,,,0.034
-261.22000000000116,,,66.18570119377873,,,,,,61.191,,,,0.034
-254.24000000000524,,83.2606314791519,,,,,,66.141,,,,,0.034
-251.25,,79.02911544596319,,,,,,76.939,,,,,0.034
-248.3199999999997,,47.92936892803331,78.64652060471846,,,,,57.012,53.314,,,,0.034
-244.2800000000061,,,52.65314307850032,,,,,,42.815,,,,0.034
-242.34000000000378,100.63740770971191,,,,,,55.078,,,,,,0.034
-242.33000000000175,,,96.99023048779051,,,,,,70.363,,,,0.034
-236.35000000000582,,,77.66603885936307,,,,,,55.291,,,,0.034
-234.36000000000058,55.89436039340833,,,,,,46.856,,,,,,0.034
-230.35000000000582,,75.36324637034797,,,,,,50.489,,,,,0.034
-219.36000000000058,,239.610001734884,,,,,,138.394,,,,,0.034
-215.31000000000495,,,92.0687214672729,,,,,,99.044,,,,0.034
-211.37000000000262,47.87872395914226,,,,,,58.968,,,,,,0.034
-205.38000000000466,98.52903206061497,,,,,,58.874,,,,,,0.034
-205.37000000000262,,44.66985542538756,,,,,,52.546,,,,,0.034
-196.38999999999942,,,177.31757694168965,,,,,,174.197,,,,0.034
-185.40000000000146,,175.36247661125813,,,,,,108.808,,,,,0.034
-177.40000000000146,118.26172530354471,,,,,,117.29,,,,,,0.034
-14.069999999999709,,73.61320836942613,,,,,,71.802,,,,,0.034
-10.10000000000582,,306.50913242399326,,,,,,98.088,,,,,0.034
0.0,417.966987737292,,255.83145661765332,,,,50.186,,61.741,,,,0.034
3.8149999999950523,,,,,,964.8448143559107,,,,,,65.132,0.034
3.8589999999967404,,,,,1007.9345020679345,,,,,,68.537,,0.034
4.869999999995343,1350.1871854693604,,909.7003012621124,,,,56.294,,60.872,,,,0.034
6.856999999996333,,,,,,1658.8507748371887,,,,,,81.776,0.034
7.849999999998545,,1871.3150925782904,,,,,,59.842,,,,,0.034
7.860000000000582,2055.2876016690043,,,,,,60.087,,,,,,0.034
8.687999999994645,,,,,,2170.805924082017,,,,,,114.224,0.034
8.731999999996333,,,,,2212.169682131546,,,,,,76.639,,0.034
10.655999999995402,,,,,,2648.931066821399,,,,,,114.799,0.034
10.761999999995169,,,,,2670.595318870221,,,,,,90.115,,0.034
12.799999999995634,,,1552.4930977918316,,,,,,119.217,,,,0.034
12.809999999997672,,2582.5923022000165,,,,,,113.836,,,,,0.034
14.67899999999645,,,,,,3200.6566908454893,,,,,,160.18,0.034
17.790000000000873,,,1931.180827131889,,,,,,169.743,,,,0.034
20.62199999999575,,,,,2764.9307074121466,,,,,,94.471,,0.034
20.73899999999412,,,,,,2951.353578827943,,,,,,134.658,0.034
20.82999999999447,,2836.3153038878454,,1155.5560355183798,,,,87.716,,134.473,,,0.034
22.718999999997322,,,,,,3005.805063402447,,,,,,84.875,0.034
22.805999999996857,,,,,2615.6465989994877,,,,,,96.976,,0.034
23.93000000000029,,,1857.261629227991,,,,,,175.484,,,,0.034
25.711999999999534,,,,,,3018.618234525094,,,,,,81.863,0.034
25.74099999999453,,,,,2520.1607128332025,,,,,,66.727,,0.034
27.69999999999709,,,,,2066.061900493481,,,,,,61.713,,0.034
27.78299999999581,,,,,,2564.244856313292,,,,,,100.621,0.034
29.661999999996624,,,,,1968.2847690583467,,,,,,69.971,,0.034
29.70799999999872,,,,,,2441.751479504393,,,,,,81.288,0.034
29.7699999999968,1882.5587585740438,,,,,,57.39,,,,,,0.034
29.779999999998836,,,1212.1322300973277,,,,,,71.585,,,,0.034
31.723999999994703,,,,,,2297.9469956757616,,,,,,79.416,0.034
31.79599999999482,,,,,1636.4160376613142,,,,,,69.439,,0.034
