relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-298.88300000000163,,145.97574631611818,,,,,,170.833,,,,,0.036
-293.91300000000047,,,89.64226807345833,,,,,,58.463,,,,0.036
-286.9230000000025,,65.86257745659026,,,,,,79.23,,,,,0.036
-122.54299999999785,,38.51437626089993,,,,,,45.674,,,,,0.036
-94.62299999999959,92.99569370399149,,,,,,58.704,,,,,,0.036
-90.62299999999959,71.19203916011136,,,,,,67.098,,,,,,0.036
-80.54299999999785,82.60193793528518,,94.17847521487394,,,,55.332,,69.47,,,,0.036
-60.7129999999961,,45.136127113728016,,,,,,42.167,,,,,0.036
-55.74300000000221,,,48.512925153932905,,,,,,46.077,,,,0.036
-49.733000000000175,,100.70243725443613,,,,,,93.098,,,,,0.036
-6.843000000000757,,,74.92302128571464,,,,,,62.971,,,,0.036
-5.792999999997846,,55.05133346307122,,,,,,68.025,,,,,0.036
-1.9429999999993015,84.52144448024374,,,,,,63.968,,,,,,0.036
0.0,,,,,,753.3289673403176,,,,,,70.8,0.036
0.04299999999784632,,,,,929.1935376541361,,,,,,50.228,,0.036
2.980999999999767,,,,,1638.924163716004,,,,,,81.753,,0.036
4.107000000003609,1696.9306259337152,,1300.577440287572,,,,66.283,,66.633,,,,0.036
6.033000000003085,,,,,,1654.7086928725844,,,,,,106.668,0.036
6.065000000002328,,,,,1884.2974785739268,,,,,,121.636,,0.036
6.107000000003609,1806.3503935591118,,1429.3673889589188,,,,108.466,,86.077,,,,0.036
8.035000000003492,,,,,2112.112018994482,,,,,,106.94,,0.036
8.063999999998487,,,,,,1998.4234380362104,,,,,,105.796,0.036
12.040999999997439,,,,,,2074.9101665001417,,,,,,258.96,0.036
12.118999999998778,,,,,2342.4332453516386,,,,,,322.695,,0.036
16.226999999998952,,2010.870696627788,1886.7405899470411,,,,,94.591,72.133,,,,0.036
18.04099999999744,,,,,2151.112046695035,,,,,,102.652,,0.036
21.014000000002852,,,,,1908.0114023692981,,,,,,76.716,,0.036
21.020000000004075,,,,,,2080.5984675894238,,,,,,81.45,0.036
23.02100000000064,,,,,1696.5365793956664,,,,,,71.877,,0.036
23.061000000001513,,,,,,2142.0242032288907,,,,,,77.143,0.036
25.06300000000192,,,,,,2089.9779445744143,,,,,,86.061,0.036
27.03399999999965,,,,,,1963.1785887820245,,,,,,76.372,0.036
27.07600000000093,,,,,1460.2985728598876,,,,,,69.357,,0.036
29.09700000000157,1650.553453112454,1702.4410390567894,,,,,54.925,65.863,,,,,0.036
29.139999999999418,,,,,1543.6211181567746,,,,,,108.308,,0.036
31.054000000003725,,,,,1213.1717751344593,,,,,,76.956,,0.036
31.10700000000361,,,1744.968144217446,,,,,,64.67,,,,0.036
31.11699999999837,1394.1730163563518,,,,,,79.451,,,,,,0.036
32.11699999999837,1283.5115467885348,1700.488918162491,,,,,61.874,70.358,,,,,0.036
32.984000000004016,,,,,1160.400757216848,,,,,,94.438,,0.036
33.054000000003725,,,,,,1568.973668919956,,,,,,116.978,0.036
34.11699999999837,,1377.0084411588232,,,,,,98.101,,,,,0.036
34.12700000000041,1208.6507915351508,,,,,,113.261,,,,,,0.036
41.01900000000023,,,,,,1535.1050945018844,,,,,,223.867,0.036
41.04000000000087,,,,,1074.9252701993366,,,,,,287.199,,0.036
41.067000000002736,,1443.9706516902827,1534.578644031118,,,,,94.779,82.648,,,,0.036
43.0769999999975,,1291.508158978053,,1312.45298741543,,,,94.305,,103.313,,,0.036
44.0,,,,,,1774.6051878600088,,,,,,131.552,0.036
44.042999999997846,,,,,1484.028823311381,,,,,,241.775,,0.036
44.067000000002736,,1307.4092887389138,1156.9649556048394,,,,,128.864,97.599,,,,0.036
45.99700000000303,,,,,,1353.1303490184293,,,,,,76.174,0.036
46.020000000004075,,,,,833.31470535567,,,,,,84.164,,0.036
46.12700000000041,,1123.3884155235478,,,,,,82.598,,,,,0.036
48.01299999999901,,,,,815.4653164393301,,,,,,96.337,,0.036
49.067000000002736,933.9899308147515,,,,,,45.351,,,,,,0.036
49.0769999999975,,,1318.833011938377,,,,,,63.476,,,,0.036
50.00200000000041,,,,,,1273.5936507656725,,,,,,93.334,0.036
50.05200000000332,,,,,928.4185657102106,,,,,,94.366,,0.036
51.0769999999975,837.240936416505,,,1130.8750829276478,,,44.874,,,74.899,,,0.036
51.991000000001804,,,,,,1248.1534874844629,,,,,,73.686,0.036
52.03399999999965,,,,,724.3473370660466,,,,,,85.244,,0.036
53.067000000002736,,,1188.148717608679,,,,,,76.13,,,,0.036
53.0769999999975,796.9786663489251,,,,,,48.153,,,,,,0.036
54.03500000000349,,,,,,1248.3830551029769,,,,,,94.381,0.036
55.0769999999975,,,1324.9196222717885,,,,,,75.081,,,,0.036
56.02100000000064,,,,,,1072.1520235822377,,,,,,107.335,0.036
58.03600000000006,,,,,,873.3758686984925,,,,,,112.625,0.036
59.086999999999534,848.7669980436946,963.7042731225961,,,,,92.074,90.361,,,,,0.036
60.020000000004075,,,,,,1280.78488468749,,,,,,88.131,0.036
62.02100000000064,,,,,,1175.57280116017,,,,,,92.715,0.036
69.00200000000041,,,,,,1043.8711023812916,,,,,,217.109,0.036
69.0769999999975,,860.4552598660612,,,,,,169.427,,,,,0.036
71.08699999999953,,721.0294071919379,893.5209989363773,,,,,84.179,71.968,,,,0.036
73.0769999999975,,722.3925167065287,,1063.387066203746,,,,164.818,,167.591,,,0.036
75.12700000000041,,680.082773218901,,,,,,67.912,,,,,0.036
77.0769999999975,,642.1606745745644,,620.3666544776529,,,,47.417,,84.036,,,0.036
79.08699999999953,277.3168171912438,,743.3991634894488,,,,48.384,,58.296,,,,0.036
82.09700000000157,206.89167841337206,526.5119374668524,,,,,104.241,164.386,,,,,0.036
83.0769999999975,,,803.9532694779186,,,,,,89.877,,,,0.036
83.08699999999953,374.39399984130176,,,,,,69.167,,,,,,0.036
84.08699999999953,476.2733322377954,635.3919430632142,,,,,59.331,66.874,,,,,0.036
85.08699999999953,321.0910398916091,,538.82154559839,,,,71.346,,68.954,,,,0.036
86.08699999999953,311.3265935542112,566.3230097596033,,,,,55.474,70.045,,,,,0.036
87.0769999999975,391.4778336503689,,735.6993245599707,,,,64.796,,68.461,,,,0.036
88.08699999999953,147.4557709951221,394.5429035350869,,,,,97.647,118.458,,,,,0.036
96.08699999999953,,,249.399816765145,,,,,,216.945,,,,0.036
98.0769999999975,,420.44633929478533,401.3041899479256,,,,,268.236,217.382,,,,0.036
102.0769999999975,,757.2432639605614,,438.78559752272184,,,,248.12,,246.631,,,0.036
