relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-290.2099999999991,,,,165.4901837512904,,,,,,93.16,,,0.066
-277.1299999999974,,135.54438821220947,,,,,,74.607,,,,,0.066
-266.1600000000035,,67.33159887972084,,,,,,51.839,,,,,0.066
-19.970000000001164,,197.81089501992034,,,,,,117.394,,,,,0.066
-7.0,93.5895323414519,,,,,,45.262,,,,,,0.066
-6.029999999998836,22.387883760543925,,,,,,63.812,,,,,,0.066
0.0,575.5748135577728,626.2342400170993,,,,,65.876,58.11,,,,,0.066
4.080000000001746,1303.7794422909344,,1138.296908721361,,,,50.522,,55.525,,,,0.066
8.970000000001164,,2318.6049146865203,,1659.1707007891446,,,,97.781,,134.536,,,0.066
9.959999999999127,,2340.672074009015,1929.644647624613,,,,,108.778,109.153,,,,0.066
19.110000000000582,,2903.4863125541037,1889.1020710043515,,,,,125.419,97.058,,,,0.066
25.05000000000291,1820.8587722799089,,,,,,73.842,,,,,,0.066
25.05999999999767,,2472.6543024068533,,,,,,65.423,,,,,0.066
28.05000000000291,,,1390.95081363753,,,,,,68.619,,,,0.066
28.05999999999767,1443.5534908253426,,,,,,53.662,,,,,,0.066
36.0199999999968,,,1227.7190304188898,,,,,,73.858,,,,0.066
36.44999999999709,700.2864714253534,,,,,,64.495,,,,,,0.066
36.87999999999738,,,,705.2593618273064,,,,,,106.163,,,0.066
37.87999999999738,641.8695287117123,,1155.0179725095581,,,,66.567,,68.278,,,,0.066
38.87999999999738,,1378.150313563507,,,,,,74.698,,,,,0.066
38.88999999999942,,,1150.2873319961343,,,,,,69.848,,,,0.066
39.87999999999738,,1245.1069168220176,,770.4005946126674,,,,98.03,,145.449,,,0.066
46.0,,1144.375394932151,1170.4239720943083,,,,,128.157,86.067,,,,0.066
47.849999999998545,,930.9192789689918,,868.3949904108397,,,,55.12,,94.316,,,0.066
49.83999999999651,,,,1115.4228720505882,,,,,,89.453,,,0.066
49.849999999998545,287.877167756209,,,,,,52.307,,,,,,0.066
54.0,,,723.9675295030887,,,,,,92.696,,,,0.066
54.01000000000204,154.97232734746046,,,,,,67.204,,,,,,0.066
56.970000000001164,151.63371766315615,564.5123416324517,,,,,76.751,79.373,,,,,0.066
60.94999999999709,204.22492361251273,,619.5556956094437,,,,51.789,,62.46,,,,0.066
63.94499999999971,,516.834562174741,,,,,,48.554,,,,,0.066
63.94999999999709,157.57913573053747,,,,,,51.449,,,,,,0.066
66.91000000000349,305.951537884306,,577.7519140705182,,,,67.946,,56.281,,,,0.066
73.91000000000349,,265.20209696740136,518.0522630940706,,,,,87.42,79.363,,,,0.066
75.79000000000087,,422.1907340096318,,,,,,43.773,,,,,0.066
75.80000000000291,,,,236.4466202300421,,,,,,79.212,,,0.066
77.91000000000349,,,355.24686587996104,,,,,,65.771,,,,0.066
77.91999999999825,,420.73221188091276,,,,,,54.846,,,,,0.066
83.86000000000058,106.36177140631284,,,,,,42.78,,,,,,0.066
83.87000000000262,,,323.0042294584175,,,,,,71.376,,,,0.066
90.90000000000146,153.50623138452474,,,,,,41.483,,,,,,0.066
90.91000000000349,,,216.57042824855108,,,,,,53.956,,,,0.066
