relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-292.1100000000006,62.23622160810432,,,,,,51.162,,,,,,0.036
-289.13000000000466,,108.55664814761302,,,,,,44.371,,,,,0.036
-278.0699999999997,,64.31873616929822,,,,,,63.031,,,,,0.036
-270.1399999999994,,,107.04171048912293,,,,,,109.889,,,,0.036
-251.22000000000116,,116.23883723303803,,,,,,108.592,,,,,0.036
-236.22000000000116,60.67648156599053,,,,,,68.665,,,,,,0.036
-220.20000000000437,,,168.15059674066273,,,,,,94.723,,,,0.036
-219.29000000000087,,63.90719032543616,,,,,,71.672,,,,,0.036
-211.36000000000058,,73.51428166469216,,,,,,86.869,,,,,0.036
-205.31000000000495,56.04011763748014,,,,,,67.295,,,,,,0.036
-193.27000000000407,,,61.48903318803871,,,,,,37.271,,,,0.036
-192.38999999999942,,171.74744385595596,,700.6967715438378,,,,117.556,,282.106,,,0.036
-190.38999999999942,,,89.456986373316,,,,,,86.402,,,,0.036
-182.38999999999942,,,87.10689032610841,,,,,,74.73,,,,0.036
-180.38999999999942,,93.26957091568946,,,,,,74.768,,,,,0.036
-176.36000000000058,,,327.6323525568502,,,,,,94.978,,,,0.036
-166.37000000000262,,,107.8669594409063,,,,,,75.664,,,,0.036
-156.42000000000553,,,,455.6407885455697,,,,,,181.746,,,0.036
-156.37000000000262,125.93406512118298,,,,,,88.346,,,,,,0.036
-138.38000000000466,,,,313.8659342799467,,,,,,320.709,,,0.036
-135.42000000000553,,237.2670664426612,,,,,,160.772,,,,,0.036
0.0,819.9292880821254,1268.3799358003769,,,,,87.18,59.296,,,,,0.036
3.9799999999959255,942.0175733453127,,,654.9838962398522,,,67.237,,,166.583,,,0.036
5.860999999997148,,,,,,1262.3991194569646,,,,,,117.573,0.036
7.94999999999709,,1162.9577862889514,886.4036260412547,,,,,76.823,103.813,,,,0.036
8.969999999993888,,1246.7345841553465,,506.4144244459416,,,,116.186,,153.692,,,0.036
9.824000000000524,,,,,,1332.3867094795235,,,,,,254.296,0.036
9.989999999997963,,1233.3974503264837,719.0442034569468,,,,,136.11,131.84,,,,0.036
12.989999999997963,,,619.4478357689455,,,,,,127.366,,,,0.036
13.0,,807.3952421395605,,,,,,124.56,,,,,0.036
14.979999999995925,,716.0124673810482,,709.7485555507463,,,,111.198,,208.404,,,0.036
17.844999999993888,,,,,,1280.7769685627138,,,,,,257.679,0.036
19.856999999996333,,,,,,423.5579105327241,,,,,,97.526,0.036
22.82600000000093,,,,,,504.4720144965635,,,,,,86.149,0.036
22.979999999995925,302.03807657167374,555.8884717501486,,,,,47.84,51.723,,,,,0.036
25.85399999999936,,,,,,834.8254719127017,,,,,,96.128,0.036
25.989999999997963,,,600.8142468563559,,,,,,77.591,,,,0.036
28.801999999996042,,,,,,525.2461876596064,,,,,,94.948,0.036
28.979999999995925,129.01745577565814,703.4755615819171,,,,,102.727,81.588,,,,,0.036
31.969999999993888,,,914.280003213818,,,,,,97.536,,,,0.036
32.80599999999686,,,,,,428.5224516424551,,,,,,105.473,0.036
37.84300000000076,,,,,,398.6356879868807,,,,,,95.753,0.036
37.95999999999913,,384.8857298973715,,,,,,58.532,,,,,0.036
37.96999999999389,,,,448.94284667651533,,,,,,109.536,,,0.036
38.95999999999913,,600.4551849053055,,,,,,84.468,,,,,0.036
38.96999999999389,,,312.497819199822,,,,,,97.189,,,,0.036
39.93999999999505,,315.0067698534608,,594.7570621822771,,,,96.8,,144.469,,,0.036
41.95999999999913,,349.3719365615611,152.36225324635066,,,,,130.393,120.552,,,,0.036
43.78199999999924,,,,,,735.0393264820763,,,,,,184.288,0.036
61.94999999999709,,159.47728073340213,,,,,,80.961,,,,,0.036
66.91999999999825,,132.32069876659995,205.12281461791432,,,,,59.916,71.495,,,,0.036
68.95999999999913,,,,113.06323429571815,,,,,,88.46,,,0.036
83.82999999999447,,145.38564619079216,,,,,,68.819,,,,,0.036
91.91999999999825,107.20590666901967,,,,,,42.563,,,,,,0.036
93.81999999999971,,,174.5289725099302,,,,,,105.623,,,,0.036
103.86000000000058,,265.4525130191185,,,,,,86.338,,,,,0.036
103.86999999999534,,,62.25252157310796,,,,,,67.004,,,,0.036
109.79000000000087,,114.13429195212441,,,,,,93.938,,,,,0.036
112.81999999999971,,,81.9690500779088,,,,,,60.684,,,,0.036
131.68999999999505,,,69.46892434244451,,,,,,88.384,,,,0.036
131.6999999999971,,279.80544651021233,,,,,,128.507,,,,,0.036
133.79999999999563,,,,178.92247632601547,,,,,,136.374,,,0.036
146.70999999999913,64.36775355285856,,194.91847822444345,,,,64.133,,77.402,,,,0.036
148.66999999999825,86.56049726125731,,,,,,84.721,,,,,,0.036
161.77999999999884,,,,316.10418595567404,,,,,,221.033,,,0.036
168.65999999999622,,95.7116273383947,,,,,,65.771,,,,,0.036
174.59999999999854,115.47376946637057,,,,,,95.443,,,,,,0.036
185.6999999999971,,,,314.1885367515187,,,,,,364.04,,,0.036
185.70999999999913,,150.1565294918597,,,,,,149.888,,,,,0.036
187.65999999999622,,109.28828520336778,,,,,,111.896,,,,,0.036
188.66999999999825,,,102.75148077720661,,,,,,91.345,,,,0.036
189.64999999999418,,,,356.0837743381723,,,,,,233.34,,,0.036
195.5899999999965,82.36735664189425,,,,,,52.158,,,,,,0.036
