relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-292.0500000000029,,,,,216.18056892850848,,,,,,66.83,,0.012
-291.0060000000012,181.82171018067413,,,,,,67.249,,,,,,0.012
-258.9959999999992,,,93.77121685942889,,,,,,85.553,,,,0.012
-256.0060000000012,,174.392253055539,,,,,,82.062,,,,,0.012
-236.03600000000006,,115.76290239933985,,,,,,67.968,,,,,0.012
-213.0460000000021,,,,126.98815574083847,,,,,,109.657,,,0.012
-99.64600000000064,,,91.82079842277004,,,,,,75.789,,,,0.012
-90.65600000000268,133.6164786952628,,,,,,45.909,,,,,,0.012
-86.62599999999657,88.44547773348455,,,,,,55.469,,,,,,0.012
-78.69600000000355,,,,264.9664238337346,,,,,,142.072,,,0.012
-74.64600000000064,,158.44769504075717,,,,,,183.379,,,,,0.012
-71.62599999999657,,124.42392788010945,,,,,,85.376,,,,,0.012
-70.64600000000064,,241.65588175664834,,,,,,90.836,,,,,0.012
-59.71600000000035,97.06935419602333,,,,,,72.588,,,,,,0.012
-20.76600000000326,263.56481729951935,,186.23841050230627,,,,153.402,,126.256,,,,0.012
-1.9809999999997672,,,,,354.9241818906386,,,,,,98.548,,0.012
0.0,,,,,426.3291199267985,,,,,,48.921,,0.012
0.12299999999959255,,,,,,366.65798988521374,,,,,,51.525,0.012
4.086999999999534,,,,,532.3584992199762,,,,,,57.794,,0.012
4.120000000002619,,,,,,455.0255555547618,,,,,,58.353,0.012
4.173999999999069,,350.5292619271351,,,,,,41.132,,,,,0.012
6.016999999999825,,,,,360.4305584220948,,,,,,82.906,,0.012
6.063000000001921,,,,,,441.82324245890345,,,,,,82.64,0.012
8.025999999998021,,,,,,349.4143437323135,,,,,,91.608,0.012
8.086999999999534,,,,,399.4751192299564,,,,,,91.924,,0.012
9.10399999999936,,304.8683026725967,,,,,,99.196,,,,,0.012
9.114000000001397,,,439.99193375756374,,,,,,127.586,,,,0.012
11.173999999999069,,269.91969147973475,,519.3209334463056,,,,152.515,,191.456,,,0.012
16.144000000000233,,441.04258487523265,,360.02632070164333,,,,64.786,,110.864,,,0.012
18.0,,,,,359.53563079602213,,,,,,76.601,,0.012
19.16399999999703,,384.34213584350704,410.5937157612434,,,,,84.55,82.431,,,,0.012
21.105999999999767,,,,,,374.75107449132383,,,,,,68.981,0.012
21.125999999996566,,,,,413.1633972990929,,,,,,77.622,,0.012
23.02599999999802,,,,,,522.4342408147943,,,,,,59.864,0.012
23.07499999999709,,,,,288.6285605426428,,,,,,69.373,,0.012
