relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-280.97099999999773,,57.99059705809472,,,,,,48.043,,,,,0.01
-270.0809999999983,,64.50874139610399,,,,,,33.497,,,,,0.01
-253.02100000000064,,58.20663985660555,,,,,,51.516,,,,,0.01
-247.0610000000015,45.356170495653174,,,,,,46.173,,,,,,0.01
-231.07099999999627,,97.92267829943331,,,,,,87.757,,,,,0.01
-224.03100000000268,,113.76445165753563,,,,,,112.045,,,,,0.01
-220.0809999999983,46.61864904795319,,,,,,38.646,,,,,,0.01
-198.0809999999983,,98.25851734166817,,,,,,120.004,,,,,0.01
-192.09100000000035,,300.2114345714216,,,,,,119.712,,,,,0.01
-158.13100000000122,,,119.26010389740236,,,,,,98.121,,,,0.01
-56.72099999999773,147.78133461591494,,,,,,52.544,,,,,,0.01
-36.7609999999986,,109.95144984874732,,,,,,78.696,,,,,0.01
-32.72099999999773,,46.401078402435445,,,,,,40.464,,,,,0.01
-30.750999999996566,,,53.21660446443641,,,,,,59.924,,,,0.01
-23.800999999999476,,,,171.15469847306863,,,,,,146.308,,,0.01
-23.79099999999744,,156.381197437715,,,,,,77.612,,,,,0.01
-4.9870000000009895,,,,,392.661838900375,,,,,,118.07,,0.01
0.0,,,,,,506.7741937350362,,,,,,77.321,0.01
0.14899999999761349,,,,,609.8909854737158,,,,,,88.992,,0.01
2.0380000000004657,,,,,491.34791142637624,,,,,,56.131,,0.01
2.144000000000233,,,,,,478.8885906923483,,,,,,88.476,0.01
4.0129999999990105,,,,,,553.2802066910109,,,,,,121.806,0.01
4.116000000001804,,,,,668.7084580387768,,,,,,95.025,,0.01
6.088000000003376,,,,,,583.9544735134324,,,,,,79.408,0.01
7.999000000003434,,,,,,645.9714586616922,,,,,,165.615,0.01
8.099000000001979,,509.9009365668046,457.5309169512398,,,,,164.235,151.857,,,,0.01
15.959999999999127,,,,,536.150303103291,,,,,,98.319,,0.01
16.07100000000355,,,,,,512.5088040011899,,,,,,91.52,0.01
18.889000000002852,,,,,,560.8991051734521,,,,,,106.881,0.01
28.9320000000007,,,,,227.06908684771977,,,,,,53.809,,0.01
28.974999999998545,,,,,,440.5260968259857,,,,,,75.63,0.01
30.885999999998603,,,,,,461.23981539470896,,,,,,81.925,0.01
31.04899999999907,270.4258010213748,,,448.912289899037,,,67.168,,,95.236,,,0.01
34.078999999997905,137.1448752649647,,566.955880835089,,,,77.083,,60.073,,,,0.01
34.91599999999744,,,,,,647.4004548323089,,,,,,172.405,0.01
44.02900000000227,,406.5444235199922,547.7180823916102,,,,,76.025,74.731,,,,0.01
44.950000000004366,,,,,267.60112259034725,,,,,,52.366,,0.01
44.97299999999814,,,,,,325.3051318771441,,,,,,95.245,0.01
46.91000000000349,,,,,,380.36235725453594,,,,,,84.599,0.01
46.95799999999872,,,,,221.86398265929574,,,,,,52.027,,0.01
47.9890000000014,164.0694792796186,,553.2568994732212,,,,62.566,,77.669,,,,0.01
48.908000000003085,,,,,194.99073821835293,,,,,,54.664,,0.01
48.929000000003725,,,,,,325.70972094500155,,,,,,100.709,0.01
50.11899999999878,218.59904020607092,,,,,,80.821,,,,,,0.01
50.129000000000815,,310.0234636620817,,,,,,65.115,,,,,0.01
50.89100000000326,,,,,234.15802103352777,,,,,,59.128,,0.01
52.9890000000014,,,596.5172690806886,,,,,,81.099,,,,0.01
