relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-280.09799999999814,,,,,669.1962524791663,,,,,,166.542,,0.023
-276.1620000000039,,,,,,328.0259335357399,,,,,,82.383,0.023
-275.2170000000042,,,,,,257.12277919243724,,,,,,71.912,0.023
-267.0440000000017,,,272.38920817070334,,,,,,174.022,,,,0.023
-258.0540000000037,,113.73345291415617,,,,,,111.188,,,,,0.023
-255.20799999999872,,,,,,538.5502661701413,,,,,,146.812,0.023
-254.25300000000425,,,,,,473.9169216151335,,,,,,134.799,0.023
-221.1640000000043,,141.9894375677827,,,,,,119.283,,,,,0.023
-219.12400000000343,,111.63552893587519,,,,,,118.236,,,,,0.023
-189.2039999999979,,,,1209.565688112319,,,,,,343.045,,,0.023
-86.94600000000355,,,,,397.76221442509836,,,,,,114.214,,0.023
-50.04699999999866,,,,,884.4946388671333,,,,,,273.48,,0.023
-20.111000000004424,,,,,736.0001798234289,,,,,,209.04,,0.023
-2.1129999999975553,,,,,424.3716766276935,,,,,,131.569,,0.023
0.0,,,,,,436.5912165176332,,,,,,74.544,0.023
1.065999999998894,263.6942288746692,284.8858286822907,,,,,75.253,88.88,,,,,0.023
3.0420000000012806,,,,,,828.049754638573,,,,,,87.882,0.023
4.036000000000058,1049.0817110567416,,1323.9887426732057,,,,111.522,,118.31,,,,0.023
4.8729999999995925,,,,,,2160.392988632981,,,,,,94.892,0.023
4.915999999997439,,,,,1561.148972453188,,,,,,80.352,,0.023
6.843000000000757,,,,,,2787.2517299700385,,,,,,113.658,0.023
6.94999999999709,,,,,2230.564797596223,,,,,,77.32,,0.023
8.995999999999185,,2604.431666418285,2154.863631951615,,,,,160.148,146.716,,,,0.023
10.866000000001804,,,,,,4152.282134836238,,,,,,179.342,0.023
10.913999999997031,,,,,3713.496286735201,,,,,,189.165,,0.023
11.015999999995984,,2850.0323640568527,,,,,,170.13,,,,,0.023
11.025999999998021,,,,2073.5063804577403,,,,,,238.834,,,0.023
13.976000000002387,,,2017.6556604414461,,,,,,224.542,,,,0.023
13.985999999997148,,3033.8863127785453,,,,,,267.686,,,,,0.023
16.809000000001106,,,,,3413.8946650753155,,,,,,90.473,,0.023
16.927999999999884,,,,,,4718.570576056665,,,,,,130.48,0.023
17.015999999995984,,,,1784.6284983753947,,,,,,208.71,,,0.023
17.02599999999802,,3338.482279773141,,,,,,135.654,,,,,0.023
18.90799999999581,,,,,,4283.227696408543,,,,,,94.155,0.023
18.976999999998952,,,,,2815.631995041636,,,,,,105.663,,0.023
20.07600000000093,2798.504029772712,,1609.9550965263848,,,,151.211,,289.752,,,,0.023
21.887000000002445,,,,,,4245.585039228923,,,,,,90.228,0.023
21.961999999999534,,,,,2242.0976406383684,,,,,,72.832,,0.023
23.88799999999901,,,,,2043.7359072268932,,,,,,66.826,,0.023
23.970000000001164,,,,,,3148.9405708215036,,,,,,105.149,0.023
25.84900000000198,,,,,1831.1293972469323,,,,,,73.075,,0.023
25.91700000000128,,,,,,3492.1747955604246,,,,,,99.912,0.023
25.955999999998312,1620.815877113343,2719.228334957066,,,,,105.163,105.58,,,,,0.023
27.915000000000873,,,,,,3057.51666221941,,,,,,88.584,0.023
27.957000000002154,,,,,1203.8778573935413,,,,,,68.597,,0.023
30.105999999999767,1381.8980552761705,,1349.9854946684636,,,,97.426,,138.651,,,,0.023
31.888999999995576,,,,,,2323.796390560322,,,,,,85.516,0.023
31.932999999997264,,,,,859.0125978424797,,,,,,67.606,,0.023
34.86899999999878,,,,,,2351.9651012033855,,,,,,109.892,0.023
34.888999999995576,,,,,347.22249877422973,,,,,,66.973,,0.023
36.02599999999802,606.355696131095,,,1078.5430041862076,,,103.504,,,186.514,,,0.023
36.925999999999476,379.6425008776826,,1872.631175327834,,,,92.642,,133.354,,,,0.023
36.96099999999569,,,,,338.0669520735867,,,,,,88.259,,0.023
36.96899999999732,,,,,,2070.3288369156157,,,,,,97.899,0.023
37.93600000000151,388.26953695781515,,,1013.3340905455638,,,94.17,,,145.415,,,0.023
38.925999999999476,,1274.7923664502696,1380.1429344880607,,,,,112.677,142.737,,,,0.023
40.89899999999761,,,,,,1673.553508748184,,,,,,177.712,0.023
40.945999999996275,,1139.489467661779,,,,,,151.16,,,,,0.023
42.95599999999831,,853.4242826212899,,,,,,191.078,,,,,0.023
43.949000000000524,,,,,,1227.8572216667003,,,,,,167.194,0.023
45.84599999999773,,,,,364.22882384598785,,,,,,109.9,,0.023
45.925999999999476,,,,,,1247.0571619587024,,,,,,105.697,0.023
46.046000000002095,,813.0157539364534,,949.0747811937224,,,,103.246,,195.126,,,0.023
47.91700000000128,,,,,,1471.3142819054576,,,,,,93.809,0.023
48.8859999999986,346.13863037797137,,,,,,83.59,,,,,,0.023
48.89600000000064,,,,939.3609486264169,,,,,,134.508,,,0.023
49.94000000000233,,,,,,1061.8576252100445,,,,,,84.586,0.023
51.887000000002445,,,,,,825.3356496077187,,,,,,77.953,0.023
