relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-120.61000000000058,,117.01546198899285,,,,,,74.975,,,,,0.029
-118.62999999999738,,,,225.66199493233623,,,,,,232.041,,,0.029
-111.69999999999709,75.46062343192212,,,,,,76.74,,,,,,0.029
-29.889999999999418,,143.21380060377584,,,,,,167.387,,,,,0.029
-28.94999999999709,,,77.43523375604808,,,,,,98.739,,,,0.029
-27.94000000000233,,,,88.64311387077257,,,,,,95.119,,,0.029
-19.889999999999418,72.33832762350276,,,,,,46.128,,,,,,0.029
-11.0,93.22818324221818,,,,,,61.811,,,,,,0.029
0.0,,,492.70999742437436,,,,,,78.324,,,,0.029
0.010000000002037268,,662.0252915843779,,,,,,62.751,,,,,0.029
1.9400000000023283,,,,,,811.5597256239706,,,,,,125.086,0.029
1.9830000000001746,,,,,636.3690808913861,,,,,,146.687,,0.029
2.0199999999967986,,,,545.9648995772876,,,,,,112.375,,,0.029
2.029999999998836,,714.0353762599896,,,,,,67.04,,,,,0.029
4.957999999998719,,,,,911.7606394870187,,,,,,94.443,,0.029
4.985999999997148,,,,,,718.8695722012113,,,,,,98.622,0.029
7.004999999997381,,,,,,988.6677341212062,,,,,,96.77,0.029
9.00499999999738,,,,,,855.6904277574696,,,,,,96.744,0.029
9.019999999996799,,,738.7778249623909,,,,,,75.311,,,,0.029
9.029999999998836,753.6730711047783,,,,,,59.549,,,,,,0.029
10.978000000002794,,,,,,1030.4278243281485,,,,,,92.099,0.029
11.02100000000064,,,,,919.8644219089733,,,,,,95.135,,0.029
12.029999999998836,555.8347575502006,775.131992293778,,,,,69.327,76.783,,,,,0.029
12.923999999999069,,,,,656.6151537674812,,,,,,82.195,,0.029
12.940999999998894,,,,,,881.4027891611624,,,,,,110.407,0.029
14.923999999999069,,,,,,742.7821676802242,,,,,,98.441,0.029
16.942000000002736,,,,,492.1615821206766,,,,,,111.159,,0.029
16.97899999999936,,,,,,745.5568988266784,,,,,,153.384,0.029
