relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-117.66700000000128,,83.51094327817229,,,,,,45.972,,,,,0.026
-88.60699999999633,,,81.02089244559613,,,,,,91.397,,,,0.026
-71.75699999999779,,,62.375842765308484,,,,,,71.298,,,,0.026
-68.77699999999459,41.4983376725358,,,,,,43.887,,,,,,0.026
-57.79699999999866,,82.10840773207416,,,,,,67.823,,,,,0.026
-36.786999999996624,,127.60308805035217,,,,,,82.149,,,,,0.026
-18.79699999999866,,77.06395842904948,,,,,,63.128,,,,,0.026
-7.006999999997788,70.09757054258492,,,,,,45.19,,,,,,0.026
-4.996999999995751,,131.75752806445786,,,,,,68.692,,,,,0.026
-3.9569999999948777,,,238.86968631260427,,,,,,65.763,,,,0.026
-1.9569999999948777,,,439.6519038709651,,,,,,99.844,,,,0.026
-0.02899999999499414,,,,,545.3048436339627,,,,,,106.597,,0.026
0.0,,,,,,657.5427793612148,,,,,,104.246,0.026
3.9769999999989523,,,,,,910.4827721114316,,,,,,244.781,0.026
8.163000000000466,,901.6474629538918,888.0895209036597,,,,,78.966,79.787,,,,0.026
9.976999999998952,,,,,1034.9256118893454,,,,,,102.938,,0.026
10.01299999999901,,899.4974046717005,,823.4533956473866,,,,79.368,,108.866,,,0.026
12.00300000000425,1018.0825160809939,,959.1924775051787,,,,65.536,,58.134,,,,0.026
12.950000000004366,,,,,1206.6555640105325,,,,,,87.973,,0.026
12.956000000005588,,,,,,1297.039727775054,,,,,,87.837,0.026
14.957000000002154,,,,,1298.85035382507,,,,,,75.017,,0.026
14.997000000003027,,,,,,1121.7158244175016,,,,,,79.278,0.026
16.993000000002212,1235.084376502939,,,,,,65.642,,,,,,0.026
16.999000000003434,,,,,,1146.8741958085257,,,,,,90.704,0.026
17.00300000000425,,1253.1575354450556,,,,,,53.771,,,,,0.026
18.970000000001164,,,,,,1183.292632379468,,,,,,78.726,0.026
18.993000000002212,1073.6721386295085,,,,,,53.776,,,,,,0.026
19.00300000000425,,,1147.0880755320127,,,,,,60.622,,,,0.026
19.012000000002445,,,,,1077.524811943179,,,,,,75.138,,0.026
21.07600000000093,,,,,1392.964074413183,,,,,,109.34,,0.026
22.99000000000524,,,,,1290.2220756210043,,,,,,72.055,,0.026
23.043000000005122,,,1017.2884766745517,,,,,,73.016,,,,0.026
23.052999999999884,1281.4735974778891,,,,,,57.657,,,,,,0.026
24.052999999999884,1171.1942138269999,1110.092529748143,,,,,60.186,57.929,,,,,0.026
24.92000000000553,,,,,1125.1153582473935,,,,,,95.884,,0.026
24.99000000000524,,,,,,981.9546232781908,,,,,,123.404,0.026
32.955000000001746,,,,,,1202.1570393551615,,,,,,229.776,0.026
32.97600000000239,,,,,1137.226416071533,,,,,,280.313,,0.026
35.01299999999901,,755.7667528399454,,,,,,119.422,,,,,0.026
35.93600000000151,,,,,,982.1885021434244,,,,,,137.98,0.026
35.97899999999936,,,,,1125.7500406140553,,,,,,235.613,,0.026
37.93300000000454,,,,,,1106.7344623398233,,,,,,92.315,0.026
37.95600000000559,,,,,875.8106362552753,,,,,,77.716,,0.026
38.06300000000192,,1156.9514656431033,,847.7561084732264,,,,66.582,,109.891,,,0.026
39.949000000000524,,,,,882.4551333936945,,,,,,91.57,,0.026
40.00300000000425,,,893.7893517269017,,,,,,71.677,,,,0.026
40.01299999999901,,903.9942377455815,,,,,,64.391,,,,,0.026
41.00300000000425,789.6136939823582,,,,,,54.152,,,,,,0.026
41.01299999999901,,,865.3153116073424,,,,,,51.56,,,,0.026
41.93800000000192,,,,,,1124.072099340136,,,,,,103.784,0.026
41.98800000000483,,,,,782.1753194611285,,,,,,88.569,,0.026
43.01299999999901,653.3790340013512,,,956.0372973615732,,,54.247,,,79.188,,,0.026
43.92700000000332,,,,,,863.3594594425274,,,,,,82.96,0.026
43.970000000001164,,,,,662.0672629479772,,,,,,83.534,,0.026
45.01299999999901,625.4571513834875,,874.4651777205108,,,,62.098,,66.184,,,,0.026
45.971000000005006,,,,,,815.8656564216876,,,,,,92.519,0.026
47.01299999999901,581.7816943818663,,793.0843179895842,,,,75.74,,64.133,,,,0.026
47.957000000002154,,,,,,900.1341787707884,,,,,,94.875,0.026
48.01299999999901,518.4892578543935,,,,,,71.721,,,,,,0.026
49.97200000000157,,,,,,951.1175856079417,,,,,,131.668,0.026
51.02300000000105,,782.9348978003754,,,,,,127.206,,,,,0.026
51.95600000000559,,,,,,729.6233713127177,,,,,,97.358,0.026
53.02300000000105,518.8230246453254,,723.0780059084907,,,,78.401,,61.528,,,,0.026
53.957000000002154,,,,,,651.8925282712238,,,,,,89.55,0.026
61.01299999999901,,,,612.8112283646025,,,,,,368.639,,,0.026
63.02300000000105,,508.9002934094818,547.3543249251579,,,,,71.878,65.731,,,,0.026
67.06300000000192,,338.1769464771194,224.67504612217314,,,,,65.219,84.773,,,,0.026
69.01299999999901,,347.74693883108694,,637.6394220588619,,,,51.305,,87.632,,,0.026
71.02300000000105,237.0878586409365,,378.3863090409347,,,,47.777,,53.334,,,,0.026
74.03300000000309,239.47112804677394,346.8494862147815,,,,,90.17,74.857,,,,,0.026
75.01299999999901,,,317.0150261416648,,,,,,80.323,,,,0.026
75.02300000000105,110.03287615170422,,,,,,80.446,,,,,,0.026
76.02300000000105,153.02989215999315,286.4054145071224,,,,,63.261,63.458,,,,,0.026
77.02300000000105,165.02477255175248,,345.3457071970082,,,,67.203,,85.004,,,,0.026
78.02300000000105,146.03496918533162,326.38033590212865,,,,,67.524,75.957,,,,,0.026
79.01299999999901,147.19006405983131,,359.58115763199714,,,,57.217,,64.987,,,,0.026
80.02300000000105,,319.98013768229197,,,,,,90.11,,,,,0.026
