relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-21.825000000004366,,,277.9628140393253,,,,,,360.073,,,,0.025
-18.965000000003783,,,78.6630052621089,,,,,,91.87,,,,0.025
-12.955000000001746,,102.36315361082961,,,,,,72.696,,,,,0.025
-10.955000000001746,,,167.4397508727702,,,,,,119.539,,,,0.025
-7.955000000001746,507.61641951885315,295.5296614159737,,515.933138851506,,,223.271,163.603,,232.508,,,0.025
-6.955000000001746,266.92193831928796,,518.7224817748194,,,,226.95,,167.393,,,,0.025
-5.968000000000757,,,,,,671.0810646217167,,,,,,155.003,0.025
-2.915000000000873,,,265.57708595496405,373.0737891362167,,,,,301.178,234.114,,,0.025
-2.904999999998836,1074.9876527449019,,,,,,414.945,,,,,,0.025
0.0,,,,,934.3179746049511,,,,,,69.371,,0.025
0.11999999999534339,,,,,,809.5639704445415,,,,,,136.093,0.025
0.15499999999883585,902.1099442179583,890.3124765808539,609.1841543821978,533.2708455501535,,,111.862,77.266,111.218,159.8,,,0.025
1.2050000000017462,864.6961929026811,633.1326645460344,918.3447549583818,734.1899324310225,,,188.257,158.231,195.281,273.263,,,0.025
2.0349999999962165,,,,,1135.573755382497,,,,,,80.991,,0.025
2.154999999998836,,,,,,854.145650569279,,,,,,128.676,0.025
4.064999999995052,880.3265658806872,1155.88128501705,896.3310218345031,607.8475144509738,,,127.84,116.591,110.684,174.017,,,0.025
5.017999999996391,,,,,1183.4904347707961,,,,,,77.092,,0.025
5.0789999999979045,,,,,,1121.2403646147507,,,,,,88.417,0.025
6.974999999998545,,,,,977.0365565634825,,,,,,94.685,,0.025
7.0,,,,,,1310.4728889612768,,,,,,92.554,0.025
8.995999999999185,,,,,,1227.949075326685,,,,,,101.579,0.025
9.044999999998254,,963.4435633180952,776.7565684468979,627.1528040064136,,,,81.128,92.877,163.234,,,0.025
9.050999999999476,,,,,914.4515059338671,,,,,,87.838,,0.025
9.055000000000291,1024.1786130838886,,,,,,95.639,,,,,,0.025
10.064999999995052,1017.7038251121955,1110.0494437771565,1080.3411365937725,151.53079062754932,,,92.728,101.174,187.92,141.094,,,0.025
10.980999999999767,,,,,1017.4663210860948,,,,,,73.331,,0.025
11.000999999996566,,,,,,1116.6375555605352,,,,,,95.97,0.025
11.044999999998254,,1004.1813275828483,942.9856371192992,314.09494961564917,,,,123.252,128.347,201.021,,,0.025
11.055000000000291,844.7815453450171,,,,,,126.233,,,,,,0.025
13.055000000000291,792.1342138001668,996.051172243932,622.6541690273726,233.6331275724188,,,126.093,101.222,99.479,139.332,,,0.025
14.097999999998137,,,,,,1052.8059825763087,,,,,,92.462,0.025
16.051999999996042,,,,,,774.9416102421288,,,,,,187.013,0.025
16.165000000000873,465.29113495036734,672.3990658860645,570.3942727355188,,,,159.722,143.541,230.81,,,,0.025
17.114999999997963,,345.2271454083478,873.5944310034154,,,,,267.077,388.349,,,,0.025
21.104999999995925,517.5818965733379,789.9065432988735,616.7344658095203,400.91286125570326,,,103.284,84.459,86.249,125.818,,,0.025
22.104999999995925,,453.7791463896417,455.8286382873177,,,,,161.246,140.576,,,,0.025
23.104999999995925,614.3623656747405,704.1442248783757,351.23572425923936,127.30913149306501,,,172.737,111.036,123.885,161.021,,,0.025
25.084999999999127,430.93323134973565,715.9798385417747,328.6244844756445,206.82080042607163,,,214.871,133.161,128.985,166.865,,,0.025
26.114999999997963,719.5928896626395,569.893761855687,,,,,317.496,180.523,,,,,0.025
27.104999999995925,606.9037491076173,298.8945952279574,624.8269205172496,245.46036024183817,,,192.688,124.92,114.399,143.514,,,0.025
28.13499999999476,,,360.43649114521844,187.9026102859082,,,,,162.997,203.979,,,0.025
28.1449999999968,283.4839589285467,522.865311113928,,,,,199.517,195.384,,,,,0.025
28.99199999999837,,,,,,674.3060806201861,,,,,,89.599,0.025
32.06499999999505,215.90308769814433,480.26686150673504,274.5992275982657,,,,68.373,67.899,70.168,,,,0.025
32.99699999999575,,,,,,352.54511261349353,,,,,,95.693,0.025
34.07499999999709,,,358.5844294185108,292.1058397826383,,,,,87.98,165.003,,,0.025
34.08499999999913,162.90462174851626,381.84360833023936,,,,,79.375,80.439,,,,,0.025
37.13499999999476,388.15353755153734,391.26690815743075,,282.11474177284526,,,177.279,151.42,,328.43,,,0.025
39.06499999999505,77.64418759272,391.12051444177695,271.64825502187034,,,,67.274,76.376,91.339,,,,0.025
82.06499999999505,,,,214.3713090743095,,,,,,153.879,,,0.025
