relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-47.788000000000466,41.52778315969093,,60.214619049031484,,,,45.441,,70.186,,,,0.033
-43.77799999999843,55.23341428074076,,,,,,54.954,,,,,,0.033
-38.8179999999993,,,,385.6389993090259,,,,,,383.036,,,0.033
-28.8379999999961,86.49230217197585,,,,,,45.601,,,,,,0.033
-15.88799999999901,,,,75.24579171445018,,,,,,89.504,,,0.033
0.0,,,,,,649.8762748541462,,,,,,74.053,0.033
0.056000000004132744,,,,,827.3821391978273,,,,,,64.977,,0.033
1.963000000003376,,,,,,917.8504627517519,,,,,,63.419,0.033
1.9990000000034343,,,,,1242.2064105969744,,,,,,54.349,,0.033
3.9610000000029686,,,,,1297.7197890110817,,,,,,75.362,,0.033
4.014000000002852,,,,,,1019.0212041331765,,,,,,84.733,0.033
4.061999999998079,1316.241917834498,1001.2429224542523,,,,,64.022,56.574,,,,,0.033
6.042000000001281,,,,,1404.8643704778858,,,,,,77.615,,0.033
7.072000000000116,1597.9694000718337,,983.5442846357811,,,,60.29,,62.328,,,,0.033
10.044999999998254,,,,,1218.8290572931598,,,,,,61.495,,0.033
11.06199999999808,1157.683118303904,1077.2337715844615,,,,,75.688,93.856,,,,,0.033
12.97899999999936,,,,,,1200.2597042081163,,,,,,78.828,0.033
14.972999999998137,,,,,,1228.5421559969777,,,,,,125.365,0.033
15.018000000003667,,,,,1031.4643800509352,,,,,,147.022,,0.033
15.052000000003318,1081.2029052775456,,,891.2152048904107,,,81.345,,,102.098,,,0.033
17.052000000003318,,1020.1852304857707,938.061035225502,,,,,69.964,76.531,,,,0.033
23.04200000000128,,,,745.1973674746013,,,,,,142.95,,,0.033
23.052000000003318,,633.8527393498507,,,,,,100.842,,,,,0.033
24.04099999999744,,,,,,991.3678233818478,,,,,,120.155,0.033
26.031999999999243,,612.1796774039609,748.4811146375134,,,,,42.992,63.933,,,,0.033
26.955999999998312,,,,,406.8578141082355,,,,,,77.892,,0.033
27.03399999999965,,,,,,704.9725997819706,,,,,,86.639,0.033
28.012000000002445,439.13065421515677,,,,,,44.77,,,,,,0.033
28.021999999997206,,,,536.4256930012459,,,,,,89.303,,,0.033
28.976999999998952,,,,,,686.9646018249831,,,,,,66.47,0.033
29.02599999999802,,,,,352.71919267066335,,,,,,67.276,,0.033
30.929000000003725,,,,,306.08012992819846,,,,,,64.263,,0.033
30.938999999998487,,,,,,650.7448853970741,,,,,,67.626,0.033
32.12200000000303,,,610.6108755254246,,,,,,91.512,,,,0.033
32.13199999999779,392.40980463232916,,,,,,67.065,,,,,,0.033
34.87299999999959,,,,,,585.2140405192846,,,,,,86.31,0.033
35.13199999999779,358.15521749076595,,,,,,66.138,,,,,,0.033
35.141999999999825,,382.45149091715774,,,,,,83.28,,,,,0.033
36.95599999999831,,,,,,475.75791867555137,,,,,,76.962,0.033
38.17199999999866,186.97272220012377,,624.2967384529201,,,,63.038,,62.025,,,,0.033
38.93499999999767,,,,,,410.10058798416543,,,,,,80.597,0.033
41.072000000000116,242.27312938247456,375.7813596219592,,,,,92.427,69.196,,,,,0.033
42.961999999999534,318.2810424524824,,563.5683699054493,,,,48.325,,54.166,,,,0.033
43.961999999999534,247.90611585951703,,,580.1260812493542,,,68.9,,,95.463,,,0.033
52.91599999999744,,,,,392.3461302057704,,,,,,95.288,,0.033
56.082000000002154,,288.8274956676643,,329.59107206478683,,,,41.052,,88.061,,,0.033
56.89400000000023,,,,,,358.4641537627712,,,,,,71.413,0.033
59.87299999999959,,,,,,356.88811813848986,,,,,,76.291,0.033
67.01200000000244,,,416.7334668649243,,,,,,41.065,,,,0.033
67.0219999999972,126.52502707740318,,,,,,42.164,,,,,,0.033
70.01200000000244,,99.55035825764226,,,,,,72.981,,,,,0.033
81.03199999999924,,112.4668458937901,,,,,,126.233,,,,,0.033
83.97200000000157,,,237.5567088010018,,,,,,59.456,,,,0.033
86.97200000000157,,,,128.3719180537653,,,,,,108.553,,,0.033
89.9519999999975,,,153.6365226889344,,,,,,73.704,,,,0.033
91.9519999999975,120.07919339415915,52.81187261475511,,,,,53.563,56.431,,,,,0.033
93.99199999999837,65.45541451806956,,240.27057728554078,,,,52.758,,54.015,,,,0.033
94.94200000000274,114.22066414836294,63.49813644831064,,,,,46.684,47.204,,,,,0.033
104.9320000000007,,,171.8741002448703,,,,,,101.667,,,,0.033
108.9519999999975,,,238.87444978256562,,,,,,64.763,,,,0.033
113.94200000000274,,,199.1293055950608,,,,,,54.873,,,,0.033
116.9320000000007,,,,149.21067930725746,,,,,,118.115,,,0.033
147.90200000000186,,,,252.16334808430287,,,,,,218.514,,,0.033
