relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-297.0599999999977,,,,101.6612997524479,,,,,,110.38,,,0.033
-292.0699999999997,,,,82.14948819359886,,,,,,74.228,,,0.033
-253.1600000000035,47.3740303735253,,,,,,41.018,,,,,,0.033
-213.20999999999913,,237.37559471731115,,140.7173640693053,,,,109.408,,159.577,,,0.033
-38.87999999999738,,,,149.1133557097797,,,,,,97.683,,,0.033
-35.919999999998254,,,,229.06835375379924,,,,,,120.831,,,0.033
-34.81999999999971,,,126.86646634964119,,,,,,101.675,,,,0.033
-8.96600000000035,,,,,,262.97631924532135,,,,,,74.738,0.033
-7.0,,273.88186112048123,,250.14257532376988,,,,61.557,,112.18,,,0.033
-5.989999999997963,,308.2270914686915,214.52590138849334,,,,,119.319,130.941,,,,0.033
0.0,,615.3406926239221,,,,,,81.981,,,,,0.033
0.010000000002037268,,,,158.96606184153427,,,,,,132.08,,,0.033
3.0800000000017462,634.2072844133725,,453.42789238128455,,,,75.757,,61.312,,,,0.033
4.889000000002852,,,,,,809.2405645812834,,,,,,76.893,0.033
4.930000000000291,,,,,746.3309206905238,,,,,,63.29,,0.033
6.8879999999990105,,,,,676.3869171579454,,,,,,58.88,,0.033
6.972000000001572,,,,,,729.8634408168745,,,,,,104.173,0.033
8.906000000002678,,,,,,649.6221838834703,,,,,,79.509,0.033
8.94999999999709,653.5079393672191,,,,,,50.359,,,,,,0.033
8.955000000001746,,,,,521.5776091352078,,,,,,65.581,,0.033
8.959999999999127,,646.673012774447,,,,,,47.339,,,,,0.033
10.908000000003085,,,,,,839.3251593780234,,,,,,76.287,0.033
10.92899999999645,,,,,632.7924223422879,,,,,,67.313,,0.033
11.959999999999127,498.72642293906995,,517.9251696203985,,,,39.22,,58.208,,,,0.033
14.885000000002037,,,,,,582.9328185006159,,,,,,73.883,0.033
14.930000000000291,,,,,505.5960592829884,,,,,,57.438,,0.033
15.94999999999709,236.47935994156802,510.02721120020146,,,,,69.159,66.793,,,,,0.033
17.86699999999837,,,,,,537.2815138836481,,,,,,89.069,0.033
19.856999999996333,,,,,,510.2795910395153,,,,,,124.281,0.033
19.94000000000233,257.20361405462756,,,145.40878006385182,,,59.345,,,110.2,,,0.033
20.94000000000233,330.748421442107,,,,,,60.043,,,,,,0.033
20.94999999999709,,,383.47109985360163,,,,,,68.188,,,,0.033
21.94000000000233,,534.6764273528469,303.36748991241404,,,,,65.819,65.445,,,,0.033
27.94000000000233,,308.4087093062269,,229.95473103405376,,,,108.189,,132.984,,,0.033
30.919999999998254,,269.59654500149145,,,,,,36.008,,,,,0.033
30.93000000000029,,,162.08955567356406,,,,,,49.279,,,,0.033
32.90999999999622,132.26073600358103,,,319.2632593388935,,,47.605,,,83.691,,,0.033
37.0199999999968,,,132.18721630976583,,,,,,74.566,,,,0.033
40.04000000000087,,190.476031349467,,,,,,59.043,,,,,0.033
43.05999999999767,75.2062313474079,,259.2708345092628,,,,53.093,,68.275,,,,0.033
45.95999999999913,158.47394185522148,138.76683846260534,,,,,78.81,61.933,,,,,0.033
47.849999999998545,,,165.3309442616551,,,,,,42.701,,,,0.033
48.849999999998545,130.03768821848854,,,196.2430926561099,,,65.379,,,85.682,,,0.033
54.83999999999651,,,,109.24521492364549,,,,,,128.348,,,0.033
54.849999999998545,,140.05654132081796,,,,,,87.933,,,,,0.033
60.970000000001164,,83.96689916197177,,,,,,37.867,,,,,0.033
65.90999999999622,92.91803798473688,,,,,,35.761,,,,,,0.033
65.91999999999825,,,161.36289143453448,,,,,,60.271,,,,0.033
66.93000000000029,,39.151616691557585,,,,,,45.779,,,,,0.033
74.90000000000146,,125.91413328130623,,,,,,58.744,,,,,0.033
98.87999999999738,61.405693615743886,,,,,,50.523,,,,,,0.033
101.83999999999651,51.929547683006625,,,,,,48.714,,,,,,0.033
103.83000000000175,50.73707403434828,,,,,,44.591,,,,,,0.033
111.83000000000175,,74.48925879487199,,,,,,65.939,,,,,0.033
116.83000000000175,,,92.03848746472421,,,,,,70.304,,,,0.033
121.81999999999971,,,,79.57721504735852,,,,,,102.46,,,0.033
145.8000000000029,,,139.4146654393558,,,,,,73.635,,,,0.033
