relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-284.01000000000204,,,,171.99009449376786,,,,,,83.428,,,0.015
-281.0199999999968,,163.61501021445306,,,,,,74.512,,,,,0.015
-274.0400000000009,,,,203.66463573964637,,,,,,102.655,,,0.015
-272.01000000000204,102.38194312347099,,,,,,114.883,,,,,,0.015
-270.1200000000026,195.3781563463153,,,,,,88.333,,,,,,0.015
-260.1399999999994,81.0682300568748,,88.62883631276397,,,,81.397,,61.93,,,,0.015
-245.08000000000175,,109.10775535514219,,,,,,117.584,,,,,0.015
-241.13999999999942,103.28403299181845,,,,,,41.0,,,,,,0.015
-235.15000000000146,92.82063162842238,,,,,,48.91,,,,,,0.015
-233.15000000000146,96.18401797905582,,,,,,60.861,,,,,,0.015
-229.15999999999622,67.53793341845598,,107.06721477267045,,,,88.705,,70.261,,,,0.015
-225.15999999999622,,,,285.5200541228942,,,,,,170.324,,,0.015
-215.15999999999622,,162.6058852147768,,,,,,106.88,,,,,0.015
-212.15999999999622,,,,119.97471351719902,,,,,,134.322,,,0.015
-204.16999999999825,115.63993058251687,,,,,,116.585,,,,,,0.015
-189.1800000000003,,152.74774930931505,,,,,,136.833,,,,,0.015
-45.87000000000262,,136.60589356500665,233.2554447759766,,,,,102.826,104.87,,,,0.015
-21.919999999998254,45.52189397417202,,,,,,40.675,,,,,,0.015
-5.879999999997381,374.43773827931966,,401.0763056220857,,,,72.557,,193.013,,,,0.015
0.0,627.8934496811652,562.6617838287394,,,,,54.32,64.829,,,,,0.015
4.150000000001455,704.1757670565509,,551.3046416911168,,,,83.687,,84.399,,,,0.015
10.069999999999709,640.8843848948028,,,192.50141955620353,,,80.871,,,108.474,,,0.015
10.970000000001164,679.7226130262186,,653.9485754937539,,,,72.957,,61.106,,,,0.015
11.980000000003201,555.6137618265237,,,228.21350264072095,,,70.115,,,90.015,,,0.015
12.970000000001164,,569.6645311314211,626.7940033191684,,,,,63.101,61.24,,,,0.015
14.989999999997963,,502.42199444868027,,253.9179946647637,,,,87.354,,154.195,,,0.015
17.0,,703.9620771612339,680.8475438248635,,,,,129.172,133.681,,,,0.015
20.090000000003783,,431.14088564197834,,439.76640280190026,,,,95.239,,121.457,,,0.015
22.94000000000233,301.12558859400565,,,266.1725211454265,,,65.039,,,74.845,,,0.015
26.06999999999971,,,374.16501903345926,,,,,,128.102,,,,0.015
29.94000000000233,165.31690516241048,,,,,,63.997,,,,,,0.015
29.94999999999709,,275.3191385153742,,,,,,51.735,,,,,0.015
34.11000000000058,185.21229744532286,,,,,,76.479,,,,,,0.015
38.05999999999767,160.15564739583982,,,,,,68.825,,,,,,0.015
38.06999999999971,,193.51888584654372,,,,,,64.106,,,,,0.015
40.88999999999942,136.3701239790282,,351.1719648566724,,,,116.07,,127.095,,,,0.015
41.88999999999942,,231.15696899668717,365.24968015559,,,,,105.523,131.074,,,,0.015
45.88999999999942,,,197.54686927735133,,,,,,88.417,,,,0.015
48.95999999999913,,74.27532980163463,,116.21382751630249,,,,47.052,,107.845,,,0.015
52.029999999998836,,,165.4013497654945,,,,,,66.408,,,,0.015
65.01000000000204,82.0680988969662,52.92000691320817,,,,,65.109,46.328,,,,,0.015
68.87999999999738,,,55.681603540847775,,,,,,51.3,,,,0.015
82.87000000000262,,,,78.73257628858376,,,,,,85.379,,,0.015
85.88999999999942,57.67277114024603,,,,,,53.328,,,,,,0.015
92.87000000000262,,59.00894697798996,,,,,,38.494,,,,,0.015
94.87000000000262,51.72717882613782,,105.41451522248398,,,,48.586,,45.144,,,,0.015
96.87000000000262,,82.27373328982851,,,,,,67.696,,,,,0.015
98.87000000000262,216.50787672414597,,,,,,83.221,,,,,,0.015
106.91000000000349,,171.5585023833627,,,,,,111.225,,,,,0.015
110.87999999999738,,,114.53207882792265,,,,,,64.288,,,,0.015
112.87000000000262,,,132.49928393780704,,,,,,72.367,,,,0.015
117.86000000000058,,205.36937018565794,,,,,,117.421,,,,,0.015
121.84999999999854,,,53.19536856534985,,,,,,42.524,,,,0.015
125.84999999999854,98.75465868780816,,122.07803807849456,,,,88.439,,74.189,,,,0.015
132.84999999999854,,85.76112009569128,,,,,,108.639,,,,,0.015
