relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-129.6099999999933,,,,207.35776676249225,,,,,,141.844,,,0.008
-128.62999999999738,,,,124.00861147723235,,,,,,149.318,,,0.008
-114.64999999999418,113.17354444266877,,,,,,82.142,,,,,,0.008
-111.65999999999622,23.736977244684297,,,,,,60.153,,,,,,0.008
-106.68999999999505,87.41628965740667,,,,,,96.511,,,,,,0.008
-104.68999999999505,,91.5037050888538,,119.2757593751131,,,,91.181,,146.19,,,0.008
-85.75,,53.843812431921684,,,,,,37.771,,,,,0.008
-74.80999999999767,,,,103.23097620730063,,,,,,120.066,,,0.008
-74.80500000000029,,11.559360368220299,,,,,,78.628,,,,,0.008
-64.7899999999936,389.4113204320061,,230.36668039516286,,,,147.265,,197.062,,,,0.008
-44.75,,315.3872065765927,,,,,,156.385,,,,,0.008
-38.90999999999622,,,,181.22647802519856,,,,,,122.021,,,0.008
-25.889999999999418,,69.29196052518199,,,,,,68.01,,,,,0.008
-23.89999999999418,,,34.97487292428751,,,,,,37.577,,,,0.008
-21.80999999999767,,132.94843988698054,,,,,,40.644,,,,,0.008
-16.969999999993888,,,107.24681242309792,,,,,,112.338,,,,0.008
-8.834999999999127,,211.32341010641866,,,,,,86.929,,,,,0.008
-6.82999999999447,,,,144.13814629908492,,,,,,136.354,,,0.008
-1.0,,,87.34388894136434,,,,,,89.488,,,,0.008
0.0,228.9651302940477,356.9511730738362,,,,,43.997,42.543,,,,,0.008
1.0,943.8383352104256,1013.9453502148502,,,,,67.393,56.39,,,,,0.008
2.0,1977.076262534209,,1769.4780975533986,,,,72.059,,85.201,,,,0.008
3.1300000000046566,3399.4327908700366,,2963.462863485254,,,,78.975,,76.646,,,,0.008
4.100000000005821,5246.429678601683,4886.307634858567,,,,,91.524,168.146,,,,,0.008
6.180000000000291,9497.63078979019,,8139.404346728353,,,,188.699,,149.122,,,,0.008
6.990000000005239,11252.483712460626,10822.718396994916,,,,,153.796,130.314,,,,,0.008
8.110000000000582,13704.541912109964,,11508.462161598736,,,,138.82,,147.974,,,,0.008
9.160000000003492,16601.69899089623,15957.341840916652,,,,,151.596,155.632,,,,,0.008
10.10000000000582,18826.39123266163,,,12553.936204881244,,,170.684,,,151.579,,,0.008
16.080000000001746,,23373.934659788567,,14400.52300979859,,,,176.052,,189.388,,,0.008
16.99000000000524,,,,12418.447823532733,,,,,,194.141,,,0.008
17.0,,23617.965261203986,,,,,,188.167,,,,,0.008
19.10000000000582,,,14558.494173436367,,,,,,141.167,,,,0.008
19.1050000000032,,21958.17542632707,,,,,,179.53,,,,,0.008
21.10000000000582,,,,13003.678483839623,,,,,,180.043,,,0.008
21.11500000000524,,20128.608823577004,,,,,,143.613,,,,,0.008
23.140000000006694,12247.314797714065,,,12445.416284143676,,,118.369,,,148.77,,,0.008
24.05000000000291,10237.312222319742,,,12867.35697492603,,,119.19,,,150.913,,,0.008
25.06999999999971,,,11823.337423753577,,,,,,137.968,,,,0.008
25.080000000001746,8879.836696647008,,,,,,136.6,,,,,,0.008
28.060000000004948,5979.460731326843,,12080.321108048905,,,,101.19,,140.366,,,,0.008
30.060000000004948,4766.330800608488,,11946.01414822121,,,,75.764,,110.636,,,,0.008
31.05000000000291,4364.576991510938,11180.593870505496,,,,,110.775,135.311,,,,,0.008
32.10000000000582,3938.9516569440907,10198.748343286199,,,,,92.855,128.318,,,,,0.008
34.03000000000611,3421.6301666742906,,9141.052663035689,,,,68.707,,107.312,,,,0.008
35.12000000000262,3250.738515129278,,8242.959986711774,,,,115.505,,140.738,,,,0.008
36.06000000000495,2865.990163702977,7506.832871764999,,,,,92.786,97.223,,,,,0.008
37.01000000000204,,,7105.24937555117,,,,,,133.561,,,,0.008
37.04000000000087,2752.1664740222886,,,,,,106.251,,,,,,0.008
37.06999999999971,,6505.289656406999,,,,,,144.675,,,,,0.008
44.01000000000204,,4888.252028721087,,,,,,151.888,,,,,0.008
44.015000000006694,,,4395.54143453489,,,,,,179.843,,,,0.008
46.025000000001455,,4447.684786038431,,4121.622604180668,,,,160.416,,169.262,,,0.008
48.025000000001455,,,3737.116381907429,,,,,,79.284,,,,0.008
48.03000000000611,,3912.1510236207773,,,,,,80.154,,,,,0.008
50.0,,3773.879958396301,,3307.2626530106795,,,,77.511,,112.776,,,0.008
51.0,,3593.649525826228,,,,,,59.358,,,,,0.008
51.01000000000204,,,3353.7069993781292,,,,,,66.885,,,,0.008
52.03000000000611,,3595.9373477451786,3183.6737493794963,,,,,80.119,79.452,,,,0.008
53.0,1482.2356237174681,,,2820.6201026746157,,,64.913,,,88.598,,,0.008
54.03000000000611,1603.7624560287286,,,2592.4483018650767,,,62.032,,,117.606,,,0.008
55.020000000004075,1363.3453203572317,,2792.3364585717945,,,,116.087,,182.956,,,,0.008
56.01000000000204,1444.8209464179417,,2579.410567954098,,,,80.079,,82.959,,,,0.008
63.015000000006694,1356.9917683155363,2384.4464726551832,,,,,68.931,77.107,,,,,0.008
71.01000000000204,,1673.4301450707483,,1106.663364025099,,,,106.926,,135.859,,,0.008
73.0,,1596.3952576234349,1547.662971329605,,,,,119.707,116.258,,,,0.008
76.99000000000524,,,,914.926739107884,,,,,,123.688,,,0.008
77.0,,1394.2873368769576,,,,,,102.464,,,,,0.008
