relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-287.00500000000466,108.8156909638678,,,,,,84.575,,,,,,0.095
-279.9850000000006,,176.95773791178038,,,,,,118.655,,,,,0.095
-268.9950000000026,,,,115.18302135768154,,,,,,93.804,,,0.095
-261.0149999999994,,124.7998101119512,,,,,,66.714,,,,,0.095
-70.68500000000495,,168.645009502747,,,,,,175.245,,,,,0.095
-52.73500000000058,,,89.24943961934713,,,,,,57.769,,,,0.095
-30.80500000000029,88.64718852002514,,,,,,76.108,,,,,,0.095
-13.825000000004366,,,108.41773822965193,,,,,,98.602,,,,0.095
0.0,,,,,,499.6732257429019,,,,,,70.636,0.095
1.9979999999995925,,,,,878.2572607840002,,,,,,88.658,,0.095
2.040000000000873,,,,,,920.23814145259,,,,,,96.107,0.095
3.1749999999956344,999.2913343106596,,846.8351312032601,,,,49.56,,60.017,,,,0.095
4.082000000002154,,,,,1055.5933040512602,,,,,,100.06,,0.095
8.019000000000233,,,,,,2165.6264749559004,,,,,,84.368,0.095
10.939999999995052,,,,,1970.8565417903528,,,,,,175.419,,0.095
10.998999999996158,,,,,,1960.8452009292407,,,,,,128.839,0.095
11.144999999996799,,,1620.0517204778296,,,,,,95.547,,,,0.095
11.154999999998836,1996.0265815164441,,,,,,106.209,,,,,,0.095
12.997999999999593,,,,,,2511.2776208982,,,,,,182.139,0.095
13.019999999996799,,,,,1516.4346505265937,,,,,,197.875,,0.095
15.01299999999901,,,,,,2426.8873996727298,,,,,,190.256,0.095
15.021999999997206,,,,,1968.9280789155725,,,,,,222.671,,0.095
20.080999999998312,,,,,,2433.6025376840485,,,,,,278.174,0.095
21.095000000001164,,2059.526647626445,1371.7868440557675,,,,,97.615,106.881,,,,0.095
21.99699999999575,,,,,1533.2142785362755,,,,,,160.007,,0.095
23.104999999995925,,,,716.3597721893873,,,,,,106.967,,,0.095
23.114999999997963,,1563.4212139577928,,,,,,91.388,,,,,0.095
