relative_time,g_flux,r_flux,i_flux,z_flux,ZTF_r_flux,ZTF_g_flux,g_uncert,r_uncert,i_uncert,z_uncert,ZTF_r_uncert,ZTF_g_uncert,mwebv
-292.1900000000023,69.11735672860412,,,,,,47.061,,,,,,0.087
-274.1800000000003,,,139.69736454170132,,,,,,96.988,,,,0.087
-270.1900000000023,,102.6052798064734,,,,,,57.747,,,,,0.087
-259.1900000000023,,,202.4831938877141,,,,,,92.132,,,,0.087
-46.93000000000029,64.12261304317632,,,,,,54.584,,,,,,0.087
-35.91000000000349,,64.76093234652299,,,,,,70.58,,,,,0.087
-25.0,162.33117569756263,,,148.8857336140759,,,56.793,,,97.752,,,0.087
-24.010000000002037,,,49.54472603801082,,,,,,57.855,,,,0.087
-14.989999999997963,202.0992313112848,75.01323196020678,,,,,41.458,41.673,,,,,0.087
-12.029999999998836,239.40000389967514,,,212.39405049488545,,,76.176,,,89.798,,,0.087
-8.020000000004075,,459.08024272778226,518.6424701833662,,,,,84.871,100.295,,,,0.087
-1.235000000000582,,,,,682.0698225229532,,,,,,127.36,,0.087
0.0,,739.4071959165982,,,,,,109.288,,,,,0.087
0.8649999999979627,,,,,,1060.6681115148228,,,,,,112.36,0.087
0.9289999999964493,,,,,720.048364494863,,,,,,156.183,,0.087
3.760999999998603,,,,,622.255306443297,,,,,,114.142,,0.087
3.845000000001164,,,,,,978.9475791484281,,,,,,97.206,0.087
5.805000000000291,,,,,,947.113078424753,,,,,,96.412,0.087
7.802999999999884,,,,,442.6644831991048,,,,,,87.727,,0.087
7.845000000001164,,,,,,863.7206593020976,,,,,,108.957,0.087
8.979999999995925,673.331567218845,,790.287615421421,,,,54.567,,64.662,,,,0.087
9.887000000002445,,,,,656.7299305826068,,,,,,101.021,,0.087
13.824000000000524,,,,,,698.1056033363284,,,,,,91.858,0.087
16.80399999999645,,,,,,888.1016681019286,,,,,,123.015,0.087
16.94999999999709,,,474.6102147208386,,,,,,89.109,,,,0.087
16.959999999999127,290.46273291824957,,,,,,81.312,,,,,,0.087
26.900000000001455,,143.22025351564167,256.19835532943193,,,,,110.218,78.067,,,,0.087
30.88300000000163,,,,,,635.9550304405576,,,,,,123.702,0.087
34.78299999999581,,,,,,419.9033778696608,,,,,,96.336,0.087
36.86800000000221,,,,,11222.208122995835,,,,,,2799.092,,0.087
36.86999999999534,70.02670765392966,,,,,,51.135,,,,,,0.087
36.87999999999738,,,312.0912685546652,,,,,,76.034,,,,0.087
39.88999999999942,160.59939709712648,78.67669743069298,,,,,72.064,73.485,,,,,0.087
42.919999999998254,,,183.3152535504975,,,,,,118.472,,,,0.087
46.80999999999767,124.22402280333216,,,134.30107310422616,,,55.111,,,110.157,,,0.087
56.86999999999534,,125.97384198294385,,,,,,51.291,,,,,0.087
58.830000000001746,,132.51477966172678,69.84286251728703,,,,,30.366,41.458,,,,0.087
60.83999999999651,101.79113784401447,,178.85965022217195,,,,47.301,,58.402,,,,0.087
66.83000000000175,85.5873067231768,,97.90105839832562,,,,53.648,,49.829,,,,0.087
68.81999999999971,70.37440065478943,,,,,,53.062,,,,,,0.087
69.83999999999651,,,82.68589468153576,,,,,,56.062,,,,0.087
85.81999999999971,,,,130.06139864313906,,,,,,145.507,,,0.087
88.79999999999563,,102.03911903480257,,,,,,59.003,,,,,0.087
90.80999999999767,,,68.07482138465208,,,,,,56.684,,,,0.087
94.79999999999563,150.13517505202006,,,,,,63.933,,,,,,0.087
110.79000000000087,,,93.89241214368789,,,,,,102.49,,,,0.087
112.79000000000087,,62.24329767857237,,,,,,69.865,,,,,0.087
115.77999999999884,,164.45926519736756,,,,,,77.01,,,,,0.087
116.77999999999884,,,,119.14375781473476,,,,,,95.803,,,0.087
118.77999999999884,,,,165.4284676519523,,,,,,126.079,,,0.087
119.77999999999884,,,,234.7557687306166,,,,,,139.562,,,0.087
126.77999999999884,,,312.594095262564,,,,,,149.196,,,,0.087
